rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,61,6,289,5995883,3699000,5.589963181779523,0.6968369312283577
2,36,9,289,22282189,13871250,5.005000681058367,0.6837931686724256
3,72,12,289,29547649,18495000,4.589963181779523,0.6759080444595711
4,37,18,289,8696299,5548500,4.005000681058367,0.6483037434141534
5,52,24,289,1523897,986400,3.5899631817795226,0.6275206897029474
6,29,30,289,5644459,3699000,3.2680350868921604,0.609700010311423
7,2,817,4624,936603916,629600625,2.5007334143549955,0.5730020970494033
8,100,913,4624,1041129436,703580625,2.340454632516457,0.5653617795487808
9,40,1009,4624,1145550916,777560625,2.1962152233943217,0.5590145140819731
10,20,65,272,14683444,10018125,2.0650950282218847,0.5515778739353921
11,45,1201,4624,269999984,185104125,1.9449052467950445,0.5446222761114028
12,68,1297,4624,483370996,333166875,1.8339629182489794,0.5368859404201543
13,85,1393,4624,1549418012,1073480625,1.730946139899426,0.5294302636601923
14,4,1441,4624,532964552,370156875,1.6820710623259314,0.5259027567928932
15,74,1537,4624,565553348,394816875,1.5890242328099073,0.5184794645829344
16,5,1633,4624,119523464,83895375,1.5016166069389838,0.5106306808763512
17,53,1729,4624,628306808,444136875,1.419203528858397,0.5004648546740192
18,8,1777,4624,1929599824,1369400625,1.3796977164720008,0.49475710476682394
19,13,1873,4624,403694852,288676125,1.3037904982576336,0.4838133951819894
20,58,1969,4624,234146644,168595625,1.2316782865991251,0.47384526087145473
21,98,2017,4624,238842894,172705625,1.1969303138877174,0.4677468826856482
22,50,2161,4624,455061134,333064125,1.0974423256411716,0.4502604066045207
23,18,2209,4624,463268734,340462125,1.065747979145404,0.4443550048684453
24,49,2257,4624,94290296,69572025,1.0347349793088427,0.43860198867505296
25,34,2353,4624,2435308208,1813280625,0.9746400772763815,0.42550215342732706
26,113,2449,4624,2513208736,1887260625,0.9169486239367005,0.41323683153294477
27,26,2545,4624,2591056088,1961240625,0.8614757415376211,0.40177369461734447
28,10,2641,4624,889185952,678406875,0.8080570963335858,0.39033436551043726
29,73,161,272,17934524,13785625,0.7565459631357224,0.3795747788376341
30,65,2929,4624,577697128,451432125,0.658733204621312,0.3558042345451996
31,9,2977,4624,324526192,254905625,0.6352821762626427,0.3483717109284666
32,25,3121,4624,1002486668,801706875,0.5671330405814686,0.3224362993433656
33,1,3747,4624,3367051144,2887531875,0.3034054201715653,0.22164876292886362
34,17,3843,4624,3419512736,2961511875,0.26690842143787613,0.20745689167322798
35,89,3939,4624,128482464,112425625,0.2313119808866358,0.19260056152266541
36,41,4035,4624,389770832,345496875,0.19657272433553621,0.17395347082708792
37,80,243,272,207913808,187261875,0.16265033764455844,0.1509283653774237
38,128,4179,4624,709048784,644088375,0.14598363917826973,0.13862623794738546
39,64,4227,4624,3551458576,3257431875,0.129507285469886,0.12467665091379547
40,32,4275,4624,3557562256,3294421875,0.11321697784005631,0.1108636889660309
41,16,4323,4624,3562741136,3331411875,0.09710856160477507,0.0968539321275655
42,0,1,1,1,1,-0.0,0.0
