mode,observable,status,D2_bits,Dinf_bits,max_amplification,p_z_star,failure_given_z_star,z_star
none,pk,ok,0.4571770379016642,2.0179999104865836,4.05021897810219,16384/1212153856,5400/16384,A=0.12|t=11.11
none,ciphertext,ok,1.739766457402233,3.533817587234844,11.582040866016909,310528/1212153856,292672/310528,u=0.0|v=3.3
none,pk_ciphertext,ok,3.497129575310113,3.6192562185483905,12.288664395782645,8192/1212153856,8192/8192,A=0.0|t=0.16|u=0.0|v=0.3
none,ciphertext_symbols,ok,1.7395709904302532,3.533817587234844,11.582040866016909,310528/1212153856,292672/310528,u:2.0.0.0.0.0.0.0.|v:0.0.0.2.
none,t_norm2,ok,0.25152816142170603,0.6968369312283577,1.6209470127061367,25165824/1212153856,3319520/25165824,61
none,t_histogram,ok,0.25724504480671045,0.6968369312283577,1.6209470127061367,6291456/1212153856,829880/6291456,-5:1;6:1;
none,t_autocorrelation,ok,0.16785486409929395,0.6968369312283577,1.6209470127061367,12582912/1212153856,1659760/12582912,-60
none,at_norm_pair,ok,0.4396789120958673,2.0179999104865836,4.05021897810219,262144/1212153856,86400/262144,A=25|t=72
none,at_pair_histogram,ok,0.4571770379016642,2.0179999104865836,4.05021897810219,32768/1212153856,10800/32768,-5:-6:1;0:-6:1;
none,at_correlations,ok,0.29140790697279995,1.8531754271353675,3.612945336577453,65536/1212153856,19268/65536,-30.-18
none,at_projections,ok,0.2649579028627612,2.0179999104865836,4.05021897810219,16384/1212153856,5400/16384,-5.-16.17.-23
none,hist_u,ok,0.5519305748236897,1.310287833518083,2.4799101198522124,37748736/1212153856,7617872/37748736,1.0.0.0.0.0.1.0.
none,hist_v,ok,0.7530951104814539,1.4133234260238845,2.6635002679290993,103841792/1212153856,22507136/103841792,1.0.0.1.
none,extreme_symbols,ok,1.0464613900099167,3.533817587234844,11.582040866016909,310528/1212153856,292672/310528,2.0.0.2
none,entropy_1024,ok,0.2710748280318326,0.5028495759495327,1.4170096428689183,556702368/1212153856,64193520/556702368,1024.1024
none,decompressed_norms,ok,1.6741011924550073,3.459222630533916,10.99840666074704,680256/1212153856,608832/680256,0.32
none,joint_uv_histogram,ok,1.739766457402233,3.533817587234844,11.582040866016909,310528/1212153856,292672/310528,0:3:2;
no-compression,pk,ok,2.087216503515276,2.9004643264490855,7.466666666666666,16384/1212153856,224/16384,A=0.10|t=11.11
no-compression,ciphertext,ok,3.0714678622151164,8.093109404391482,273.0666666666668,1152/1212153856,576/1152,u=0.0|v=0.13
no-compression,pk_ciphertext,ok,8.925759292071845,9.093109404391482,546.1333333333336,2/1212153856,2/2,A=0.10|t=1.11|u=6.9|v=0.5
no-compression,ciphertext_symbols,N/A,,,,,,
no-compression,t_norm2,ok,0.3741083927872831,0.41503749927884376,1.3333333333333333,25165824/1212153856,61440/25165824,10
no-compression,t_histogram,ok,0.3741083927872831,0.41503749927884376,1.3333333333333333,6291456/1212153856,15360/6291456,-1:1;2:1;
no-compression,t_autocorrelation,ok,0.27857283562461854,0.41503749927884376,1.3333333333333333,12582912/1212153856,30720/12582912,-10
no-compression,at_norm_pair,ok,1.893088019799323,2.9004643264490855,7.466666666666666,524288/1212153856,7168/524288,A=100|t=17
no-compression,at_pair_histogram,ok,2.087216503515276,2.9004643264490855,7.466666666666666,32768/1212153856,448/32768,-1:-1:1;-1:3:1;
no-compression,at_correlations,ok,1.767677635928684,2.9004643264490855,7.466666666666666,65536/1212153856,896/65536,-1.-13
no-compression,at_projections,ok,1.5009220112438113,2.9004643264490855,7.466666666666666,16384/1212153856,224/16384,-1.-10.-7.17
no-compression,hist_u,N/A,,,,,,
no-compression,hist_v,N/A,,,,,,
no-compression,extreme_symbols,N/A,,,,,,
no-compression,entropy_1024,N/A,,,,,,
no-compression,decompressed_norms,N/A,,,,,,
no-compression,joint_uv_histogram,N/A,,,,,,
independent-compression,pk,ok,0.47196552550647214,1.2403103219883826,2.3624934377398414,1368408064/101240302206976,180168928/1368408064,A=0.10|t=11.6
independent-compression,ciphertext,N/A,,,,,,
independent-compression,pk_ciphertext,N/A,,,,,,
independent-compression,ciphertext_symbols,N/A,,,,,,
independent-compression,t_norm2,ok,0.24727938436375704,0.3294701866335517,1.2565518353909169,2101874786304/101240302206976,147190882176/2101874786304,10
independent-compression,t_histogram,ok,0.24727938436375704,0.3294701866335517,1.2565518353909169,525468696576/101240302206976,36797720544/525468696576,-1:1;2:1;
independent-compression,t_autocorrelation,ok,0.17073181137246646,0.3294701866335517,1.2565518353909169,1050937393152/101240302206976,73595441088/1050937393152,-10
independent-compression,at_norm_pair,ok,0.44649412364906904,1.2137844830942022,2.3194527918233168,43789058048/101240302206976,5660369728/43789058048,A=100|t=17
independent-compression,at_pair_histogram,ok,0.47196552550647214,1.2403103219883826,2.3624934377398414,2736816128/101240302206976,360337856/2736816128,-1:-1:1;-1:3:1;
independent-compression,at_correlations,ok,0.3786029524790894,1.2403103219883826,2.3624934377398414,5473632256/101240302206976,720675712/5473632256,-1.-13
independent-compression,at_projections,ok,0.3443674575761721,1.2403103219883826,2.3624934377398414,1368408064/101240302206976,180168928/1368408064,-1.-10.-7.17
independent-compression,hist_u,N/A,,,,,,
independent-compression,hist_v,N/A,,,,,,
independent-compression,extreme_symbols,N/A,,,,,,
independent-compression,entropy_1024,N/A,,,,,,
independent-compression,decompressed_norms,N/A,,,,,,
independent-compression,joint_uv_histogram,N/A,,,,,,
conditional-independent-given-pk,pk,ok,0.45921125990143546,2.0240027276983956,4.067106382824165,1/73984,1395375/4194304,A=0.12|t=11.11
