feature_id,feature_value,Nz,Ez
decompressed_norms,"0.0",100425344,128
decompressed_norms,"0.106",3312256,1059776
decompressed_norms,"0.162",99148512,0
decompressed_norms,"0.25",3790912,1215232
decompressed_norms,"0.50",680480,369728
decompressed_norms,"0.81",199489984,128
decompressed_norms,"106.0",3823360,482304
decompressed_norms,"106.106",11607904,815232
decompressed_norms,"106.162",2949248,243968
decompressed_norms,"106.25",13326432,1199024
decompressed_norms,"106.50",11911456,1316864
decompressed_norms,"106.81",6713248,699984
decompressed_norms,"130.0",10250944,21120
decompressed_norms,"130.106",14429920,546432
decompressed_norms,"130.162",7781312,4160
decompressed_norms,"130.25",16558304,745472
decompressed_norms,"130.50",8604192,1257056
decompressed_norms,"130.81",17872800,21024
decompressed_norms,"162.0",2693504,0
decompressed_norms,"162.106",1208448,515296
decompressed_norms,"162.162",2261120,0
decompressed_norms,"162.25",1322368,562656
decompressed_norms,"162.50",163456,111392
decompressed_norms,"162.81",4934016,0
decompressed_norms,"25.0",5774080,780032
decompressed_norms,"25.106",16661248,1604992
decompressed_norms,"25.162",4412800,362176
decompressed_norms,"25.25",20261376,2423360
decompressed_norms,"25.50",18325120,1680384
decompressed_norms,"25.81",10062848,1071520
decompressed_norms,"29.0",8823296,460736
decompressed_norms,"29.106",15946112,760128
decompressed_norms,"29.162",6697408,194240
decompressed_norms,"29.25",21495040,1217216
decompressed_norms,"29.50",32409280,89408
decompressed_norms,"29.81",15292160,602816
decompressed_norms,"4.0",9980800,34176
decompressed_norms,"4.106",14749952,455904
decompressed_norms,"4.162",7314432,5376
decompressed_norms,"4.25",17664512,618688
decompressed_norms,"4.50",8724608,1115808
decompressed_norms,"4.81",17063168,33856
decompressed_norms,"49.0",15117696,49152
decompressed_norms,"49.106",21583552,766208
decompressed_norms,"49.162",11192512,19776
decompressed_norms,"49.25",25777472,1005952
decompressed_norms,"49.50",13594112,1695296
decompressed_norms,"49.81",25980864,63232
decompressed_norms,"50.0",5469184,64768
decompressed_norms,"50.106",3691744,2080896
decompressed_norms,"50.162",4449664,14720
decompressed_norms,"50.25",5343456,2912384
decompressed_norms,"50.50",21527712,323584
decompressed_norms,"50.81",9849888,62976
decompressed_norms,"53.0",15679680,1035712
decompressed_norms,"53.106",29446016,555232
decompressed_norms,"53.162",11442240,624704
decompressed_norms,"53.25",36761728,872384
decompressed_norms,"53.50",30977280,3509632
decompressed_norms,"53.81",26688000,1624960
decompressed_norms,"74.0",13371520,704000
decompressed_norms,"74.106",23432544,1218240
decompressed_norms,"74.162",10281920,296640
decompressed_norms,"74.25",31323616,1940448
decompressed_norms,"74.50",49245024,173856
decompressed_norms,"74.81",23340320,922368
decompressed_norms,"8.0",5171584,342656
decompressed_norms,"8.106",9956416,127872
decompressed_norms,"8.162",3736928,154368
decompressed_norms,"8.25",12612864,204928
decompressed_norms,"8.50",10103008,693376
decompressed_norms,"8.81",8750848,474368
decompressed_norms,"81.0",7832576,0
decompressed_norms,"81.106",4081728,1645728
decompressed_norms,"81.162",6448640,0
decompressed_norms,"81.25",4474944,1813664
decompressed_norms,"81.50",691648,516768
decompressed_norms,"81.81",14219200,0
decompressed_norms,"85.0",6754752,7360
decompressed_norms,"85.106",9854848,339808
decompressed_norms,"85.162",5072576,1856
decompressed_norms,"85.25",11358592,444800
decompressed_norms,"85.50",5575552,827872
decompressed_norms,"85.81",11715328,8320
decompressed_norms,"98.0",11944896,563456
decompressed_norms,"98.106",21349568,452352
decompressed_norms,"98.162",8709312,482496
decompressed_norms,"98.25",27165888,571008
decompressed_norms,"98.50",23766336,2205312
decompressed_norms,"98.81",20310208,1045056
