rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,81.50,10807,23658496,13645037568,725592787,11.09617655773423,4.233072442130526
2,162.50,13361,23658496,116104069120,6279496307,10.790114657411198,4.208625883420441
3,50.106,142089,47316992,143062925312,9539997549,8.379419681611525,3.906517140976392
4,50.25,19317,2957312,129877749760,9078738879,7.25827159152785,3.8385185761194527
5,0.50,330337,47316992,2214719127552,155254095619,7.162275982079253,3.8344205141403154
6,162.106,368101,47316992,2405205508096,173002684687,7.006112883431777,3.7972938363759106
7,162.25,409425,47316992,522639835136,38484885495,6.852615354644873,3.763453229822929
8,81.25,549267,47316992,1094548488192,86049449843,6.428706935209818,3.6690260882693275
9,81.106,676821,47316992,1297337286656,106032357109,6.12744022021318,3.6129771120211753
10,0.25,795287,47316992,4341239382016,373774551269,5.894738964057438,3.5378667264824193
11,0.106,47305,2490368,49821057024,4446547007,5.71822245362821,3.4859982883150686
12,85.50,1073031,47316992,5039034892288,504310620597,5.462594701226039,3.320762932781229
13,130.50,167739,5914624,229321801728,26278383131,5.139996392080273,3.1254251024436592
14,25.0,95147,2957312,362004561920,44717853089,4.957984478524757,3.0170850470751702
15,4.50,448749,11829248,1551136759808,210906196263,4.720305828437564,2.878652504611884
16,106.0,478619,11829248,227958480896,32134958279,4.627336882983704,2.8265555793468757
17,49.50,584823,11829248,1752381841408,274859207301,4.338214501533745,2.6725524572569124
18,25.25,743115,11829248,658779693056,116418129835,3.992629061617269,2.50048033741167
19,53.50,985125,11829248,460137046016,92599188675,3.585907756370296,2.312992155481145
20,106.50,4312733,47316992,9689538134016,2026928444471,3.4556840555410044,2.25713274007139
21,25.81,4627197,47316992,10085640503296,2174722436439,3.3541479355188937,2.213399523134116
22,106.81,2418493,23658496,5172199694336,1136660269591,3.2901780954583204,2.185976858356429
23,25.106,2678825,23658496,1093770715136,251802585055,3.1426861204583307,2.1189453414478643
24,98.50,1525087,11829248,419747557376,102395866267,2.955394912665542,2.0353644550086987
25,25.50,417063,2957312,773381817344,196014188181,2.8259492241221658,1.9802227608722502
26,106.25,7089459,47316992,1831049297920,475993366719,2.7386109186449548,1.943657259912961
27,106.162,7181623,47316992,12907531272192,3375269448901,2.7199765369895683,1.9351385107393362
28,25.162,7319523,47316992,1863059243008,491440093743,2.6925368238019396,1.922586082225289
29,106.106,202165,1245184,351125700608,95014921855,2.6227537880423895,1.885761590007768
30,8.50,7997989,47316992,13599092768768,3758950856143,2.564649160618051,1.855108449629014
31,8.0,8159601,47316992,13725760356352,3834906395187,2.5357878506352467,1.8396228023524075
32,53.0,8649591,47316992,14108625797120,4065195325317,2.451654541717934,1.7951808959793965
33,74.25,4814227,23658496,96272334848,29384728637,2.296982288319505,1.7120547044311578
34,53.81,5231227,23658496,7713314390016,2458608684049,2.1771370829459196,1.6495087838287545
35,29.25,5567087,23658496,7938294857728,2616458517869,2.08736382837617,1.60121376417333
36,98.162,2851585,11829248,802747555840,268041575879,2.052522420383766,1.5824895731227615
37,53.162,5881955,23658496,8142940848128,2764442384585,2.0079907106595396,1.5585614184275882
38,8.81,316773,1245184,48132276224,16542132439,1.9748376657929043,1.5408594277439684
39,74.0,6227617,23658496,8360740962304,2926899030979,1.9256062365229514,1.5142578273167273
40,29.0,6365481,23658496,8445899718656,2991693318747,1.8940169237826683,1.4972888267796216
41,74.106,708591,2490368,912744153088,333028558317,1.8133338974819977,1.454564623441245
42,98.81,14097923,47316992,17728458489856,6625840537001,1.7468757318472832,1.4198917098250186
43,29.106,14596239,47316992,2572778635264,980006082699,1.69676168364171,1.392464722441477
44,98.0,14969517,47316992,6072579948544,2345159462093,1.6603306899063126,1.3726235548303523
45,130.25,3871741,11829248,4623328501760,1819667937367,1.6113040107648573,1.345256670333072
46,8.162,15603743,47316992,18550378299392,7333556361341,1.6004662207795324,1.3388637092286098
47,74.81,2041641,5914624,2361418067968,959544728667,1.5345572510206051,1.2992315168817934
48,29.81,16417,46208,18666195232,7715776579,1.492952130486931,1.274544616236514
49,85.25,4291491,11829248,1606550872064,672314993539,1.462807484758977,1.2567574359344393
50,49.25,8985755,23658496,1403605336064,603312576455,1.3966467307899593,1.2181597757983003
51,130.106,18422445,47316992,19852470943744,8658309658215,1.3608938161600868,1.197161280478841
52,49.106,19096931,47316992,2876530065408,1282187044271,1.309017556186122,1.165722812967884
53,4.25,19648947,47316992,2909202448384,1319249950527,1.2679063630967737,1.1409057661559021
54,85.106,19956911,47316992,2927147417600,1339926961451,1.2454699300695304,1.1273410424245722
55,4.106,20417847,47316992,20658563219456,9596122657989,1.2125276162534004,1.1062164163828032
56,29.162,1085639,2490368,1091071934464,510236216693,1.197814490600816,1.0965090112633322
57,74.162,20948451,47316992,20840023883776,9845499640137,1.1755147926048621,1.0818206039317446
58,53.25,22097255,47316992,21162512842752,10385422585685,1.0984911986630916,1.0269510226071714
59,98.106,22764429,47316992,7109910364160,3566328564141,1.0555770899734611,0.9953917477709615
60,98.25,23613363,47316992,2393423577088,1233108181809,1.0027548387748069,0.956776366633664
61,53.106,24533551,47316992,21746061475840,11530450033837,0.9476022971731639,0.9153053092986878
62,8.25,24927703,47316992,21821815980032,11715696349861,0.9246084129864126,0.8973284589471925
63,50.50,6400111,11829248,783622619136,429709852651,0.8861895309252268,0.8667961848702367
64,8.106,12955791,23658496,3664783835136,2029684448239,0.8687612624845119,0.8524726530731693
65,50.0,13041247,23658496,1572331814912,875602364827,0.8592765364577645,0.8445579508498717
66,50.81,26390303,47316992,22035925368832,12403099336061,0.8423504476276757,0.8291568098430875
67,74.50,13964605,23658496,11050096836608,6563182810135,0.760583596261539,0.7515914891763404
68,4.0,14120555,23658496,2211282731008,1327295456557,0.7445615686832516,0.7363939465729672
69,50.162,14190081,23658496,3686378127360,2223051199649,0.73747553804357,0.7296628860585057
70,49.0,14426295,23658496,527058059264,322865290865,0.7136575321084898,0.7070295393449116
71,29.50,7466345,11829248,1108474470400,701817017503,0.6638842842703208,0.6594087080306247
72,49.81,15338641,23658496,11096432001024,7208961867667,0.6251876966153197,0.6222324371056612
73,130.0,3874703,5914624,2775083913216,1821060038861,0.6102007270079821,0.6077529088786905
74,4.81,985339,1478656,694162082816,463096520593,0.5855943918632924,0.583959645445703
75,49.162,15940307,23658496,11110248562688,7491737066009,0.5696789477065679,0.5685189216186439
76,130.81,32439139,47316992,3175466991616,2177996231599,0.5446228346406328,0.5439673157152705
77,85.0,32650225,47316992,22230989668352,15345181297075,0.535265428935606,0.5347864842283422
78,4.162,32878801,47316992,22232976982016,15452609045587,0.5252006738413801,0.5248506914281102
79,85.81,33244905,47316992,1058859646976,744032055535,0.5092251076095712,0.509074686975866
80,130.162,33488071,47316992,22237590388736,15738958025077,0.49871108722477026,0.49866043713010727
81,85.162,33646589,47316992,22238276485120,15813459424343,0.4918981069400876,0.4918919676293808
82,0.0,36784881,47316992,7412774600704,5762805288849,0.3632454384645359,0.36324236881244826
83,0.81,43018943,47316992,47316992,43018943,0.13738628532033834,0.13738628532033825
84,0.162,23058667,23658496,23658496,23058667,0.03704924812806179,0.03704924812806159
85,162.0,23100753,23658496,23658496,23100753,0.034418483689709095,0.034418483689709144
86,162.162,23136083,23658496,23658496,23136083,0.032213729639733506,0.032213729639733416
87,162.81,23213177,23658496,23658496,23213177,0.02741437646539575,0.027414376465395733
88,81.0,23335561,23658496,23658496,23335561,0.0198282117571554,0.019828211757155358
89,81.162,23436321,23658496,23658496,23436321,0.013612247336516212,0.013612247336516331
90,81.81,1,1,1,1,-0.0,0.0
