feature_id,feature_value,Nz,Ez
extreme_symbols,"0.0.0.0",140021784,7158304
extreme_symbols,"0.0.0.1",130588432,6948384
extreme_symbols,"0.0.0.2",36420408,1647152
extreme_symbols,"0.0.1.0",176972608,8872656
extreme_symbols,"0.0.1.1",68084288,4364816
extreme_symbols,"0.0.2.0",64475168,2673216
extreme_symbols,"0.1.0.0",38226416,1686336
extreme_symbols,"0.1.0.1",37070944,1720960
extreme_symbols,"0.1.0.2",10311472,531952
extreme_symbols,"0.1.1.0",50724288,2053120
extreme_symbols,"0.1.1.1",21612992,671776
extreme_symbols,"0.1.2.0",18214656,923232
extreme_symbols,"0.2.0.0",2536344,95680
extreme_symbols,"0.2.0.1",2616976,105440
extreme_symbols,"0.2.0.2",795768,42784
extreme_symbols,"0.2.1.0",3606976,138432
extreme_symbols,"0.2.1.1",1733952,31392
extreme_symbols,"0.2.2.0",1292896,85664
extreme_symbols,"1.0.0.0",58158368,3812864
extreme_symbols,"1.0.0.1",44188032,4221776
extreme_symbols,"1.0.0.2",10039456,1045232
extreme_symbols,"1.0.1.0",87480640,4066208
extreme_symbols,"1.0.1.1",30659904,2637792
extreme_symbols,"1.0.2.0",33714752,846272
extreme_symbols,"1.1.0.0",7508896,230464
extreme_symbols,"1.1.0.1",6411392,395248
extreme_symbols,"1.1.0.2",1474208,162832
extreme_symbols,"1.1.1.0",12236608,165600
extreme_symbols,"1.1.1.1",5127232,160672
extreme_symbols,"1.1.2.0",4990400,17088
extreme_symbols,"2.0.0.0",100279712,583456
extreme_symbols,"2.0.0.1",2550784,714752
extreme_symbols,"2.0.0.2",310752,131296
extreme_symbols,"2.0.1.0",200705216,607744
extreme_symbols,"2.0.1.1",2575680,607616
extreme_symbols,"2.0.2.0",100425344,128
