rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,2.0.0.2,9711,47316992,48535404544,4564043757,12.250450875956842,3.410652988505087
2,2.0.0.1,89423,47316992,44679069696,6003949643,9.047496700511946,2.895615364665433
3,2.0.1.1,169913,47316992,537367248896,79856901131,8.121418315478303,2.7504194016142636
4,1.1.0.2,107991,23658496,14227628032,2416874577,7.775303469657993,2.5574806501746843
5,1.0.0.2,529715,47316992,983945019392,248959163705,6.480998190276806,1.982668584108059
6,1.0.0.1,1910591,47316992,2544583622656,897952932317,4.63026748376071,1.5027178725613919
7,1.0.1.1,2868713,47316992,3519680364544,1348257816731,4.0438828164651355,1.3843480201123788
8,0.2.2.0,727279,11829248,887836815360,341811675373,4.023705633009228,1.3770928567524199
9,1.0.0.0,4726565,47316992,4960825819136,2221424104655,3.323494362322873,1.1590954510134452
10,0.0.1.1,6854199,47316992,6574341160960,3221384425413,2.7872983789032513,1.029165488163723
11,1.1.0.1,7054555,47316992,6720450117632,3315549140785,2.7457313768016007,1.0193100262832488
12,0.2.0.2,28317691,189267968,26945063288832,13308946640017,2.74065472856322,1.0176245842155351
13,0.0.0.1,44641245,189267968,12406444326912,6993601604605,2.0839810996151833,0.8269821805607964
14,0.1.0.2,45930179,189267968,38005906997248,21586587037673,2.0429159566062376,0.8160885010810334
15,0.0.0.0,31716451,94633984,24295288078336,14906319656137,1.5771270169538782,0.704752436390532
16,0.1.2.0,32854867,94633984,24977859346432,15441360376729,1.5262512607228098,0.693849981358827
17,0.0.1.0,43915655,94633984,6307532472320,4127957389297,1.107623041029348,0.6116476498097576
18,1.0.1.0,49383195,94633984,34543923789824,23209459668465,0.9383381835148604,0.5737190294481332
19,0.1.0.1,51700129,94633984,5116611100672,3471198361189,0.8721904823785949,0.5597547721449938
20,0.0.0.2,107952809,189267968,74068126597120,50736416843483,0.8100294841069211,0.5458312120325632
21,0.1.0.0,112731111,189267968,76561637441536,52982156665557,0.7475445491596516,0.531115114871979
22,0.0.2.0,120790507,189267968,80514404319232,56769968013409,0.6479231909578805,0.5041189809603259
23,0.1.1.0,127131043,189267968,83550262525952,59749937506441,0.5741139155428631,0.4837071572789262
24,0.2.0.1,127458165,189267968,83706172014592,59903680593855,0.5704064720845038,0.48268935517104766
25,0.2.1.0,127909037,189267968,83910865321984,60115584572519,0.5653120710080681,0.4811185835653487
26,0.2.0.0,4007065,5914624,2626635722752,1883268458155,0.5617405451446543,0.4799774634959465
27,1.1.1.1,16108373,23658496,1505177174016,1081532271593,0.5545475783374451,0.47685660205265257
28,0.1.1.1,4111519,5914624,380728782848,276051497179,0.5246149617336212,0.46382621514923117
29,1.1.0.0,33126805,47316992,21406006083584,15569167701535,0.5143592969848005,0.45932382117180093
30,1.0.2.0,34180391,47316992,21718842376192,16064339424917,0.46918946213511786,0.4350855513535247
31,0.2.1.1,34234577,47316992,3104349552640,2298543734357,0.4669041759728368,0.4335708989192078
32,1.1.1.0,34616971,47316992,21791663226880,16269526349377,0.4508788688913131,0.42160406210640355
33,2.0.0.0,4718839,5914624,392988319744,316827569299,0.32585450792845383,0.31078855437904374
34,1.1.2.0,18953331,23658496,11006831362048,8907819176697,0.31990694199066994,0.3052550290537881
35,2.0.1.0,11044675,11829248,5559580950528,5190853669225,0.09900739602289768,0.09900432637081011
36,2.0.2.0,1,1,1,1,-0.0,0.0
