feature_id,feature_value,Nz,Ez
hist_u,"0.0.0.0.0.0.0.2.",12582912,499392
hist_u,"0.0.0.0.0.0.1.1.",25165824,831136
hist_u,"0.0.0.0.0.0.2.0.",12582912,1364832
hist_u,"0.0.0.0.0.1.0.1.",37748736,2055656
hist_u,"0.0.0.0.0.1.1.0.",37748736,1313888
hist_u,"0.0.0.0.0.2.0.0.",28311552,1329920
hist_u,"0.0.0.0.1.0.0.1.",25165824,815008
hist_u,"0.0.0.0.1.0.1.0.",25165824,2378688
hist_u,"0.0.0.0.1.1.0.0.",37748736,1297632
hist_u,"0.0.0.0.2.0.0.0.",12582912,1189344
hist_u,"0.0.0.1.0.0.0.1.",37748736,2055656
hist_u,"0.0.0.1.0.0.1.0.",37748736,1313888
hist_u,"0.0.0.1.0.1.0.0.",56623104,2659840
hist_u,"0.0.0.1.1.0.0.0.",37748736,1297632
hist_u,"0.0.0.2.0.0.0.0.",28311552,1329920
hist_u,"0.0.1.0.0.0.0.1.",25165824,831136
hist_u,"0.0.1.0.0.0.1.0.",25165824,2729664
hist_u,"0.0.1.0.0.1.0.0.",37748736,1313888
hist_u,"0.0.1.0.1.0.0.0.",25165824,2378688
hist_u,"0.0.1.1.0.0.0.0.",37748736,1313888
hist_u,"0.0.2.0.0.0.0.0.",12582912,1364832
hist_u,"0.1.0.0.0.0.0.1.",25165824,998784
hist_u,"0.1.0.0.0.0.1.0.",25165824,831136
hist_u,"0.1.0.0.0.1.0.0.",37748736,2055656
hist_u,"0.1.0.0.1.0.0.0.",25165824,815008
hist_u,"0.1.0.1.0.0.0.0.",37748736,2055656
hist_u,"0.1.1.0.0.0.0.0.",25165824,831136
hist_u,"0.2.0.0.0.0.0.0.",12582912,499392
hist_u,"1.0.0.0.0.0.0.1.",37748736,1131904
hist_u,"1.0.0.0.0.0.1.0.",37748736,3961232
hist_u,"1.0.0.0.0.1.0.0.",56623104,1799808
hist_u,"1.0.0.0.1.0.0.0.",37748736,3976160
hist_u,"1.0.0.1.0.0.0.0.",56623104,1799808
hist_u,"1.0.1.0.0.0.0.0.",37748736,3961232
hist_u,"1.1.0.0.0.0.0.0.",37748736,1131904
hist_u,"2.0.0.0.0.0.0.0.",406847488,2644992
