rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0.0.0.0.0.0.2.0.,3,361,733191,268564,6.910892526166014,1.4489231468966381
2,0.0.1.0.0.0.1.0.,9,361,733191,268564,5.325930025444858,1.4489231468966381
3,0.0.2.0.0.0.0.0.,12,361,733191,268564,4.910892526166014,1.4489231468966381
4,1.0.0.0.1.0.0.0.,21,361,106444099,39478908,4.103537604108411,1.4309419825052627
5,1.0.0.0.0.0.1.0.,30,361,60452699,22559376,3.5889644312786526,1.4220795893085136
6,1.0.1.0.0.0.0.0.,39,361,16318283,6109831,3.2104528080249226,1.417284885509796
7,0.0.0.0.1.0.1.0.,45,361,353419,134282,3.004001930557496,1.3961136722041803
8,0.0.0.0.2.0.0.0.,48,361,78690419,30079168,2.910892526166015,1.3874233280773434
9,0.0.1.0.1.0.0.0.,54,361,9737253,3759896,2.7409675247237026,1.372822070498768
10,0.0.0.0.0.1.0.1.,63,361,163483543,67678128,2.5185751033872545,1.2723838460738277
11,0.0.0.1.0.0.0.1.,72,361,618573139,270712512,2.3259300254448587,1.19218261832358
12,0.1.0.0.0.1.0.0.,81,361,443302585,203034384,2.156005024002546,1.126567705807621
13,0.1.0.1.0.0.0.0.,90,361,88916827,42298830,2.004001930557496,1.0718387081993601
14,0.0.0.0.0.2.0.0.,387,1444,52952924,25983567,1.8996652707427608,1.027110854170454
15,0.0.0.1.0.1.0.0.,441,1444,400676788,207264267,1.7112201813296504,0.9509675212051834
16,0.0.0.2.0.0.0.0.,117,361,103919987,54988479,1.6254903073037663,0.9182718685939172
17,0.0.0.0.0.0.0.2.,120,361,210656857,112796880,1.5889644312786524,0.9011677143512156
18,0.1.0.0.0.0.0.1.,126,361,216290623,118436724,1.5185751033872545,0.8688546297342329
19,0.2.0.0.0.0.0.0.,129,361,109553753,60628323,1.484627771463917,0.853575085135034
20,0.0.0.0.0.1.1.0.,138,361,151012437,86477608,1.387330570109002,0.8042688478329942
21,0.0.0.1.0.0.1.0.,147,361,233929805,138176178,1.2961826820508067,0.7595667751164612
22,0.0.1.0.0.1.0.0.,156,361,482681909,293271888,1.2104528080249226,0.718833969232798
23,0.0.1.1.0.0.0.0.,165,361,41458684,25849285,1.129532812641355,0.6815499468486126
24,0.0.0.0.1.1.0.0.,174,361,170714373,109036984,1.0529115310384427,0.6467669663083793
25,0.0.0.1.1.0.0.0.,183,361,87797005,57338414,0.9801551886031284,0.61466972656448
26,0.0.0.0.0.0.1.1.,189,361,536158283,355310172,0.9336126026660984,0.5935799800912892
27,0.0.1.0.0.0.0.1.,195,361,136383634,91647465,0.8885247131375604,0.5735036507303662
28,0.1.0.0.0.0.1.0.,201,361,184970263,125956516,0.8448033357082423,0.5543675948178867
29,0.1.1.0.0.0.0.0.,207,361,282143521,194574618,0.8023680693878459,0.5361056959043864
30,0.0.0.0.1.0.0.1.,213,361,573481351,400428924,0.7611454066613327,0.5182003846333917
31,0.1.0.0.1.0.0.0.,219,361,6936615,4901293,0.7210679672859976,0.501069419670633
32,1.0.0.0.0.1.0.0.,465,722,100496624,72847985,0.6347681208917774,0.46418606500133597
33,1.0.0.1.0.0.0.0.,246,361,51940319,38538934,0.553340521547931,0.4305382078412393
34,1.0.0.0.0.0.0.1.,255,361,31802656,23969337,0.501501590028313,0.40795725316694653
35,1.1.0.0.0.0.0.0.,264,361,23172229,17725224,0.45146090752871754,0.38659296822077044
36,2.0.0.0.0.0.0.0.,1,1,1,1,-0.0,0.0
