rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1.1.0.0.,29161,369664,3825837568,1957898701,3.6641024533826148,0.9664694992738574
2,0.2.0.0.,43561,369664,5634973184,2924729101,3.085105573942193,0.946105741597121
3,0.1.1.0.,33481,184832,29509260544,15735634747,2.4648000288432614,0.9071323940228692
4,0.1.0.1.,47881,184832,40974712960,22503447547,1.948689363895585,0.8645878023918281
5,1.0.0.1.,63725,184832,7601608768,4278560225,1.5362831790902447,0.8291793778272435
6,0.0.0.2.,567761,1478656,466829627904,266840289107,1.3809307999695977,0.8069196168266103
7,0.0.1.1.,670751,1478656,538064989696,315244250237,1.1404372520976744,0.7713103805569103
8,2.0.0.0.,888635,1478656,53688705536,37967899795,0.7346235876362857,0.49983842306849535
9,1.0.1.0.,1291255,1478656,667172544512,606873063685,0.19551252205543967,0.13666513279532147
10,0.0.2.0.,1,1,1,1,-0.0,0.0
