rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0:1:1;4:1:1;,767,5914624,7425810432,360480029,12.912772259384237,4.364557246311447
2,0:1:2;,523,2957312,4950540288,245803201,12.46518789064023,4.332010376846283
3,4:1:2;,597,2957312,1869021184,93527413,12.274267905622366,4.320749828176335
4,0:1:1;4:3:1;,14983,47316992,137692446720,7041815221,11.624816128227696,4.289358239679052
5,0:3:1;4:1:1;,10207,23658496,92835938304,4797157309,11.178583749888604,4.274431749763554
6,4:1:1;4:3:1;,11323,23658496,1525972992,79427803,11.028886400147215,4.263941519683951
7,2:1:1;2:2:1;,8769,11829248,76807307264,4121316003,10.397658412359963,4.220066580042849
8,2:1:1;6:2:1;,23753,23658496,204989038592,11163601211,9.960032910239697,4.1986723671254715
9,2:2:1;6:1:1;,1873,1478656,2288959488,125755093,9.624719842644126,4.1860031945018505
10,6:1:1;6:2:1;,36183,23658496,307737886720,17005539621,9.352830617883463,4.177625378403227
11,0:3:1;4:3:1;,38491,23658496,325570478080,18090269617,9.263621494341736,4.169684070413529
12,2:0:1;2:1:1;,11967,5914624,33055354880,1874778143,8.949081118078851,4.140092217885722
13,2:0:1;6:1:1;,57245,23658496,93551607808,5380881163,8.690992959197514,4.119848098026832
14,2:1:1;6:0:1;,33311,11829248,38489415680,2236533851,8.472143982806521,4.105125269811311
15,6:0:1;6:1:1;,75999,23658496,18483200000,1082380061,8.282162211735873,4.093935479186847
16,0:1:1;0:3:1;,20165,5914624,161028595712,9477287855,8.196289241593933,4.086698839274666
17,4:3:2;,40753,11829248,325023375360,19153380211,8.181236381225553,4.084872550829219
18,0:0:1;0:1:1;,50247,11829248,381176815616,23615436789,7.879105184664551,4.012658247818088
19,0:0:1;4:1:1;,234001,47316992,1719966744576,109977427987,7.6596998572914305,3.9671013135083046
20,0:1:1;0:2:1;,267119,47316992,1915847262208,125542457453,7.468731954871633,3.931735289442716
21,0:1:1;4:0:1;,75033,11829248,75396669440,5037790653,7.30061740552314,3.9036377187523765
22,0:1:1;4:2:1;,20625,2957312,142985295872,9693481875,7.163748527979268,3.8827080112238206
23,0:2:1;4:1:1;,89967,11829248,616105680896,42283320429,7.0387467310819485,3.8650172599141266
24,4:0:1;4:1:1;,94719,11829248,644211974144,44516698653,6.964488797606675,3.8551169648731007
25,4:1:1;4:2:1;,99101,11829248,670129856512,46576181687,6.89924303202725,3.846776407967775
26,2:0:1;2:3:1;,1677583,189267968,11229930979328,788442201421,6.817902310674868,3.8322002517463747
27,2:0:1;6:3:1;,884775,94633984,1956297375744,138610915975,6.74090393076288,3.819012907181742
28,2:3:1;6:0:1;,1861517,189267968,12245637529600,874888790279,6.667807666136555,3.807024431559497
29,6:0:1;6:3:1;,488371,47316992,3188372701184,229528021177,6.598237018378849,3.796078085169947
30,2:2:1;2:3:1;,2019131,189267968,13111727751168,948965321297,6.550551942674024,3.7883586270586744
31,2:2:1;6:3:1;,1042389,94633984,6734982348800,489909278943,6.5043926927664755,3.7810876428268316
32,2:3:1;6:2:1;,2150425,189267968,13828201644032,1010671794475,6.459664642027897,3.7742270687023085
33,6:2:1;6:3:1;,277009,23658496,253329260544,18598661269,6.416281702369264,3.7677430386853823
34,0:3:2;,563729,47316992,3595145052160,264945301523,6.391212766273303,3.762283531481398
35,4:2:1;4:3:1;,30735,2490368,64595787776,4815016815,6.3403326488238205,3.7458273499770525
36,4:0:1;4:3:1;,606281,47316992,3777528397824,284944188347,6.2862279413512985,3.728691327756136
37,0:0:1;4:3:1;,643189,47316992,559641722880,43184352649,6.200971819100732,3.6959229552130752
38,0:3:1;4:0:1;,680097,47316992,122953203712,9685962083,6.120474024559736,3.666070161241802
39,0:2:1;4:3:1;,357003,23658496,697496821760,55928922987,6.050278354759184,3.640520189128704
40,0:3:1;4:2:1;,747915,47316992,1437502046208,117170109035,5.983340234271357,3.616887530067828
41,0:0:1;0:3:1;,828405,47316992,648159985664,55619940105,5.835878291198266,3.542675862012859
42,0:2:1;0:3:1;,47305,2490368,49821057024,4446547007,5.71822245362821,3.4859982883150686
43,3:1:1;4:1:1;,932215,47316992,4812161744896,438128931205,5.665551825401106,3.457257745567578
44,4:1:1;5:1:1;,965635,47316992,4891323072512,453835896745,5.614736584092179,3.4299821275230937
45,0:1:1;1:1:1;,989451,47316992,704952205312,66432729591,5.579586289146643,3.4075593500299326
46,0:1:1;7:1:1;,1013267,47316992,4978007801856,476222317529,5.545272077283149,3.385861354105795
47,1:1:1;4:3:1;,1035009,47316992,716769624064,69491539269,5.514643144718672,3.3666002561120223
48,1:3:1;4:1:1;,1056751,47316992,5056766935040,496659232237,5.484650979976067,3.3478870519834194
49,4:1:1;7:3:1;,1078493,47316992,5096146501632,506877689591,5.455269644901496,3.329697182429853
50,4:3:1;7:1:1;,1100235,47316992,5135526068224,517096146945,5.426474754608661,3.3120076095863484
51,1:3:1;4:3:1;,1117981,47316992,5166820343808,525436536247,5.40339078766338,3.297688293575504
52,4:3:1;7:3:1;,1135727,47316992,5198114619392,533776925549,5.3806703683883965,3.2836795996595103
53,3:1:1;4:3:1;,2337495,94633984,2101714321408,219718452513,5.339323178544721,3.2578386410427123
54,3:3:1;4:1:1;,150221,5914624,663807123456,70601917127,5.299128045336402,3.2329848472337854
55,4:1:1;5:3:1;,2469577,94633984,10733256343552,1160669085499,5.260022505738194,3.2090592252288106
56,4:3:1;5:1:1;,1267809,47316992,774685622272,85121964069,5.221949042928284,3.1860076198309883
57,0:1:1;3:1:1;,1321499,47316992,5512346763264,621087350513,5.162111124294136,3.1497985557187094
58,0:1:1;5:1:1;,1375189,47316992,5601894170624,646320952543,5.104656547562337,3.115592061668667
59,1:1:1;4:1:1;,1401077,47316992,194650275840,22706481931,5.07775021238275,3.0997082871777435
60,4:1:1;7:1:1;,1426965,47316992,5687821828096,670654999455,5.051336508135219,3.084233566570561
61,0:0:1;2:0:1;,1517185,47316992,1166399340544,142611445319,4.96288944428551,3.031900133700092
62,0:0:1;6:0:1;,1607405,47316992,5976171577344,755459453735,4.879552982889345,2.983795337154586
63,1:1:1;3:1:1;,417413,11829248,1518683217920,196178683631,4.8247390196491295,2.952580774578541
64,1:1:1;5:1:1;,1731899,47316992,6173294166016,813970015313,4.771931659396645,2.9229929842290105
65,3:1:1;7:1:1;,897073,23658496,3135927730176,421612648051,4.720989162118807,2.8949022593746263
66,5:1:1;7:1:1;,1856393,47316992,910059536384,124640082413,4.6717842949790604,2.868192837532819
67,0:1:1;1:3:1;,3779223,94633984,12843535040512,1776185680101,4.646196807580613,2.854188030804144
68,0:1:1;7:3:1;,961415,23658496,3236559142912,451852551605,4.6210552398661715,2.840536892328613
69,0:3:1;1:1:1;,3912097,94633984,13048938102784,1838634732739,4.596344315369978,2.8272256035283063
70,0:3:1;7:1:1;,1989267,47316992,6575819816960,934929629529,4.572049529443648,2.814241083354029
71,2:1:1;4:1:1;,2039947,47316992,6652709928960,958748570689,4.535754787636055,2.7947177038458704
72,4:1:1;6:1:1;,110033,2490368,354189475840,51714079571,4.500350771652868,2.77589232103311
73,2:0:1;4:0:1;,2150367,47316992,6818745253888,1010644535229,4.4597035540759,2.7542306267575003
74,4:0:1;6:0:1;,2210107,47316992,6907890466816,1038721558609,4.420170239696279,2.7334362324394434
75,0:1:1;3:3:1;,1131797,23658496,3492996538368,531929876639,4.38567123910713,2.715157237516802
76,0:1:1;5:3:1;,2317081,47316992,7064095686656,1088997947947,4.351977979067756,2.697503649618408
77,0:3:1;3:1:1;,296321,5914624,127539255296,19895288261,4.319053680041521,2.68044265504122
78,0:3:1;5:1:1;,2424055,47316992,7220300906496,1139274337285,4.286864024706314,2.6639437728954136
79,0:0:1;2:1:1;,5000141,94633984,14660472045568,2350001268167,4.242317679249115,2.6411981164245457
80,0:0:1;6:1:1;,1288043,23658496,531440795648,86480495063,4.1991057004060846,2.6194622924588105
81,0:1:1;2:0:1;,5304203,94633984,15100212510720,2492906455361,4.1571504668996395,2.598668200463151
82,0:1:1;6:0:1;,2728117,47316992,7660041371648,1282179524479,4.116380939410518,2.5787539089502514
83,0:0:1;2:3:1;,5620787,94633984,15548126986240,2641696819769,4.073514312613891,2.557203988681297
84,0:0:1;6:3:1;,1446335,23658496,3944042807296,679758647645,4.031884709656336,2.5365807053941447
85,0:3:1;2:0:1;,5949893,94633984,16004215472128,2796372361391,3.9914227336394594,2.516823571538779
86,0:3:1;6:0:1;,3057223,47316992,8116129857536,1436855066101,3.9520646684194536,2.497877402139938
87,1:1:1;3:3:1;,6236485,94633984,3278807302144,586213375139,3.9235533294171874,2.483673325721903
