feature_id,feature_value,Nz,Ez
at_correlations,"-1.-1",5111808,137728
at_correlations,"-1.-10",262144,3840
at_correlations,"-1.-11",524288,33792
at_correlations,"-1.-12",262144,6400
at_correlations,"-1.-14",262144,6656
at_correlations,"-1.-15",65536,8464
at_correlations,"-1.-16",262144,27264
at_correlations,"-1.-19",524288,9216
at_correlations,"-1.-2",917504,34944
at_correlations,"-1.-25",131072,17488
at_correlations,"-1.-29",524288,1024
at_correlations,"-1.-3",524288,0
at_correlations,"-1.-4",786432,27072
at_correlations,"-1.-41",524288,7168
at_correlations,"-1.-5",1048576,46080
at_correlations,"-1.-51",262144,4992
at_correlations,"-1.-55",524288,15872
at_correlations,"-1.-6",786432,24816
at_correlations,"-1.-7",524288,0
at_correlations,"-1.-71",524288,14336
at_correlations,"-1.-8",786432,16896
at_correlations,"-1.-9",524288,0
at_correlations,"-1.0",1572864,1792
at_correlations,"-1.1",5111808,137728
at_correlations,"-1.10",262144,3840
at_correlations,"-1.11",524288,33792
at_correlations,"-1.12",262144,6400
at_correlations,"-1.14",262144,6656
at_correlations,"-1.15",65536,8464
at_correlations,"-1.16",262144,27264
at_correlations,"-1.19",524288,9216
at_correlations,"-1.2",917504,34944
at_correlations,"-1.25",131072,17488
at_correlations,"-1.29",524288,1024
at_correlations,"-1.3",524288,0
at_correlations,"-1.4",786432,27072
at_correlations,"-1.41",524288,7168
at_correlations,"-1.5",1048576,46080
at_correlations,"-1.51",262144,4992
at_correlations,"-1.55",524288,15872
at_correlations,"-1.6",786432,24816
at_correlations,"-1.7",524288,0
at_correlations,"-1.71",524288,14336
at_correlations,"-1.8",786432,16896
at_correlations,"-1.9",524288,0
at_correlations,"-10.-10",2228224,88384
at_correlations,"-10.-14",262144,26272
at_correlations,"-10.-15",131072,3072
at_correlations,"-10.-2",262144,26272
at_correlations,"-10.-22",131072,6896
at_correlations,"-10.-30",262144,28016
at_correlations,"-10.-5",131072,8064
at_correlations,"-10.-50",262144,20512
at_correlations,"-10.-55",65536,1248
at_correlations,"-10.-6",524288,16384
at_correlations,"-10.-7",65536,8616
at_correlations,"-10.-70",262144,15696
at_correlations,"-10.10",2228224,88384
at_correlations,"-10.14",262144,26272
at_correlations,"-10.15",131072,3072
at_correlations,"-10.2",262144,26272
at_correlations,"-10.22",131072,6896
at_correlations,"-10.30",262144,28016
at_correlations,"-10.5",131072,8064
at_correlations,"-10.50",262144,20512
at_correlations,"-10.55",65536,1248
at_correlations,"-10.6",524288,16384
at_correlations,"-10.7",65536,8616
at_correlations,"-10.70",262144,15696
at_correlations,"-100.-96",524288,12288
at_correlations,"-100.96",524288,12288
at_correlations,"-101.-81",524288,0
at_correlations,"-101.81",524288,0
at_correlations,"-102.-93",262144,9704
at_correlations,"-102.-94",262144,24064
at_correlations,"-102.93",262144,9704
at_correlations,"-102.94",262144,24064
at_correlations,"-105.-105",524288,12288
at_correlations,"-105.105",524288,12288
at_correlations,"-106.-104",524288,16320
at_correlations,"-106.-90",524288,0
at_correlations,"-106.104",524288,16320
at_correlations,"-106.90",524288,0
at_correlations,"-108.-102",524288,27648
at_correlations,"-108.-117",262144,9216
at_correlations,"-108.102",524288,27648
at_correlations,"-108.117",262144,9216
at_correlations,"-11.-1",131072,12672
at_correlations,"-11.-11",1048576,32768
at_correlations,"-11.-14",131072,8064
at_correlations,"-11.-17",131072,14424
at_correlations,"-11.-22",262144,17512
at_correlations,"-11.-25",262144,7168
at_correlations,"-11.-4",131072,12840
at_correlations,"-11.-41",196608,18340
at_correlations,"-11.-44",589824,57840
at_correlations,"-11.-66",262144,22536
at_correlations,"-11.-9",524288,30144
at_correlations,"-11.0",262144,2512
at_correlations,"-11.1",131072,12672
at_correlations,"-11.11",1048576,32768
at_correlations,"-11.14",131072,8064
at_correlations,"-11.17",131072,14424
at_correlations,"-11.22",262144,17512
at_correlations,"-11.25",262144,7168
at_correlations,"-11.4",131072,12840
at_correlations,"-11.41",196608,18340
at_correlations,"-11.44",589824,57840
at_correlations,"-11.66",262144,22536
at_correlations,"-11.9",524288,30144
at_correlations,"-111.-99",524288,9216
at_correlations,"-111.99",524288,9216
at_correlations,"-112.-112",131072,8928
at_correlations,"-112.-113",131072,6656
at_correlations,"-112.112",131072,8928
at_correlations,"-112.113",131072,6656
at_correlations,"-113.-112",524288,8192
at_correlations,"-113.112",524288,8192
at_correlations,"-114.-110",262144,15168
at_correlations,"-114.-111",262144,22432
at_correlations,"-114.110",262144,15168
at_correlations,"-114.111",262144,22432
at_correlations,"-117.-108",524288,6144
at_correlations,"-117.-123",262144,21176
at_correlations,"-117.108",524288,6144
at_correlations,"-117.123",262144,21176
at_correlations,"-12.-12",1835008,101024
at_correlations,"-12.-13",131072,15008
at_correlations,"-12.-16",131072,21888
at_correlations,"-12.-18",262144,36744
at_correlations,"-12.-20",196608,15808
at_correlations,"-12.-3",262144,18144
at_correlations,"-12.-30",65536,9448
at_correlations,"-12.-33",65536,6976
at_correlations,"-12.-36",393216,40256
at_correlations,"-12.-38",131072,8640
at_correlations,"-12.-4",327680,35972
at_correlations,"-12.-6",65536,8384
at_correlations,"-12.-60",262144,14336
at_correlations,"-12.-8",65536,1536
at_correlations,"-12.-9",131072,11648
at_correlations,"-12.0",524288,35568
at_correlations,"-12.12",1835008,101024
at_correlations,"-12.13",131072,15008
at_correlations,"-12.16",131072,21888
at_correlations,"-12.18",262144,36744
at_correlations,"-12.20",196608,15808
at_correlations,"-12.3",262144,18144
at_correlations,"-12.30",65536,9448
at_correlations,"-12.33",65536,6976
at_correlations,"-12.36",393216,40256
at_correlations,"-12.38",131072,8640
at_correlations,"-12.4",327680,35972
at_correlations,"-12.6",65536,8384
at_correlations,"-12.60",262144,14336
at_correlations,"-12.8",65536,1536
at_correlations,"-12.9",131072,11648
at_correlations,"-120.-120",524288,29312
at_correlations,"-120.120",524288,29312
at_correlations,"-121.-119",524288,26784
at_correlations,"-121.119",524288,26784
at_correlations,"-123.-117",524288,25328
at_correlations,"-123.117",524288,25328
at_correlations,"-126.-130",262144,14496
at_correlations,"-126.130",262144,14496
at_correlations,"-128.-127",262144,29632
at_correlations,"-128.-128",524288,30400
at_correlations,"-128.127",262144,29632
at_correlations,"-128.128",524288,30400
at_correlations,"-13.-1",131072,14424
at_correlations,"-13.-12",524288,20096
at_correlations,"-13.-13",786432,24576
at_correlations,"-13.-15",131072,14688
at_correlations,"-13.-17",393216,25984
at_correlations,"-13.-22",131072,28384
at_correlations,"-13.-26",262144,20480
at_correlations,"-13.-3",65536,7104
at_correlations,"-13.-52",262144,10752
at_correlations,"-13.-57",131072,5632
at_correlations,"-13.-7",786432,39936
