rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-14.-4,1,23104,2926988,469987,14.49585502688717,2.63872407400978
2,-14.4,1,11552,2926988,469987,13.49585502688717,2.63872407400978
3,14.-4,3,23104,2926988,469987,12.910892526166014,2.63872407400978
4,14.4,1,5776,2926988,469987,12.49585502688717,2.63872407400978
5,15.-48,5,23104,14551188,2349935,12.173926931999809,2.6304441866111734
6,15.48,3,11552,8697212,1409961,11.910892526166014,2.6248977434047176
7,-60.-39,7,23104,20228996,3289909,11.688500104829567,2.620305134036763
8,-60.39,1,2888,2882946,469987,11.49585502688717,2.616851057175929
9,60.-39,9,23104,25865650,4229883,11.325930025444858,2.612347783137439
10,60.39,5,11552,14333866,2349935,11.173926931999809,2.6087350156510998
11,-15.-48,11,23104,4494450,738551,11.036423408249874,2.6053751258059936
12,-15.48,3,5776,8563642,1409961,10.910892526166014,2.602569227891046
13,36.-54,13,23104,36876872,6109831,10.79541530874608,2.5935119072321644
14,36.54,7,11552,19749588,3289909,10.688500104829567,2.5857029730711982
15,-42.-12,15,23104,6009928,1007115,10.588964431278653,2.5771192767273012
16,-42.12,1,1444,5579977,939974,10.49585502688717,2.569566418429629
17,-13.-22,9,11552,24881564,4229883,10.325930025444858,2.5563875093583652
18,-13.22,5,5776,392046,67141,10.173926931999809,2.545757010404847
19,13.-22,11,11552,2727716,469987,10.036423408249874,2.537000686931251
20,13.22,3,2888,8141633,1409961,9.910892526166014,2.529662932907217
21,42.-12,25,23104,67677392,11749675,9.851998837112447,2.526053122266075
22,42.12,13,11552,35110860,6109831,9.79541530874608,2.522712953527849
23,-27.-38,27,23104,72761716,12689649,9.740967524723702,2.519527403370158
24,-27.38,7,5776,18825428,3289909,9.688500104829567,2.5165630810499136
25,-38.-37,29,23104,11118800,1947089,9.6378740317596,2.513610357942539
26,-38.37,15,11552,40180744,7049805,9.588964431278653,2.510849019997752
27,38.-37,31,23104,82891376,14569597,9.541658716500296,2.5082610393433593
28,38.37,1,722,5338829,939974,9.49585502688717,2.505830583927841
29,-48.-15,17,11552,45219582,7989779,9.408392185636831,2.5007201528082
30,-48.15,9,5776,23864266,4229883,9.325930025444858,2.496162300116753
31,39.-60,1,608,2643622,469987,9.247927513443585,2.4918231498892545
32,39.60,5,2888,13182276,2349935,9.173926931999809,2.4879067248912707
33,-36.-54,41,23104,107950552,19269467,9.138303022269087,2.485982048668101
34,-36.54,21,11552,55221448,9869727,9.10353760410841,2.484146633420664
35,-39.-60,11,5776,28844622,5169857,9.036423408249874,2.4801060766729894
36,-39.60,23,11552,60157040,10809701,8.972293070830158,2.4764069634138774
37,48.-15,3,1444,15654043,2819922,8.910892526166014,2.4728081500713395
38,48.15,25,11552,9296472,1678525,8.851998837112447,2.4694892943034383
39,27.-38,51,23104,132538984,23969337,8.823429684915675,2.467154856129624
40,27.38,13,5776,33731840,6109831,8.79541530874608,2.4649066361691685
41,-14.-26,53,23104,2590536,469987,8.767934572323972,2.462557875462142
42,-14.26,27,11552,69834728,12689649,8.740967524723702,2.460292486089484
43,14.-26,55,23104,142040504,25849285,8.714495313362512,2.4581061038017995
44,14.26,7,2888,18051444,3289909,8.688500104829567,2.4559946639089816
45,-50.-48,3,1216,367688,67141,8.66296501272243,2.4532161631368243
46,-50.48,29,11552,74501736,13629623,8.6378740317596,2.4505283856220075
47,0.-14,15,5776,12799616,2349935,8.588964431278653,2.445407771704707
48,0.14,31,11552,79093656,14569597,8.541658716500296,2.440601010112914
49,50.-48,63,23104,53494424,9869727,8.518575103387255,2.4383064348865395
50,50.48,1,361,726693,134282,8.49585502688717,2.4360800795218247
51,-32.-22,65,23104,164988552,30549155,8.473487213858716,2.433161543919617
52,-32.22,33,11552,27866312,5169857,8.451460907528718,2.430325799124856
53,-18.-3,69,23104,173811392,32429103,8.387330570109002,2.4221616187921255
54,-18.3,9,2888,22553114,4229883,8.325930025444858,2.414636982419585
55,18.-3,75,23104,8906592,1678525,8.26703633639129,2.407679482740795
56,18.3,39,11552,7448152,1409961,8.210452808024923,2.401227257610939
57,-36.-12,79,23104,27973168,5304139,8.192074278710068,2.3988531620250066
58,-36.12,5,1444,2474655,469987,8.173926931999809,2.396534651209469
59,-42.-48,81,23104,66709912,12689649,8.156005024002546,2.394248973887556
60,-42.48,41,11552,101143536,19269467,8.138303022269087,2.3920155495281925
61,42.-48,83,23104,29206344,5572703,8.120815595540247,2.389832603958927
62,42.48,21,5776,17216812,3289909,8.10353760410841,2.387698442540543
63,-55.-65,85,23104,208754748,39948895,8.08646409074947,2.385581507799549
64,-55.65,43,11552,105453876,20209441,8.069590272185073,2.383510801000248
65,36.-12,87,23104,10145544,1947089,8.052911531038443,2.381455488695284
66,36.12,11,2888,26900637,5169857,8.036423408249874,2.3794440550549774
67,-19.-41,91,23104,31664032,6109831,7.988060386688475,2.373640595227564
68,-19.41,47,11552,114045676,22089389,7.941266175209534,2.368186329510318
69,71.-61,97,23104,234488272,45588739,7.8959421847000435,2.3627663582950835
70,71.61,25,5776,60221298,11749675,7.851998837112446,2.357652952103001
71,-71.-61,103,23104,247244568,48408661,7.809354499703953,2.3526017306789377
72,-71.61,53,11552,126801972,24909311,7.767934572323972,2.3478201603603552
73,-72.-88,107,23104,255715794,50288609,7.754388040486024,2.3462377161304726
74,-72.88,27,5776,2387293,469987,7.740967524723702,2.3446828867794123
75,32.-22,109,23104,259932996,51228583,7.727670702110244,2.343118889706452
76,32.22,55,11552,11910834,2349935,7.714495313362511,2.3415816776377167
77,19.-41,113,23104,268351516,53108531,7.6756760644719835,2.3371085087000876
78,19.41,29,5776,338257,67141,7.637874031759599,2.332853860259672
79,-7.-21,117,23104,276744044,54988479,7.6254903073037665,2.3313509812742286
80,-7.21,59,11552,139411702,27729233,7.61321197752533,2.3298720472447765
81,6.-22,15,2888,7074517,1409961,7.588964431278653,2.3269763961408683
82,6.22,61,11552,20509854,4095601,7.565117689324285,2.324170144349126
83,-58.-54,31,5776,10402576,2081371,7.5416587165002955,2.321334778119886
84,-58.54,63,11552,3014350,604269,7.5185751033872545,2.3185841034069496
85,58.-54,2,361,5348937,1074256,7.495855026887171,2.3159143767000856
86,58.54,65,11552,1668542,335705,7.473487213858716,2.3133220721807537
87,-6.-22,33,5776,76946428,15509571,7.451460907528718,2.3106955739602983
88,-6.22,67,11552,155948390,31489129,7.429765836429398,2.3081429008055947
89,79.-71,135,23104,313945816,63448245,7.4190394298363405,2.3068634211471637
90,79.71,17,2888,78998713,15979558,7.408392185636831,2.3056016465694062
91,-22.-26,137,23104,318020062,64388219,7.397822943926644,2.304249129250125
92,-22.26,69,11552,160022636,32429103,7.387330570109002,2.3029149719334514
93,22.-26,139,23104,322070482,65328193,7.376913954163664,2.3015988027336594
94,22.26,35,5776,81023923,16449545,7.366572009942204,2.3003002597559146
95,-14.-16,141,23104,6938420,1409961,7.356303674488378,2.2989519154828377
96,-14.16,71,11552,23436842,4767011,7.346107907382489,2.2976213271651074
97,14.-16,143,23104,330125836,67208141,7.335983690108781,2.2963081458075183
98,14.16,9,1444,83033971,16919532,7.325930025444858,2.2950120315155975
99,-12.-16,73,11552,168043334,34309051,7.306030468007154,2.2921721883391
100,-12.16,37,5776,85009363,17389519,7.286401661258221,2.28940372183866
101,-16.-12,75,11552,171994118,35249025,7.26703633639129,2.2867039695271862
102,-16.12,1,152,4578145,939974,7.247927513443585,2.2840703999469056
103,-51.-47,153,23104,349914412,71908011,7.238467184194519,2.282777676453777
104,-51.47,77,11552,25134986,5169857,7.229068486192269,2.2815006046930604
105,12.-16,39,5776,88960147,18329493,7.210452808024923,2.278992291014213
106,12.16,79,11552,179895686,37128973,7.192074278710068,2.2765432749410492
107,16.-12,5,722,90935539,18799480,7.173926931999809,2.274151474900076
108,16.12,81,11552,183846470,38068947,7.156005024002546,2.271814905772705
109,51.-47,163,23104,369668332,76607881,7.147126872656093,2.27066673745734
110,51.47,41,5776,92910931,19269467,7.1383030222690875,2.2695316733638404
111,-26.-38,165,23104,323456,67141,7.129532812641355,2.2683035446580893
112,-26.38,83,11552,187769818,39008921,7.120815595540246,2.267089185160248
113,26.-38,167,23104,377486870,78487829,7.1121507344131185,2.265885604810141
114,26.38,21,2888,6775609,1409961,7.103537604108411,2.264695365742778
115,75.-68,169,23104,381340184,79427803,7.094975590604987,2.26336256058898
116,75.68,85,11552,191623132,39948895,7.08646409074947,2.2620442247437675
117,-74.-54,9,1216,2895866,604269,7.078002512001273,2.2607320099361248
118,-74.54,43,5776,96763523,20209441,7.069590272185073,2.2594338795820263
119,26.-37,173,23104,388932736,81307751,7.061226799250447,2.2580558749047603
120,26.37,87,11552,65135230,13629623,7.0529115310384425,2.2566924145257095
121,-40.-51,175,23104,392682804,82247725,7.044643915054842,2.2553167431509027
122,-40.51,11,1444,98638557,20679428,7.036423408249874,2.2539554136972675
123,7.-21,177,23104,18877412,3961319,7.028249476804174,2.25260820245081
124,7.21,89,11552,199148538,41828843,7.020121595920773,2.251274890338455
125,74.-54,179,23104,400164168,84127673,7.012039249622915,2.2499396449151923
126,74.54,45,5776,2233507,469987,7.0040019305574965,2.248618019156518
127,-79.-71,181,23104,403863696,85067647,6.996009139803966,2.247186011210397
128,-79.71,91,11552,202848066,42768817,6.988060386688475,2.245768340180157
