feature_id,feature_value,Nz,Ez
at_norm_pair,"A=0|t=0",1048576,0
at_norm_pair,"A=0|t=1",2097152,0
at_norm_pair,"A=0|t=2",1048576,32768
at_norm_pair,"A=100|t=0",2097152,0
at_norm_pair,"A=100|t=1",4194304,0
at_norm_pair,"A=100|t=100",4194304,81920
at_norm_pair,"A=100|t=106",1048576,32768
at_norm_pair,"A=100|t=113",2097152,40576
at_norm_pair,"A=100|t=117",2097152,49152
at_norm_pair,"A=100|t=130",1048576,64000
at_norm_pair,"A=100|t=17",524288,16896
at_norm_pair,"A=100|t=2",2097152,65536
at_norm_pair,"A=100|t=20",1048576,111616
at_norm_pair,"A=100|t=25",524288,101760
at_norm_pair,"A=100|t=26",1048576,12288
at_norm_pair,"A=100|t=29",2097152,140160
at_norm_pair,"A=100|t=34",1048576,183232
at_norm_pair,"A=100|t=37",524288,10880
at_norm_pair,"A=100|t=40",1048576,61888
at_norm_pair,"A=100|t=45",524288,76064
at_norm_pair,"A=100|t=74",1048576,61056
at_norm_pair,"A=100|t=85",2097152,81920
at_norm_pair,"A=100|t=89",2097152,73728
at_norm_pair,"A=100|t=98",1048576,48512
at_norm_pair,"A=106|t=0",2097152,0
at_norm_pair,"A=106|t=1",4194304,0
at_norm_pair,"A=106|t=100",1048576,147456
at_norm_pair,"A=106|t=106",6291456,0
at_norm_pair,"A=106|t=117",3145728,122880
at_norm_pair,"A=106|t=2",2097152,65536
at_norm_pair,"A=106|t=25",524288,87552
at_norm_pair,"A=106|t=32",1048576,65536
at_norm_pair,"A=106|t=34",1048576,100992
at_norm_pair,"A=106|t=41",2621440,74752
at_norm_pair,"A=106|t=45",524288,55968
at_norm_pair,"A=106|t=50",1048576,28672
at_norm_pair,"A=106|t=52",1048576,59392
at_norm_pair,"A=106|t=61",524288,27008
at_norm_pair,"A=106|t=80",1048576,49152
at_norm_pair,"A=106|t=89",2097152,147456
at_norm_pair,"A=106|t=97",3145728,4096
at_norm_pair,"A=10|t=0",2097152,0
at_norm_pair,"A=10|t=1",4194304,0
at_norm_pair,"A=10|t=10",4718592,190208
at_norm_pair,"A=10|t=13",3145728,261504
at_norm_pair,"A=10|t=16",1048576,32768
at_norm_pair,"A=10|t=17",3145728,150528
at_norm_pair,"A=10|t=18",524288,58688
at_norm_pair,"A=10|t=2",2097152,65536
at_norm_pair,"A=10|t=20",3145728,271488
at_norm_pair,"A=10|t=25",1048576,117504
at_norm_pair,"A=10|t=26",524288,50432
at_norm_pair,"A=10|t=29",1048576,115392
at_norm_pair,"A=10|t=34",524288,70688
at_norm_pair,"A=10|t=4",1048576,189056
at_norm_pair,"A=10|t=5",2097152,221184
at_norm_pair,"A=10|t=8",1048576,115968
at_norm_pair,"A=10|t=9",2097152,165120
at_norm_pair,"A=113|t=0",2097152,0
at_norm_pair,"A=113|t=1",4194304,0
at_norm_pair,"A=113|t=10",1048576,158720
at_norm_pair,"A=113|t=100",2097152,73728
at_norm_pair,"A=113|t=113",5242880,94208
at_norm_pair,"A=113|t=117",1048576,73728
at_norm_pair,"A=113|t=128",2097152,98304
at_norm_pair,"A=113|t=13",524288,112128
at_norm_pair,"A=113|t=130",2097152,115968
at_norm_pair,"A=113|t=145",1048576,110592
at_norm_pair,"A=113|t=16",1048576,8192
at_norm_pair,"A=113|t=17",2097152,67584
at_norm_pair,"A=113|t=2",2097152,65536
at_norm_pair,"A=113|t=20",1048576,138112
at_norm_pair,"A=113|t=25",524288,4096
at_norm_pair,"A=113|t=26",1048576,11776
at_norm_pair,"A=113|t=29",524288,56352
at_norm_pair,"A=113|t=85",1048576,45056
at_norm_pair,"A=113|t=9",524288,69600
at_norm_pair,"A=113|t=98",2097152,81920
at_norm_pair,"A=117|t=0",2097152,0
at_norm_pair,"A=117|t=1",4194304,0
at_norm_pair,"A=117|t=100",2097152,147456
at_norm_pair,"A=117|t=106",3145728,0
at_norm_pair,"A=117|t=113",1048576,93632
at_norm_pair,"A=117|t=117",6291456,122880
at_norm_pair,"A=117|t=13",524288,60800
at_norm_pair,"A=117|t=130",3145728,279360
at_norm_pair,"A=117|t=18",1048576,122112
at_norm_pair,"A=117|t=2",2097152,65536
at_norm_pair,"A=117|t=20",1048576,101376
at_norm_pair,"A=117|t=25",2621440,258560
at_norm_pair,"A=117|t=29",524288,60416
at_norm_pair,"A=117|t=32",1048576,98304
at_norm_pair,"A=117|t=34",1048576,107520
at_norm_pair,"A=117|t=41",524288,49664
at_norm_pair,"A=117|t=89",1048576,53056
at_norm_pair,"A=128|t=0",1048576,0
at_norm_pair,"A=128|t=1",2097152,0
at_norm_pair,"A=128|t=10",1048576,111424
at_norm_pair,"A=128|t=113",2097152,104576
at_norm_pair,"A=128|t=128",2097152,73152
at_norm_pair,"A=128|t=130",1048576,84480
at_norm_pair,"A=128|t=145",2097152,98304
at_norm_pair,"A=128|t=16",524288,8192
at_norm_pair,"A=128|t=162",524288,24576
at_norm_pair,"A=128|t=17",524288,17536
at_norm_pair,"A=128|t=2",1048576,32768
at_norm_pair,"A=128|t=4",524288,112000
at_norm_pair,"A=128|t=5",524288,114912
at_norm_pair,"A=128|t=9",1048576,90368
at_norm_pair,"A=128|t=98",524288,39360
at_norm_pair,"A=130|t=0",2097152,0
at_norm_pair,"A=130|t=1",4194304,0
at_norm_pair,"A=130|t=10",1048576,52224
at_norm_pair,"A=130|t=100",1048576,45056
at_norm_pair,"A=130|t=113",2097152,73728
at_norm_pair,"A=130|t=117",3145728,92672
at_norm_pair,"A=130|t=128",1048576,49152
at_norm_pair,"A=130|t=13",2621440,157184
at_norm_pair,"A=130|t=130",6291456,196352
at_norm_pair,"A=130|t=145",3145728,129536
at_norm_pair,"A=130|t=17",524288,29184
at_norm_pair,"A=130|t=18",1048576,89088
at_norm_pair,"A=130|t=2",2097152,65536
at_norm_pair,"A=130|t=20",1048576,55168
at_norm_pair,"A=130|t=25",524288,67712
at_norm_pair,"A=130|t=5",524288,48000
at_norm_pair,"A=130|t=8",1048576,93184
at_norm_pair,"A=13|t=0",2097152,0
at_norm_pair,"A=13|t=1",4194304,0
at_norm_pair,"A=13|t=10",2097152,98304
at_norm_pair,"A=13|t=13",5242880,280832
at_norm_pair,"A=13|t=16",524288,12288
at_norm_pair,"A=13|t=17",2097152,138240
at_norm_pair,"A=13|t=18",2097152,142848
at_norm_pair,"A=13|t=2",2097152,65536
