rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=16|t=18,1,5776,3078608,469987,12.49585502688717,2.711585423302057
2,A=45|t=85,7,5776,18651426,3289909,9.688500104829567,2.5031663521604623
3,A=128|t=5,9,5776,7945610,1409961,9.325930025444858,2.494502724600644
4,A=45|t=68,11,5776,28951478,5169857,9.036423408249874,2.485440720254184
5,A=73|t=74,15,5776,1118378,201423,8.588964431278653,2.4731075506688973
6,A=32|t=49,17,5776,44214558,7989779,8.408392185636831,2.468293963436386
7,A=113|t=13,1,304,2593386,469987,8.247927513443585,2.4641441961208215
8,A=128|t=4,21,5776,54328334,9869727,8.10353760410841,2.460622721958015
9,A=17|t=40,23,5776,59070430,10809701,7.972293070830158,2.450109495829594
10,A=100|t=25,25,5776,2546494,469987,7.851998837112446,2.4378195609691327
11,A=41|t=68,27,5776,67977022,12689649,7.740967524723702,2.4213949960543903
12,A=34|t=90,29,5776,72285918,13629623,7.637874031759599,2.4069689662602225
13,A=10|t=4,33,5776,80817070,15509571,7.451460907528718,2.3815012664778887
14,A=16|t=10,37,5776,89134510,17389519,7.286401661258221,2.3577660770110853
15,A=100|t=34,41,5776,97402854,19269467,7.1383030222690875,2.337647378568314
16,A=106|t=25,43,5776,101353638,20209441,7.069590272185073,2.3262965520606973
17,A=34|t=50,45,5776,105248828,21149415,7.0040019305574965,2.3151145046524526
18,A=82|t=113,47,5776,109130300,22089389,6.941266175209534,2.3046263022676756
19,A=32|t=18,49,5776,16130924,3289909,6.881145182771963,2.2937094960910245
20,A=1|t=8,25,2888,57393946,11749675,6.851998837112446,2.2882777153697376
21,A=17|t=13,27,2888,61119466,12689649,6.740967524723702,2.2679797743242114
22,A=40|t=34,29,2888,64803832,13629623,6.637874031759599,2.2493334682560517
23,A=26|t=20,31,2888,68408056,14569597,6.5416587165002955,2.231205260002009
24,A=89|t=41,4,361,1253753,268564,6.495855026887171,2.222915317982577
25,A=113|t=10,17,1444,2170332,469987,6.408392185636831,2.2072229944592454
26,A=2|t=10,35,2888,75524088,16449545,6.366572009942204,2.198889178547175
27,A=100|t=45,9,722,5517163,1208538,6.325930025444858,2.1906637679229592
28,A=2|t=9,37,2888,11276918,2484217,6.286401661258221,2.18250972500575
29,A=17|t=29,41,2888,85712230,19269467,6.1383030222690875,2.153184405749087
30,A=34|t=53,43,2888,12728138,2887063,6.069590272185073,2.1403468879619525
31,A=18|t=50,11,722,45391779,10339714,6.036423408249874,2.13423475088938
32,A=26|t=34,45,2888,30822902,7049805,6.0040019305574965,2.128347441357108
33,A=16|t=34,23,1444,47071873,10809701,5.972293070830158,2.1225386411269893
34,A=162|t=5,47,2888,95818064,22089389,5.941266175209534,2.116944150361061
35,A=73|t=65,25,1444,100834159,23499350,5.851998837112446,2.1012916980045895
36,A=82|t=130,53,2888,1997052,469987,5.767934572323972,2.087179141693375
37,A=106|t=100,55,2888,9924612,2349935,5.714495313362511,2.0783898496813498
38,A=25|t=29,3,152,1973644,469987,5.662965012722429,2.0701690272257975
39,A=41|t=45,59,2888,115824684,27729233,5.61321197752533,2.06246312972031
40,A=80|t=61,15,722,9790681,2349935,5.588964431278653,2.0587883594182803
41,A=41|t=65,31,1444,60384470,14569597,5.5416587165002955,2.051216584731658
42,A=162|t=128,63,2888,122403187,29609181,5.5185751033872545,2.0475246310862185
43,A=80|t=74,67,2888,18418581,4498447,5.429765836429398,2.0336629874044516
44,A=45|t=29,69,2888,1915827,469987,5.387330570109002,2.0272745339544955
45,A=29|t=68,35,1444,133807899,32899090,5.366572009942204,2.0240437000383382
46,A=89|t=34,9,361,137033795,33839064,5.325930025444858,2.0177701629387843
47,A=16|t=9,37,1444,140243807,34779038,5.286401661258221,2.0116471316662783
48,A=9|t=4,1,38,7550201,1879948,5.247927513443585,2.00582229507896
49,A=52|t=90,79,2888,148244289,37128973,5.192074278710068,1.9973592116753847
50,A=10|t=34,10,361,149839187,37598960,5.173926931999809,1.9946503147828778
51,A=29|t=80,81,2888,151433363,38068947,5.156005024002546,1.991996517175766
52,A=90|t=89,41,1444,533197,134282,5.1383030222690875,1.9894027333652744
53,A=97|t=65,83,2888,154617383,39008921,5.120815595540246,1.98682652609162
54,A=89|t=52,85,2888,157759527,39948895,5.08646409074947,1.9814996279143264
55,A=113|t=9,43,1444,22761411,5774126,5.069590272185073,1.9789154995810325
56,A=18|t=49,87,2888,1849403,469987,5.0529115310384425,1.9763668769974447
57,A=65|t=97,11,361,23209051,5908408,5.036423408249874,1.9738461745005607
58,A=40|t=90,89,2888,23432510,5975549,5.020121595920773,1.9713683273593785
59,A=85|t=145,45,1444,16558709,4229883,5.0040019305574965,1.968900533905797
60,A=113|t=20,23,722,84351621,21619402,4.972293070830158,1.9640891751148992
61,A=41|t=85,5,152,9124902,2349935,4.9259994185562235,1.9571882127398565
62,A=18|t=8,12,361,29153277,7519792,4.910892526166014,1.9548933978257017
63,A=25|t=13,49,1444,89006355,23029363,4.881145182771963,1.950433841063327
64,A=41|t=64,99,2888,19949221,5169857,4.866498406807562,1.9481361307713325
65,A=130|t=25,25,722,181070741,46998700,4.851998837112446,1.945860684770475
66,A=41|t=25,51,1444,184120469,47938674,4.823429684915675,1.9413881133603985
67,A=9|t=20,103,2888,185633781,48408661,4.809354499703953,1.9391221766324092
68,A=73|t=85,53,1444,190170829,49818622,4.767934572323972,1.9325389410846918
69,A=29|t=53,27,722,21465421,5639844,4.740967524723702,1.9282873056996341
70,A=17|t=9,55,1444,196186533,51698570,4.714495313362511,1.9240297320361661
71,A=9|t=5,14,361,199184277,52638544,4.688500104829567,1.9199122806462352
72,A=80|t=52,3,76,3546749,939974,4.662965012722429,1.9158044787313402
73,A=90|t=61,115,2888,203654901,54048505,4.650364975942796,1.9137999153429013
74,A=20|t=50,29,722,205127781,54518492,4.637874031759599,1.9117053306967329
75,A=58|t=90,119,2888,209543172,55928453,4.601037263579228,1.9055931812171245
76,A=81|t=128,239,5776,420524568,112326893,4.594988218906423,1.904486713236161
77,A=68|t=89,241,5776,423382966,113266867,4.582965690657209,1.9022373229752956
78,A=2|t=8,243,5776,15786530,4229883,4.57104252328139,1.9000044270691385
79,A=145|t=8,13,304,3247518,872833,4.5474877953024935,1.8955599690095117
80,A=5|t=20,249,5776,144917674,39008921,4.53585309481909,1.8933575565318137
81,A=65|t=90,253,5776,440342746,118906711,4.512861452192861,1.8887967578628349
82,A=45|t=73,257,5776,445922362,120786659,4.490230477693293,1.8843314329267642
83,A=80|t=45,259,5776,448707838,121726633,4.4790467392006175,1.8821315302077142
84,A=13|t=5,263,5776,454252798,123606581,4.456936037594868,1.8777398443241022
85,A=25|t=40,265,5776,457025278,124546555,4.44600647743661,1.8755888460418624
86,A=25|t=53,269,5776,462570238,126426503,4.424392664330547,1.8713735154390851
87,A=25|t=68,271,5776,465342718,127366477,4.4137059855333,1.8693080225490402
88,A=9|t=32,17,361,233364479,63918232,4.408392185636831,1.8682855729844525
89,A=34|t=58,137,2888,234744943,64388219,4.397822943926644,1.8662254287065494
90,A=9|t=8,275,5776,18834814,5169857,4.392567218475149,1.86520550549627
91,A=117|t=18,279,5776,476380654,131126373,4.371733715057983,1.8611569469213631
92,A=117|t=13,281,5776,68446322,18866621,4.361428706666245,1.8591369592743971
93,A=117|t=29,283,5776,481850526,133006321,4.351196784055289,1.8570908698995967
94,A=17|t=20,293,5776,495467446,137706191,4.301098172464923,1.8471968485852372
95,A=68|t=113,295,5776,498185054,138646165,4.291283882637967,1.8452740285837022
96,A=85|t=117,297,5776,500888222,139586139,4.281535906086405,1.8433330000879535
97,A=34|t=73,301,5776,506283006,141466087,4.262235350127469,1.8394878152554803
98,A=26|t=58,303,5776,169659170,47468687,4.25268104341422,1.8375913591616002
99,A=20|t=53,307,5776,514343414,144286009,4.233760181516992,1.8338005192569955
100,A=40|t=73,311,5776,74242538,20880851,4.215084256756568,1.8300655199987874
101,A=34|t=85,315,5776,35003282,9869727,4.196647008499892,1.8264081143785966
102,A=145|t=9,317,5776,75389074,21283697,4.187515996747764,1.8246066812872792
103,A=45|t=90,329,5776,543753362,154625723,4.13391125315193,1.8141720750073742
104,A=90|t=74,333,5776,549090386,156505671,4.116476659815909,1.8108287171011137
105,A=52|t=73,335,5776,78821462,22492235,4.107837741542036,1.809161483768587
106,A=97|t=73,339,5776,557061266,159325593,4.090713563750827,1.8058579745510772
107,A=10|t=25,343,5776,80337662,23029363,4.073790260714358,1.8026019701953353
108,A=10|t=18,345,5776,5381066,1544243,4.0654024752216396,1.8009922108649226
109,A=32|t=50,349,5776,81469758,23432209,4.048771800677518,1.7977716564912607
110,A=34|t=29,357,5776,580835282,167785359,4.0160747628580715,1.7915122591467114
111,A=90|t=98,1,16,1623554,469987,4.0,1.7884626129667496
112,A=58|t=89,363,5776,588721688,170605281,3.99202928889142,1.7869234710314095
113,A=10|t=8,367,5776,593954744,172485229,3.976218774043958,1.7838801899036067
114,A=20|t=18,371,5776,599187800,174365177,3.960579650266368,1.7808963056669809
115,A=10|t=29,375,5776,604394864,176245125,3.945108241503928,1.7779080482559528
116,A=1|t=5,383,5776,614791664,180005021,3.914654444962214,1.7720604543954321
117,A=41|t=34,391,5776,625171136,183764917,3.8848302295798187,1.766389806441672
118,A=145|t=13,393,5776,209248596,61568297,3.8774695246285646,1.7649583739419636
119,A=74|t=73,395,5776,630310332,185644865,3.8701461838227056,1.7635169011657037
120,A=52|t=58,21,304,33443876,9869727,3.855610090664825,1.760659974287435
121,A=82|t=128,403,5776,640545404,189404761,3.8412189983592038,1.7578282414664843
122,A=82|t=68,407,5776,645657164,191284709,3.826970042620924,1.7550467634243954
123,A=113|t=29,409,5776,648200048,192224683,3.819897993945422,1.7536455273019356
124,A=34|t=65,413,5776,11072592,3289909,3.8058570554677256,1.7508734001534274
125,A=90|t=72,417,5776,658365808,195984579,3.791951453442507,1.7481492711482376
126,A=17|t=34,425,5776,668520016,199744475,3.764535995862107,1.7428151580865192
127,A=52|t=85,23,304,35984784,10809701,3.7243655573865726,1.7350603803582607
128,A=68|t=100,441,5776,229590224,69088089,3.7112201813296504,1.732552300981555
129,A=106|t=45,443,5776,98756604,29743463,3.7046921383321525,1.7313045979214363
130,A=32|t=34,447,5776,696344452,210084189,3.691724005703853,1.7288335341174303
131,A=34|t=40,451,5776,701392676,211964137,3.6788714036317898,1.7264021754283532
132,A=34|t=20,455,5776,706432236,213844085,3.6661322918011123,1.723991875389105
133,A=52|t=34,459,5776,101638828,30817719,3.653504683473363,1.7216196562437465
134,A=100|t=20,463,5776,716508468,217603981,3.6409866436269347,1.7192788044624838
135,A=128|t=10,467,5776,721536476,219483929,3.628576287177509,1.7169570225003516
136,A=64|t=162,117,1444,180696745,54988479,3.6254903073037665,1.716369231467499
137,A=89|t=29,235,2888,362643994,110446945,3.619338080322171,1.7152004418165223
138,A=10|t=5,239,2888,367634458,112326893,3.5949882189064226,1.7105686200621264
139,A=113|t=145,241,2888,52875670,16180981,3.5829656906572094,1.7083049627700924
140,A=162|t=4,121,1444,185688653,56868427,3.5769917896125762,1.7071858537216142
141,A=17|t=10,123,1444,188183885,57808401,3.553340521547931,1.7027920165550756
142,A=25|t=64,13,152,19874494,6109831,3.5474877953024935,1.7017137499101422
143,A=29|t=52,31,361,27061643,8325484,3.541658716500296,1.700643382200355
144,A=58|t=52,125,1444,190679117,58748375,3.530070742225084,1.6985259977722258
145,A=68|t=90,63,722,191926733,59218362,3.5185751033872545,1.6964391842085842
146,A=64|t=130,253,2888,385094223,118906711,3.512861452192861,1.6953813387341077
147,A=73|t=53,255,2888,387551911,119846685,3.501501590028313,1.6931995623505531
148,A=32|t=65,257,2888,390000935,120786659,3.490230477693293,1.6910164663003506
149,A=145|t=113,259,2888,392431187,121726633,3.479046739200617,1.6887948439706566
150,A=117|t=34,261,2888,394857107,122666607,3.4679490303172864,1.686588093728906
151,A=26|t=45,263,2888,397283027,123606581,3.4569360375948683,1.6844116023904732
152,A=18|t=20,265,2888,399685843,124546555,3.4460064774366095,1.682181356249032
153,A=97|t=74,267,2888,134026665,41828843,3.435159095199617,1.679950059457863
154,A=20|t=34,135,1444,405667613,126896490,3.41903942983634,1.6766459634158273
155,A=90|t=68,34,361,408045881,127836464,3.4083921856368313,1.6744319705874984
156,A=80|t=58,69,722,137599843,43238804,3.3873305701090017,1.6700803006384015
