feature_id,feature_value,Nz,Ez
at_pair_histogram,"-1:-1:1;-1:0:1;",589824,0
at_pair_histogram,"-1:-1:1;-1:1:1;",458752,7040
at_pair_histogram,"-1:-1:1;-1:2:1;",196608,13440
at_pair_histogram,"-1:-1:1;-1:3:1;",32768,4800
at_pair_histogram,"-1:-1:1;0:-1:1;",524288,12544
at_pair_histogram,"-1:-1:1;0:-2:1;",131072,14400
at_pair_histogram,"-1:-1:1;0:0:1;",786432,896
at_pair_histogram,"-1:-1:1;0:1:1;",524288,12544
at_pair_histogram,"-1:-1:1;0:2:1;",131072,14400
at_pair_histogram,"-1:-1:1;1:-1:1;",458752,7040
at_pair_histogram,"-1:-1:1;1:-2:1;",196608,13440
at_pair_histogram,"-1:-1:1;1:-3:1;",32768,4800
at_pair_histogram,"-1:-1:1;1:0:1;",589824,0
at_pair_histogram,"-1:-1:1;1:1:1;",458752,7040
at_pair_histogram,"-1:-1:1;1:2:1;",196608,13440
at_pair_histogram,"-1:-1:1;1:3:1;",32768,4800
at_pair_histogram,"-1:-1:1;2:-1:1;",262144,8704
at_pair_histogram,"-1:-1:1;2:-2:1;",131072,7620
at_pair_histogram,"-1:-1:1;2:-3:1;",131072,9088
at_pair_histogram,"-1:-1:1;2:-4:1;",65536,4928
at_pair_histogram,"-1:-1:1;2:0:1;",327680,3072
at_pair_histogram,"-1:-1:1;2:1:1;",262144,8704
at_pair_histogram,"-1:-1:1;2:2:1;",262144,7168
at_pair_histogram,"-1:-1:1;2:3:1;",131072,9216
at_pair_histogram,"-1:-1:1;3:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;3:-3:1;",32768,3696
at_pair_histogram,"-1:-1:1;3:-4:1;",65536,6336
at_pair_histogram,"-1:-1:1;3:-5:1;",32768,3152
at_pair_histogram,"-1:-1:1;3:0:1;",262144,0
at_pair_histogram,"-1:-1:1;3:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;3:2:1;",131072,13824
at_pair_histogram,"-1:-1:1;3:3:1;",262144,8192
at_pair_histogram,"-1:-1:1;3:4:1;",131072,3072
at_pair_histogram,"-1:-1:1;4:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;4:0:1;",262144,0
at_pair_histogram,"-1:-1:1;4:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;4:3:1;",131072,13824
at_pair_histogram,"-1:-1:1;4:4:1;",262144,3072
at_pair_histogram,"-1:-1:1;4:5:1;",131072,0
at_pair_histogram,"-1:-1:1;5:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;5:0:1;",262144,0
at_pair_histogram,"-1:-1:1;5:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;5:4:1;",131072,4608
at_pair_histogram,"-1:-1:1;5:5:1;",262144,0
at_pair_histogram,"-1:-1:1;5:6:1;",131072,512
at_pair_histogram,"-1:-1:1;6:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;6:0:1;",262144,0
at_pair_histogram,"-1:-1:1;6:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;6:5:1;",131072,0
at_pair_histogram,"-1:-1:1;6:6:1;",262144,0
at_pair_histogram,"-1:-1:1;6:7:1;",131072,1024
at_pair_histogram,"-1:-1:1;7:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;7:0:1;",262144,0
at_pair_histogram,"-1:-1:1;7:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;7:6:1;",131072,2048
at_pair_histogram,"-1:-1:1;7:7:1;",262144,1024
at_pair_histogram,"-1:-1:1;7:8:1;",131072,512
at_pair_histogram,"-1:-1:1;8:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;8:0:1;",262144,0
at_pair_histogram,"-1:-1:1;8:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;8:7:1;",131072,5632
at_pair_histogram,"-1:-1:1;8:8:1;",262144,2048
at_pair_histogram,"-1:-1:1;8:9:1;",131072,0
at_pair_histogram,"-1:-1:1;9:-1:1;",131072,4096
at_pair_histogram,"-1:-1:1;9:-9:1;",131072,1536
at_pair_histogram,"-1:-1:1;9:0:1;",262144,0
at_pair_histogram,"-1:-1:1;9:1:1;",131072,4096
at_pair_histogram,"-1:-1:1;9:8:1;",131072,5120
at_pair_histogram,"-1:-1:1;9:9:1;",262144,1024
at_pair_histogram,"-1:-1:2;",229376,3520
at_pair_histogram,"-1:-2:1;-1:-1:1;",196608,13440
at_pair_histogram,"-1:-2:1;-1:0:1;",262144,17664
at_pair_histogram,"-1:-2:1;-1:1:1;",196608,13440
at_pair_histogram,"-1:-2:1;-1:2:1;",65536,7904
at_pair_histogram,"-1:-2:1;0:-1:1;",131072,14400
at_pair_histogram,"-1:-2:1;0:-2:1;",32768,5184
at_pair_histogram,"-1:-2:1;0:0:1;",196608,18512
at_pair_histogram,"-1:-2:1;0:1:1;",131072,14400
at_pair_histogram,"-1:-2:1;0:2:1;",32768,5184
at_pair_histogram,"-1:-2:1;1:-1:1;",196608,13440
at_pair_histogram,"-1:-2:1;1:-2:1;",65536,7904
at_pair_histogram,"-1:-2:1;1:0:1;",262144,17664
at_pair_histogram,"-1:-2:1;1:1:1;",196608,13440
at_pair_histogram,"-1:-2:1;1:2:1;",65536,7904
at_pair_histogram,"-1:-2:1;2:-1:1;",262144,7168
at_pair_histogram,"-1:-2:1;2:-2:1;",163840,10640
at_pair_histogram,"-1:-2:1;2:-3:1;",65536,6624
at_pair_histogram,"-1:-2:1;2:-4:1;",32768,3924
at_pair_histogram,"-1:-2:1;2:0:1;",163840,11434
at_pair_histogram,"-1:-2:1;2:1:1;",131072,7620
at_pair_histogram,"-1:-2:1;2:2:1;",163840,10640
at_pair_histogram,"-1:-2:1;2:3:1;",65536,5856
at_pair_histogram,"-1:-2:1;3:-1:1;",131072,13824
at_pair_histogram,"-1:-2:1;3:-2:1;",65536,7248
at_pair_histogram,"-1:-2:1;3:-3:1;",65536,7416
at_pair_histogram,"-1:-2:1;3:-4:1;",131072,13136
at_pair_histogram,"-1:-2:1;3:-5:1;",65536,7212
at_pair_histogram,"-1:-2:1;3:0:1;",65536,11816
at_pair_histogram,"-1:-2:1;3:2:1;",65536,7248
at_pair_histogram,"-1:-2:1;3:3:1;",131072,8928
at_pair_histogram,"-1:-2:1;3:4:1;",65536,3832
at_pair_histogram,"-1:-2:1;4:-4:1;",32768,8108
at_pair_histogram,"-1:-2:1;4:-5:1;",65536,14192
at_pair_histogram,"-1:-2:1;4:-6:1;",32768,6568
at_pair_histogram,"-1:-2:1;4:3:1;",65536,10320
at_pair_histogram,"-1:-2:1;4:4:1;",131072,10752
at_pair_histogram,"-1:-2:1;4:5:1;",65536,4572
at_pair_histogram,"-1:-2:1;5:4:1;",65536,9984
at_pair_histogram,"-1:-2:1;5:5:1;",131072,11192
at_pair_histogram,"-1:-2:1;5:6:1;",65536,3840
at_pair_histogram,"-1:-2:1;6:5:1;",65536,6144
at_pair_histogram,"-1:-2:1;6:6:1;",131072,6144
at_pair_histogram,"-1:-2:1;6:7:1;",65536,3536
at_pair_histogram,"-1:-2:1;7:6:1;",65536,3328
at_pair_histogram,"-1:-2:1;7:7:1;",131072,6144
at_pair_histogram,"-1:-2:1;7:8:1;",65536,3072
at_pair_histogram,"-1:-2:1;8:7:1;",65536,4928
at_pair_histogram,"-1:-2:1;8:8:1;",131072,7072
at_pair_histogram,"-1:-2:1;8:9:1;",65536,4608
at_pair_histogram,"-1:-2:1;9:-9:1;",65536,6352
at_pair_histogram,"-1:-2:1;9:8:1;",65536,6256
at_pair_histogram,"-1:-2:1;9:9:1;",131072,9632
at_pair_histogram,"-1:-2:2;",32768,3952
at_pair_histogram,"-1:-3:1;-1:-1:1;",32768,4800
at_pair_histogram,"-1:-3:1;-1:0:1;",65536,9408
at_pair_histogram,"-1:-3:1;-1:1:1;",32768,4800
at_pair_histogram,"-1:-3:1;1:-1:1;",32768,4800
at_pair_histogram,"-1:-3:1;1:0:1;",65536,9408
at_pair_histogram,"-1:-3:1;1:1:1;",32768,4800
at_pair_histogram,"-1:-3:1;2:-1:1;",131072,9216
at_pair_histogram,"-1:-3:1;2:-2:1;",65536,5856
at_pair_histogram,"-1:-3:1;2:0:1;",131072,12924
at_pair_histogram,"-1:-3:1;2:1:1;",131072,9088
at_pair_histogram,"-1:-3:1;2:2:1;",65536,6624
at_pair_histogram,"-1:-3:1;3:-1:1;",262144,8192
at_pair_histogram,"-1:-3:1;3:-2:1;",131072,8928
at_pair_histogram,"-1:-3:1;3:-3:1;",32768,3668
at_pair_histogram,"-1:-3:1;3:-4:1;",65536,7344
at_pair_histogram,"-1:-3:1;3:-5:1;",32768,4418
at_pair_histogram,"-1:-3:1;3:0:1;",131072,10320
at_pair_histogram,"-1:-3:1;3:1:1;",32768,3696
at_pair_histogram,"-1:-3:1;3:2:1;",65536,7416
at_pair_histogram,"-1:-3:1;3:3:1;",32768,3668
at_pair_histogram,"-1:-3:1;4:-1:1;",131072,13824
at_pair_histogram,"-1:-3:1;4:-2:1;",65536,10320
at_pair_histogram,"-1:-3:1;4:-4:1;",65536,9088
at_pair_histogram,"-1:-3:1;4:-5:1;",131072,14064
at_pair_histogram,"-1:-3:1;4:-6:1;",65536,6416
at_pair_histogram,"-1:-3:1;4:0:1;",65536,8304
at_pair_histogram,"-1:-3:1;5:-5:1;",32768,4668
at_pair_histogram,"-1:-3:1;5:-6:1;",65536,6720
at_pair_histogram,"-1:-3:1;5:-7:1;",32768,3732
at_pair_histogram,"-1:-4:1;2:0:1;",32768,2304
at_pair_histogram,"-1:-4:1;2:1:1;",65536,4928
at_pair_histogram,"-1:-4:1;2:2:1;",32768,3924
at_pair_histogram,"-1:-4:1;3:-1:1;",131072,3072
at_pair_histogram,"-1:-4:1;3:-2:1;",65536,3832
at_pair_histogram,"-1:-4:1;3:0:1;",65536,2048
at_pair_histogram,"-1:-4:1;3:1:1;",65536,6336
at_pair_histogram,"-1:-4:1;3:2:1;",131072,13136
at_pair_histogram,"-1:-4:1;3:3:1;",65536,7344
at_pair_histogram,"-1:-4:1;4:-1:1;",262144,3072
at_pair_histogram,"-1:-4:1;4:-2:1;",131072,10752
at_pair_histogram,"-1:-4:1;4:-4:1;",32768,2048
at_pair_histogram,"-1:-4:1;4:-5:1;",65536,3328
at_pair_histogram,"-1:-4:1;4:-6:1;",32768,1792
at_pair_histogram,"-1:-4:1;4:0:1;",131072,0
at_pair_histogram,"-1:-4:1;4:2:1;",32768,8108
at_pair_histogram,"-1:-4:1;4:3:1;",65536,9088
at_pair_histogram,"-1:-4:1;4:4:1;",32768,2048
at_pair_histogram,"-1:-4:1;5:-1:1;",131072,4608
at_pair_histogram,"-1:-4:1;5:-2:1;",65536,9984
at_pair_histogram,"-1:-4:1;5:-5:1;",65536,2304
at_pair_histogram,"-1:-4:1;5:-6:1;",131072,4224
at_pair_histogram,"-1:-4:1;5:-7:1;",65536,3540
at_pair_histogram,"-1:-4:1;5:0:1;",65536,0
at_pair_histogram,"-1:-4:1;6:-6:1;",32768,704
at_pair_histogram,"-1:-4:1;6:-7:1;",65536,2400
