rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-4:-3:1;0:-3:1;,1,46208,3078608,469987,15.49585502688717,2.711585423302057
2,-4:-3:1;0:3:1;,1,23104,3078608,469987,14.49585502688717,2.711585423302057
3,-4:3:1;0:-3:1;,3,46208,3078608,469987,13.910892526166014,2.711585423302057
4,-4:3:1;0:3:1;,1,11552,3078608,469987,13.49585502688717,2.711585423302057
5,0:-3:1;4:-3:1;,5,46208,3078608,469987,13.173926931999809,2.711585423302057
6,0:-3:1;4:3:1;,3,23104,3078608,469987,12.910892526166014,2.711585423302057
7,0:3:1;4:-3:1;,7,46208,3078608,469987,12.688500104829567,2.711585423302057
8,0:3:1;4:3:1;,1,5776,3078608,469987,12.49585502688717,2.711585423302057
9,-1:-2:1;4:-4:1;,9,46208,9185284,1409961,12.325930025444858,2.703669071004976
10,-1:-4:1;4:2:1;,5,23104,3048284,469987,12.173926931999809,2.697304563890037
11,-1:2:1;4:4:1;,11,46208,33409828,5169857,12.036423408249874,2.692076274659918
12,-1:4:1;4:-2:1;,3,11552,3028068,469987,11.910892526166014,2.6877048466394737
13,-4:-2:1;-1:-4:1;,13,46208,39263804,6109831,11.79541530874608,2.6839955721043363
14,-4:-2:1;1:4:1;,7,23104,3013628,469987,11.688500104829567,2.680808585702716
15,-4:-4:1;-1:2:1;,15,46208,3007852,469987,11.588964431278653,2.678040824583528
16,-4:-4:1;1:-2:1;,1,2888,3002798,469987,11.49585502688717,2.6756146701892374
17,-4:2:1;-1:4:1;,17,46208,50971756,7989779,11.408392185636831,2.673470552211646
18,-4:2:1;1:-4:1;,9,23104,8983124,1409961,11.325930025444858,2.671561990736964
19,-4:4:1;-1:-2:1;,1,2432,2990828,469987,11.247927513443585,2.6698521876457217
20,-4:4:1;1:2:1;,5,11552,2987636,469987,11.173926931999809,2.6683116304028904
21,1:-2:1;4:4:1;,21,46208,2984748,469987,11.10353760410841,2.666916373968329
22,1:-4:1;4:-2:1;,11,23104,32803348,5169857,11.036423408249874,2.6656467870153713
23,1:2:1;4:-4:1;,23,46208,68533684,10809701,10.972293070830158,2.6644866223725314
24,1:4:1;4:2:1;,3,5776,2977528,469987,10.910892526166014,2.6634223179109893
25,-3:-9:1;6:-2:1;,25,46208,10614844,1678525,10.851998837112447,2.6608172391249134
26,-6:2:1;-3:-9:1;,13,23104,38573572,6109831,10.79541530874608,2.658408368702286
27,-6:2:1;3:9:1;,27,46208,8887820,1409961,10.740967524723702,2.6561743411935446
28,3:9:1;6:-2:1;,7,11552,20708404,3289909,10.688500104829567,2.6540967849155517
29,-3:2:1;6:-9:1;,29,46208,85668188,13629623,10.6378740317596,2.6520139165651173
30,-6:9:1;-3:2:1;,15,23104,2950092,469987,10.588964431278653,2.6500671892761085
31,-6:9:1;3:-2:1;,31,46208,91337332,14569597,10.541658716500296,2.648243676112934
32,3:-2:1;6:-9:1;,1,1444,2942872,469987,10.49585502688717,2.646532036708695
33,-3:-2:1;6:9:1;,33,46208,32324662,5169857,10.451460907528718,2.6444390039298797
34,-6:-9:1;-3:-2:1;,17,23104,7126862,1141397,10.408392185636831,2.6424663129999817
35,-6:-9:1;3:2:1;,35,46208,20515630,3289909,10.366572009942205,2.6406038734239687
36,3:2:1;6:9:1;,9,11552,8781686,1409961,10.325930025444858,2.638842692307145
37,-3:9:1;6:2:1;,37,46208,108173650,17389519,10.286401661258221,2.637059183259086
38,-6:-2:1;-3:9:1;,1,1216,2920186,469987,10.247927513443585,2.635367506856232
39,-6:-2:1;3:-9:1;,39,46208,5417166,872833,10.210452808024923,2.633760747361519
40,3:-9:1;6:2:1;,5,5776,14569238,2349935,10.173926931999809,2.6322326665477647
41,-4:-1:1;-4:7:1;,41,46208,119210864,19269467,10.138303022269087,2.629127146526546
42,-4:-1:1;4:-7:1;,21,23104,20311304,3289909,10.10353760410841,2.6261632804531843
43,-4:7:1;4:1:1;,43,46208,124524784,20209441,10.069590272185073,2.6233315865743614
44,4:-7:1;4:1:1;,11,11552,31795436,5169857,10.036423408249874,2.6206234113836264
45,-4:1:1;-4:7:1;,45,46208,43273792,7049805,10.004001930557497,2.617838289177408
46,-4:1:1;4:-7:1;,23,23104,66230504,10809701,9.972293070830158,2.6151692186844753
47,-4:7:1;4:-1:1;,47,46208,135100640,22089389,9.941266175209533,2.6126090901050336
48,4:-7:1;4:-1:1;,3,2888,2869589,469987,9.910892526166014,2.610151363113403
49,-4:-1:1;4:7:1;,49,46208,140377016,23029363,9.881145182771963,2.6077603304269337
50,-4:-7:1;-4:-1:1;,25,23104,14301376,2349935,9.851998837112447,2.6054612048697834
51,-4:-7:1;4:1:1;,51,46208,48550168,7989779,9.823429684915675,2.6032487844827448
52,4:1:1;4:7:1;,13,11552,37071812,6109831,9.79541530874608,2.601118252809454
53,-3:-8:1;6:2:1;,53,46208,150909552,24909311,9.767934572323972,2.598927104048656
54,-6:-2:1;-3:-8:1;,27,23104,76765928,12689649,9.740967524723702,2.5968139589877515
55,-6:-2:1;3:8:1;,55,46208,31230832,5169857,9.714495313362512,2.594774722987583
56,3:8:1;6:2:1;,7,5776,405042,67141,9.688500104829567,2.592805583209278
57,-4:-7:1;-4:1:1;,3,2432,8494520,1409961,9.66296501272243,2.5908771695758595
58,-4:-7:1;4:-1:1;,29,23104,82007648,13629623,9.6378740317596,2.589012803899128
59,-4:1:1;4:7:1;,59,46208,166634712,27729233,9.61321197752533,2.5872093460043195
60,4:-1:1;4:7:1;,15,11552,42313532,7049805,9.588964431278653,2.585463857785378
61,-8:-1:1;8:2:1;,61,46208,171863436,28669207,9.565117689324286,2.5836887388300274
62,-8:-2:1;-8:-1:1;,31,23104,87236372,14569597,9.541658716500296,2.5819687996776834
63,-8:-2:1;-8:1:1;,63,46208,25297436,4229883,9.518575103387255,2.5803015056316125
64,-8:-2:1;8:-1:1;,1,722,5615355,939974,9.49585502688717,2.5786844749646254
65,-8:-2:1;8:1:1;,65,46208,182300668,30549155,9.473487213858716,2.577115467545997
66,-8:1:1;8:2:1;,33,23104,92454988,15509571,9.451460907528718,2.5755923744686253
67,8:-1:1;8:2:1;,67,46208,187519284,31489129,9.429765836429398,2.5741132085752376
68,8:1:1;8:2:1;,17,11552,47532148,7989779,9.408392185636831,2.5726760957940003
69,-3:-7:1;8:-5:1;,35,23104,97644724,16449545,9.366572009942205,2.5694944145512855
70,-8:5:1;-3:-7:1;,9,5776,2784032,469987,9.325930025444858,2.5664830367728424
71,-8:5:1;3:7:1;,37,23104,102805580,17389519,9.286401661258221,2.5636286392435585
72,3:7:1;8:-5:1;,1,608,396188,67141,9.247927513443585,2.560919253752912
73,-8:-1:1;-8:2:1;,77,46208,213348112,36188999,9.22906848619227,2.559586235688541
74,-8:-1:1;8:-2:1;,39,23104,35987368,6109831,9.210452808024923,2.55828621178594
75,-8:1:1;-8:2:1;,79,46208,218500304,37128973,9.192074278710068,2.557017971529866
76,-8:1:1;8:-2:1;,5,2888,2763455,469987,9.173926931999809,2.5557803629300313
77,-8:2:1;8:-1:1;,81,46208,74550832,12689649,9.156005024002546,2.554572289025052
78,-8:2:1;8:1:1;,41,23104,113114296,19269467,9.138303022269087,2.5533927046341476
79,8:-2:1;8:-1:1;,83,46208,32686384,5572703,9.120815595540247,2.552240613336328
80,8:-2:1;8:1:1;,21,11552,19281732,3289909,9.10353760410841,2.551115064658702
81,-3:-2:1;6:-8:1;,85,46208,233951104,39948895,9.08646409074947,2.5499795333149904
82,-6:8:1;-3:-2:1;,43,23104,118260712,20209441,9.069590272185073,2.5488695461782136
83,-6:8:1;3:2:1;,87,46208,79697248,13629623,9.052911531038443,2.547784250577752
84,3:2:1;6:-8:1;,11,5776,4315394,738551,9.036423408249874,2.5467228313887933
85,-1:-2:1;4:-5:1;,45,23104,41130896,7049805,9.004001930557497,2.5445672422681116
86,-1:-5:1;4:2:1;,23,11552,62977172,10809701,8.972293070830158,2.542502356286105
87,-1:2:1;4:5:1;,47,23104,128516000,22089389,8.941266175209533,2.5405225644937284
88,-1:5:1;4:-2:1;,3,1444,5461569,939974,8.910892526166014,2.5386227112213606
89,-4:-2:1;-1:-5:1;,49,23104,133639312,23029363,8.881145182771963,2.536798049182007
90,-4:-2:1;1:5:1;,25,11552,68100484,11749675,8.851998837112447,2.535044199808847
91,-4:-5:1;-1:2:1;,51,23104,6607744,1141397,8.823429684915675,2.533357118128535
92,-4:-5:1;1:-2:1;,13,5776,35331070,6109831,8.79541530874608,2.53173306157624
93,-4:2:1;-1:5:1;,53,23104,143885936,24909311,8.767934572323972,2.5301685622457173
94,-4:2:1;1:-5:1;,27,11552,24407932,4229883,8.740967524723702,2.528660402140824
95,-4:5:1;-1:-2:1;,55,23104,149009248,25849285,8.714495313362512,2.5272055910563402
96,-4:5:1;1:2:1;,7,2888,18946363,3289909,8.688500104829567,2.525801346767794
97,1:-2:1;4:5:1;,3,1216,2704080,469987,8.66296501272243,2.5244450772538176
98,1:-5:1;4:-2:1;,29,11552,11192444,1947089,8.6378740317596,2.5231343647117845
99,1:2:1;4:-5:1;,59,23104,159255872,27729233,8.61321197752533,2.521866951159114
100,1:5:1;4:2:1;,15,5776,13484794,2349935,8.588964431278653,2.520640725439685
101,-3:-5:1;8:7:1;,61,23104,164374852,28669207,8.565117689324286,2.5194156906219876
102,-8:-7:1;-3:-5:1;,31,11552,83466088,14569597,8.541658716500296,2.5182291818113867
103,-8:-7:1;3:5:1;,63,23104,56496500,9869727,8.518575103387255,2.5170794093588262
104,3:5:1;8:7:1;,1,361,21505853,3759896,8.49585502688717,2.5159646927938057
105,-4:0:1;-4:7:1;,65,23104,174599816,30549155,8.473487213858716,2.5148476583267985
106,-4:0:1;4:-7:1;,33,11552,4217924,738551,8.451460907528718,2.5137636467923667
107,-4:7:1;4:0:1;,67,23104,179705800,31489129,8.429765836429398,2.512711214840869
108,4:-7:1;4:0:1;,17,5776,45564698,7989779,8.408392185636831,2.511689002044729
109,-3:2:1;6:8:1;,137,46208,52437416,9198317,8.397822943926645,2.5111547714516025
110,-6:-8:1;-3:2:1;,69,23104,61601040,10809701,8.387330570109002,2.510628089713802
111,-6:-8:1;3:-2:1;,139,46208,372150568,65328193,8.376913954163664,2.5101087979177295
112,3:-2:1;6:8:1;,35,11552,93673724,16449545,8.366572009942205,2.5095967415801104
113,-3:-7:1;8:-6:1;,141,46208,125744964,22089389,8.356303674488377,2.5090752033128525
114,-8:6:1;-3:-7:1;,71,23104,189887444,33369077,8.346107907382489,2.508560826015823
115,-8:6:1;3:7:1;,143,46208,54616412,9601163,8.335983690108781,2.508053463177283
116,3:7:1;8:-6:1;,9,2888,8017810,1409961,8.325930025444858,2.5075529722560677
117,-3:5:1;8:-7:1;,73,23104,194965992,34309051,8.306030468007153,2.5065613698917506
118,-8:-2:1;-8:0:1;,37,11552,98752272,17389519,8.286401661258221,2.5055959129766787
119,-8:-2:1;8:0:1;,75,23104,66681032,11749675,8.26703633639129,2.504655580697608
120,-8:0:1;8:2:1;,1,304,2665548,469987,8.247927513443585,2.503739404710645
121,-8:7:1;-3:5:1;,77,23104,205120200,36188999,8.22906848619227,2.5028464658122456
122,-8:7:1;3:-5:1;,39,11552,4944256,872833,8.210452808024923,2.50197589086054
123,3:-5:1;8:-7:1;,79,23104,210197304,37128973,8.192074278710068,2.5011268499252965
124,8:0:1;8:2:1;,5,1444,13295991,2349935,8.173926931999809,2.5002985536469464
125,-7:-2:1;8:3:1;,161,46208,428001600,75667907,8.164938148772555,2.499862744508823
126,-7:-3:1;8:-2:1;,81,23104,23918416,4229883,8.156005024002546,2.499432186470447
127,-7:2:1;8:-3:1;,163,46208,433061376,76607881,8.147126872656093,2.499006785174939
128,-7:3:1;8:2:1;,41,11552,108897816,19269467,8.138303022269087,2.498586448513062
129,-8:-2:1;-7:3:1;,165,46208,20862912,3692755,8.129532812641354,2.4981710865566837
130,-8:-2:1;7:-3:1;,83,23104,220325520,39008921,8.120815595540247,2.497760611494581
131,-8:-3:1;-7:-2:1;,167,46208,443180928,78487829,8.112150734413119,2.4973549375705053
132,-8:-3:1;7:2:1;,21,5776,18571284,3289909,8.10353760410841,2.4969539810234056
133,-8:2:1;-7:-3:1;,169,46208,448240704,79427803,8.094975590604987,2.4965576600297297
134,-8:2:1;7:3:1;,85,23104,225385296,39948895,8.08646409074947,2.496165894647713
135,-8:3:1;-7:2:1;,9,2432,2650880,469987,8.078002512001273,2.4957786067635843
