rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-9.-22.-7.21,1,92416,2926988,469987,16.49585502688717,2.63872407400978
2,-9.-29.7.0,1,46208,2926988,469987,15.49585502688717,2.63872407400978
3,9.22.7.-21,3,92416,2926988,469987,14.910892526166014,2.63872407400978
4,9.29.-7.0,1,23104,2926988,469987,14.49585502688717,2.63872407400978
5,-16.-34.-8.27,5,92416,14551188,2349935,14.173926931999809,2.6304441866111734
6,-16.-42.8.3,3,46208,8697212,1409961,13.910892526166014,2.6248977434047176
7,16.34.8.-27,7,92416,20237660,3289909,13.688500104829567,2.620922902405133
8,16.42.-8.-3,1,11552,2885112,469987,13.49585502688717,2.6179345683352993
9,-2.-23.-4.18,9,92416,25915468,4229883,13.325930025444858,2.6151237835985457
10,-2.-27.4.6,5,46208,2875004,469987,13.173926931999809,2.612871206263384
11,2.23.4.-18,11,92416,31584612,5169857,13.036423408249874,2.6110255688231603
12,2.27.-4.-6,3,23104,8604796,1409961,12.910892526166014,2.6094857319353606
13,-10.-19.-20.42,13,92416,37221266,6109831,12.79541530874608,2.606922746075933
14,-10.-39.20.-18,7,46208,20011674,3289909,12.688500104829567,2.604722271233399
15,10.19.20.-42,15,92416,8565086,1409961,12.588964431278653,2.6028124743999492
16,10.39.-20.18,1,5776,814777,134282,12.49585502688717,2.601139325792321
17,-14.-42.-2.21,17,92416,2848290,469987,12.408392185636831,2.599403285443702
18,-14.-44.2.15,9,46208,25607174,4229883,12.325930025444858,2.5978583827555273
19,14.42.2.-21,1,4864,2842514,469987,12.247927513443585,2.596474697701922
20,14.44.-2.-15,5,23104,14200296,2349935,12.173926931999809,2.5952282454761337
21,0.-13.-6.17,21,92416,59440816,9869727,12.10353760410841,2.5903718363329764
22,0.-19.6.-1,11,46208,31040224,5169857,12.036423408249874,2.5859426879187497
23,0.13.6.-17,23,92416,64720080,10809701,11.972293070830158,2.5818867728836237
24,0.19.-6.1,3,11552,1202852,201423,11.910892526166014,2.5781588072448764
25,-6.-13.-16.33,25,92416,69996456,11749675,11.851998837112447,2.574661026712141
26,-6.-29.16.-15,13,46208,36316600,6109831,11.79541530874608,2.5714247619820405
27,6.13.16.-33,27,92416,75269944,12689649,11.740967524723702,2.568421733823377
28,6.29.-16.15,7,23104,19476672,3289909,11.688500104829567,2.565627599427359
29,-3.-26.19.-21,29,92416,80528992,13629623,11.6378740317596,2.5627626177001614
30,-3.-7.-19.36,15,46208,41575648,7049805,11.588964431278653,2.56008349185909
31,3.26.-19.21,31,92416,85773600,14569597,11.541658716500296,2.5575727007314963
32,3.7.19.-36,1,2888,2762372,469987,11.49585502688717,2.555214858888993
33,-8.-21.-14.33,33,92416,2758040,469987,11.451460907528718,2.552950623465992
34,-8.-35.14.-9,17,46208,46817368,7989779,11.408392185636831,2.5508163272633038
35,8.21.14.-33,35,92416,96254152,16449545,11.366572009942205,2.5488010947664246
36,8.35.-14.9,9,23104,2746488,469987,11.325930025444858,2.5468952314034445
37,-19.-34.-1.14,37,92416,101482876,17389519,11.286401661258221,2.5449463778457413
38,-19.-35.1.11,1,2432,391324,67141,11.247927513443585,2.5430976639543568
39,19.34.1.-14,39,92416,35567164,6109831,11.210452808024923,2.5413415633063554
40,19.35.-1.-11,5,11552,2732770,469987,11.173926931999809,2.539671285415975
41,-3.-18.15.-18,41,92416,111886896,19269467,11.138303022269087,2.537652508393303
42,-3.-3.-15.27,21,46208,8175928,1409961,11.10353760410841,2.535727233727472
43,3.18.-15.18,43,92416,117039088,20209441,11.069590272185073,2.5338891108182096
44,3.3.15.-27,11,23104,29903796,5169857,11.036423408249874,2.5321323515719856
45,-3.11.-7.6,45,92416,17455072,3021345,11.004001930557497,2.5303834714356395
46,-3.4.7.-15,23,46208,62377912,10809701,10.972293070830158,2.5287086434408375
47,3.-11.7.-6,47,92416,127326144,22089389,10.941266175209533,2.5271032606977495
48,3.-4.-7.15,3,5776,8118529,1409961,10.910892526166014,2.5255630907707642
49,-10.-25.-8.24,25,46208,67509888,11749675,10.851998837112447,2.5224779735716547
50,-10.-33.8.0,13,23104,35035772,6109831,10.79541530874608,2.5196243055480982
51,0.-12.12.-15,27,46208,72633200,12689649,10.740967524723702,2.516976977959664
52,0.0.-12.21,7,11552,18798714,3289909,10.688500104829567,2.5145143878571887
53,0.0.12.-21,29,46208,77756512,13629623,10.6378740317596,2.512217846750674
54,0.12.-12.15,15,23104,5737012,1007115,10.588964431278653,2.5100711050800655
55,10.25.8.-24,31,46208,82879824,14569597,10.541658716500296,2.5080599668634678
56,10.33.-8.0,1,1444,10680185,1879948,10.49585502688717,2.506171975180257
57,-13.-32.-15.39,65,92416,173427288,30549155,10.473487213858716,2.5051265376913476
58,-13.-47.15.-6,33,46208,87985808,15509571,10.451460907528718,2.5041120561313934
59,-15.-28.-13.33,67,92416,178515944,31489129,10.429765836429398,2.50312717538866
60,-15.-41.13.-6,17,23104,45265068,7989779,10.408392185636831,2.5021706183215766
61,13.32.15.-39,69,92416,183604600,32429103,10.387330570109002,2.5012411802295427
62,13.47.-15.6,35,46208,13296352,2349935,10.366572009942205,2.5003377237877493
63,15.28.13.-33,71,92416,188693256,33369077,10.346107907382489,2.499459174401199
64,15.41.-13.6,9,11552,23904698,4229883,10.325930025444858,2.498604515938004
65,-8.-32.-12.35,73,92416,193777580,34309051,10.306030468007153,2.4977405349582864
66,-8.-44.12.-1,37,46208,14022684,2484217,10.286401661258221,2.4968994079018647
67,8.32.12.-35,75,92416,198857572,35249025,10.26703633639129,2.496080239673997
68,8.44.-12.1,1,1216,2649968,469987,10.247927513443585,2.4952821813274
69,-10.-5.0.0,39,46208,103228672,18329493,10.210452808024923,2.4936049521639476
70,-14.-16.-6.15,79,92416,2645408,469987,10.192074278710068,2.492797488639825
71,-14.-22.6.-3,5,5776,2643964,469987,10.173926931999809,2.4920097763402183
72,-20.-39.-2.18,81,92416,30578144,5438421,10.156005024002546,2.491241099211259
73,-20.-41.2.12,41,46208,108288448,19269467,10.138303022269087,2.4904907754038215
74,-6.-12.-14.29,83,92416,219106784,39008921,10.120815595540247,2.4897581552549393
75,-6.-26.14.-13,21,23104,55409168,9869727,10.10353760410841,2.489042619410525
76,10.5.0.0,43,46208,113348224,20209441,10.069590272185073,2.487660464398385
77,14.16.6.-15,87,92416,229226336,40888869,10.052911531038443,2.486992742928646
78,14.22.-6.3,11,11552,4138504,738551,10.036423408249874,2.4863398982253337
79,20.39.2.-18,89,92416,234286112,41828843,10.020121595920774,2.485701438522051
80,20.41.-2.-12,45,46208,23681600,4229883,10.004001930557497,2.485076893493377
81,6.12.14.-29,91,92416,239345888,42768817,9.988060386688474,2.484465813098792
82,6.26.-14.13,23,23104,60468944,10809701,9.972293070830158,2.4838677665006115
83,-7.-17.-15.33,47,46208,123456224,22089389,9.941266175209533,2.4825741523295237
84,-7.-32.15.-12,3,2888,2624470,469987,9.910892526166014,2.4813333493498377
85,7.17.15.-33,49,46208,2622304,469987,9.881145182771963,2.480142187833796
86,7.32.-15.12,25,23104,65505616,11749675,9.851998837112447,2.4789977467735618
87,-9.-1.-17.28,51,46208,19075240,3424191,9.823429684915675,2.4778661267631796
88,-9.-18.17.-23,13,11552,34010532,6109831,9.79541530874608,2.4767771928921363
89,9.1.17.-28,53,46208,138557576,24909311,9.767934572323972,2.4757285743143482
90,9.18.-17.23,27,23104,70536512,12689649,9.740967524723702,2.4747180725861924
91,-20.-50.-4.27,55,46208,28714662,5169857,9.714495313362512,2.4735912991049016
92,-20.-54.4.15,7,5776,36518399,6579818,9.688500104829567,2.472503933448573
93,-4.-10.-20.39,3,2432,7819678,1409961,9.66296501272243,2.471453943478357
94,-4.-30.20.-21,29,23104,10791012,1947089,9.6378740317596,2.4704394344349057
95,20.50.4.-27,59,46208,153574454,27729233,9.61321197752533,2.4694586375206304
96,20.54.-4.-15,15,11552,7803737,1409961,9.588964431278653,2.4685098996022075
97,4.10.20.-39,61,46208,158575026,28669207,9.565117689324286,2.4675916739071564
98,4.30.-20.21,31,23104,80537656,14569597,9.541658716500296,2.466702511604289
99,-2.-20.-10.27,63,46208,163543108,29609181,9.518575103387255,2.4655544721989058
100,-2.-30.10.-3,1,722,20751363,3759896,9.49585502688717,2.4644414371586434
101,2.20.10.-27,65,46208,2591980,469987,9.473487213858716,2.463361829253295
102,2.30.-10.3,33,23104,12210464,2215653,9.451460907528718,2.4623141646247144
103,-14.-35.-16.42,67,46208,173405628,31489129,9.429765836429398,2.4612249652852283
104,-14.-51.16.-6,17,11552,43966190,7989779,9.408392185636831,2.4601670142422307
105,14.35.16.-42,69,46208,178323892,32429103,9.387330570109002,2.459138985505406
106,14.51.-16.6,35,23104,90391512,16449545,9.366572009942205,2.458139627075621
107,-2.-27.-4.20,141,92416,121337876,22089389,9.356303674488377,2.4576045436368634
108,-2.-31.4.8,71,46208,183230604,33369077,9.346107907382489,2.4570768022283054
109,2.27.4.-20,143,92416,368908788,67208141,9.335983690108781,2.456556252731933
110,2.31.-4.-8,9,5776,7736591,1409961,9.325930025444858,2.456042749095448
111,-10.-22.18.-23,145,92416,373744744,68148115,9.315945936872236,2.4553076334659263
112,-10.-4.-18.31,73,46208,188066560,34309051,9.306030468007153,2.4545822208164734
113,10.22.-18.23,147,92416,126173832,23029363,9.296182682050807,2.453866320208515
114,10.4.18.-31,37,23104,13603924,2484217,9.286401661258221,2.453159745682948
115,-1.-16.13.-15,149,92416,383280920,70028063,9.27668650642501,2.4523970938211304
116,-1.-3.-13.24,75,46208,64275328,11749675,9.26703633639129,2.4516442153103952
117,-3.-17.-7.20,151,92416,388023016,70968037,9.257450287562092,2.450900923378646
118,-3.-24.7.-1,1,608,2568382,469987,9.247927513443585,2.45016703598521
119,-5.-23.-1.12,153,92416,43640568,7989779,9.23846718419452,2.449442375671884
120,-5.-24.1.9,77,46208,197568080,36188999,9.22906848619227,2.4487267694195674
121,1.16.-13.15,155,92416,56786744,10406855,9.219730621612934,2.44802004851025
122,1.3.13.-24,39,23104,33323188,6109831,9.210452808024923,2.447322048394119
123,3.17.7.-20,157,92416,402249304,73787959,9.201234277995544,2.4466326085615675
