feature_id,feature_value,Nz,Ez
t_autocorrelation,"-10",12582912,130432
t_autocorrelation,"-108",12582912,447040
t_autocorrelation,"-112",12582912,521136
t_autocorrelation,"-12",25165824,1299312
t_autocorrelation,"-126",12582912,873584
t_autocorrelation,"-128",6291456,399368
t_autocorrelation,"-14",12582912,515184
t_autocorrelation,"-144",12582912,705456
t_autocorrelation,"-16",25165824,1581920
t_autocorrelation,"-162",6291456,80512
t_autocorrelation,"-18",18874368,854400
t_autocorrelation,"-2",53608448,1680128
t_autocorrelation,"-20",12582912,1068384
t_autocorrelation,"-24",25165824,1707136
t_autocorrelation,"-28",12582912,775264
t_autocorrelation,"-30",12582912,1167504
t_autocorrelation,"-32",18874368,1048544
t_autocorrelation,"-36",25165824,2007488
t_autocorrelation,"-4",12582912,931920
t_autocorrelation,"-40",12582912,198656
t_autocorrelation,"-42",12582912,785056
t_autocorrelation,"-48",25165824,1489680
t_autocorrelation,"-50",6291456,54784
t_autocorrelation,"-54",12582912,973456
t_autocorrelation,"-56",12582912,775936
t_autocorrelation,"-6",12582912,986880
t_autocorrelation,"-60",12582912,298704
t_autocorrelation,"-64",12582912,586112
t_autocorrelation,"-70",12582912,772256
t_autocorrelation,"-72",18874368,322688
t_autocorrelation,"-8",18874368,945248
t_autocorrelation,"-80",12582912,682032
t_autocorrelation,"-84",12582912,398448
t_autocorrelation,"-90",12582912,126976
t_autocorrelation,"-96",12582912,612496
t_autocorrelation,"-98",6291456,241984
t_autocorrelation,"0",400293888,4066128
t_autocorrelation,"10",12582912,130432
t_autocorrelation,"108",12582912,447040
t_autocorrelation,"112",12582912,521136
t_autocorrelation,"12",25165824,1299312
t_autocorrelation,"126",12582912,873584
t_autocorrelation,"128",6291456,399368
t_autocorrelation,"14",12582912,515184
t_autocorrelation,"144",12582912,705456
t_autocorrelation,"16",25165824,1581920
t_autocorrelation,"162",6291456,80512
t_autocorrelation,"18",18874368,854400
t_autocorrelation,"2",53608448,1680128
t_autocorrelation,"20",12582912,1068384
t_autocorrelation,"24",25165824,1707136
t_autocorrelation,"28",12582912,775264
t_autocorrelation,"30",12582912,1167504
t_autocorrelation,"32",18874368,1048544
t_autocorrelation,"36",25165824,2007488
t_autocorrelation,"4",12582912,931920
t_autocorrelation,"40",12582912,198656
t_autocorrelation,"42",12582912,785056
t_autocorrelation,"48",25165824,1489680
t_autocorrelation,"50",6291456,54784
t_autocorrelation,"54",12582912,973456
t_autocorrelation,"56",12582912,775936
t_autocorrelation,"6",12582912,986880
t_autocorrelation,"60",12582912,298704
t_autocorrelation,"64",12582912,586112
t_autocorrelation,"70",12582912,772256
t_autocorrelation,"72",18874368,322688
t_autocorrelation,"8",18874368,945248
t_autocorrelation,"80",12582912,682032
t_autocorrelation,"84",12582912,398448
t_autocorrelation,"90",12582912,126976
t_autocorrelation,"96",12582912,612496
t_autocorrelation,"98",6291456,241984
