rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-30,3,361,8780603,3759896,6.910892526166014,1.2236272619247572
2,30,6,361,8780603,3759896,5.910892526166014,1.2236272619247572
3,-20,9,361,3199543,1409961,5.325930025444858,1.182210597772259
4,20,12,361,16815741,7519792,4.910892526166014,1.1610476917225803
5,-36,18,361,73094197,33839064,4.325930025444858,1.111067210569249
6,36,24,361,95741171,45118752,3.910892526166015,1.0854122887600828
7,-6,27,361,15267773,7251228,3.7409675247237026,1.0741923997150968
8,6,30,361,118007651,56398440,3.5889644312786526,1.0651532365800291
9,-54,33,361,36854129,17725224,3.4514609075287175,1.0560224031463772
10,54,36,361,11664271,5639844,3.3259300254448587,1.0483689809405765
11,-4,39,361,100322983,48878648,3.2104528080249226,1.037375865546782
12,4,42,361,7666557,3759896,3.1035376041084106,1.0278860613564695
13,-126,45,361,341705633,169195320,3.004001930557496,1.0140643671426004
14,126,48,361,5647123,2819922,2.910892526166015,1.0018607972643974
15,-24,54,361,7141663,3625614,2.7409675247237026,0.9780347206709054
16,24,60,361,9134383,4699870,2.5889644312786526,0.9586864305410401
17,-128,123,722,894922249,462467208,2.553340521547931,0.95241127364176
18,128,63,361,456471865,236873448,2.5185751033872545,0.9464094505685603
19,-16,69,361,164054645,86477608,2.3873305701090017,0.923777919219545
20,16,75,361,105571201,56398440,2.26703633639129,0.9044891695604846
21,-42,78,361,181856277,97757296,2.2104528080249226,0.895522437715178
22,42,81,361,563281657,304551576,2.156005024002546,0.8871699215326332
23,-56,84,361,580788713,315831264,2.1035376041084106,0.8788594263653774
24,56,87,361,199431923,109036984,2.0529115310384425,0.871078797551597
25,-28,90,361,615787663,338390640,2.004001930557496,0.8637433004185597
26,28,93,361,633279557,349670328,1.9566962157791397,0.8568471299320853
27,-70,96,361,650703583,360950016,1.9108925261660148,0.8502014297667934
28,70,99,361,74236401,41358856,1.8664984068075614,0.8439304891605317
29,-48,105,361,116956419,65798180,1.7816095092210484,0.8298514601022337
30,48,111,361,35016639,19873736,1.701439160537065,0.8171775105993324
31,-144,6,19,6590055,3759896,1.6629650127224294,0.8095977488651278
32,144,117,361,85242569,48878648,1.6254903073037663,0.8023696927589056
33,-32,243,722,790840895,456827364,1.57104252328139,0.7917384050316143
34,32,126,361,814498669,473746896,1.5185751033872545,0.7817958504503368
35,-80,129,361,14819411,8661189,1.484627771463917,0.7748511131260762
36,80,132,361,845275363,496306272,1.4514609075287175,0.7681907141040986
37,-12,138,361,437295545,259432824,1.387330570109002,0.753247626844346
38,12,144,361,903906817,541425024,1.3259300254448585,0.739412485389557
39,-8,297,722,34267925,20679428,1.281535906086405,0.7286625552993976
40,8,153,361,135223019,82180584,1.2384671841945192,0.7184712744672455
41,-96,156,361,160063429,97757296,1.2104528080249226,0.7113674357891917
42,96,159,361,974200015,597823464,1.1829720716028156,0.7044984828621492
43,-64,162,361,329141389,203034384,1.1560050240025463,0.6969833850405325
44,64,165,361,90968029,56398440,1.129532812641355,0.6897043369383455
45,-18,339,722,1019925719,637302372,1.090713563750827,0.6784141493174621
46,18,174,361,1039203119,654221904,1.0529115310384427,0.6676256977138839
47,-112,177,361,525480625,332750796,1.0282494768041737,0.6591954542201991
48,112,180,361,1062719381,676781280,1.0040019305574963,0.6509991240547869
49,-14,183,361,268585805,172015242,0.9801551886031284,0.6428466535275669
50,14,186,361,1085967059,699340656,0.9566962157791397,0.6349130585913962
51,-98,375,722,363808941,234993500,0.9451082415039277,0.6305601473157147
52,98,189,361,1096886587,710620344,0.9336126026660984,0.6262634688783438
53,-108,192,361,1106972927,721900032,0.9108925261660147,0.6167489657878361
54,108,195,361,372353089,244393240,0.8885247131375604,0.6074669457643324
55,-84,198,361,187674875,124076568,0.8664984068075614,0.5970048354928709
56,84,201,361,378346411,251913032,0.8448033357082423,0.5867820020640854
57,-2,6841,11552,4691788484,3215181067,0.7558635122029456,0.5452379879689566
58,2,3625,5776,11929606,8392625,0.6720897470975117,0.5073523710844491
59,-60,3673,5776,347884148,246608893,0.6531118461555134,0.4963821154044734
60,60,3721,5776,349809722,249831661,0.6343803517613984,0.4856140652475505
61,-72,3793,5776,2463229350,1782660691,0.6067313705929336,0.46651883402140004
62,72,3865,5776,2477790646,1816499755,0.5796023280749613,0.4478931249697007
63,-40,3913,5776,3903854,2887063,0.5617956319863767,0.4352965089803866
64,40,3961,5776,2495719350,1861618507,0.5442060409825512,0.4228982503253489
65,-162,3985,5776,2499352454,1872898195,0.5354910180093368,0.41628188068637334
66,162,211,304,131736082,99167257,0.5268283247364004,0.4097147923217243
67,-10,4057,5776,358410186,272391037,0.5096574396808982,0.39593240690677173
68,10,4105,5776,2514757046,1929296635,0.49268852022200377,0.38234404706646735
69,0,352,361,168640067,165435424,0.03642340824987371,0.027679159381953707
70,-90,355,361,24142597,23835055,0.024179812495126508,0.0184959195337903
71,90,358,361,169356291,168255346,0.012039249622914609,0.00940923444482704
72,-50,719,722,339021598,337920653,0.006007066447873123,0.004692658169380505
73,50,1,1,1,1,-0.0,0.0
