rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-3:1;0:1;,3,722,13246895,5639844,7.910892526166014,1.2319270765914272
2,0:1;3:1;,3,361,13246895,5639844,6.910892526166014,1.2319270765914272
3,-3:1;5:1;,9,722,79329389,33839064,6.325930025444858,1.2291657737259758
4,-5:1;-3:1;,6,361,52835599,22559376,5.910892526166014,1.2277831378469617
5,-5:1;3:1;,15,722,18859001,8056920,5.588964431278653,1.2269529198352682
6,3:1;5:1;,9,361,9897176,4229883,5.325930025444858,1.2263991756197432
7,-2:1;0:1;,21,722,30643485,13159636,5.103537604108411,1.2194607961765629
8,0:1;2:1;,12,361,7477393,3222768,4.910892526166014,1.2142350251308545
9,-3:1;3:1;,27,722,19535515,8459766,4.740967524723702,1.2074096251255606
10,-3:2;,3,76,3249418,1409961,4.662965012722429,1.2045260838756322
11,3:2;,15,361,64871339,28199220,4.588964431278653,1.201925959843653
12,-2:1;5:1;,33,722,141795385,62038284,4.451460907528718,1.1925798914886636
13,-5:1;-2:1;,18,361,38462023,16919532,4.325930025444858,1.184744983016208
14,-5:1;2:1;,39,722,165900799,73317972,4.210452808024923,1.178082048411344
15,2:1;5:1;,21,361,88976753,39478908,4.103537604108411,1.1723463667571594
16,-2:1;3:1;,45,722,75917939,33839064,4.0040019305574965,1.1657511634146287
17,-3:1;-2:1;,24,361,67212063,30079168,3.910892526166015,1.1599555242707988
18,-3:1;2:1;,51,722,426955061,191754696,3.8234296849156753,1.154822318276832
19,2:1;3:1;,27,361,28164859,12689649,3.7409675247237026,1.1502440848239357
20,-2:1;9:1;,3,38,3564533,1611384,3.6629650127224296,1.1454127416260538
21,-9:1;-2:1;,30,361,82921339,37598960,3.5889644312786526,1.1410506560150402
22,-9:1;2:1;,63,722,520973179,236873448,3.5185751033872545,1.1370926101275356
23,2:1;9:1;,33,361,136104581,62038284,3.4514609075287175,1.1334849392002866
24,-2:1;4:1;,69,722,94609075,43238804,3.3873305701090017,1.129651956807832
25,-4:1;-2:1;,36,361,36930661,16919532,3.3259300254448587,1.126129421142515
