feature_id,feature_value,Nz,Ez
t_norm2,"0",97779712,12288
t_norm2,"1",201850880,143360
t_norm2,"10",25165824,1973760
t_norm2,"100",25165824,1224992
t_norm2,"106",25165824,253952
t_norm2,"113",25165824,1042272
t_norm2,"117",25165824,894080
t_norm2,"128",12582912,798736
t_norm2,"13",25165824,2099296
t_norm2,"130",25165824,1747168
t_norm2,"145",25165824,1410912
t_norm2,"16",12582912,114688
t_norm2,"162",12582912,161024
t_norm2,"17",25165824,902272
t_norm2,"18",12582912,1110656
t_norm2,"2",107216896,3360256
t_norm2,"20",25165824,2059712
t_norm2,"25",37748736,2013440
t_norm2,"26",25165824,260864
t_norm2,"29",25165824,2136768
t_norm2,"32",12582912,358144
t_norm2,"34",25165824,2335008
t_norm2,"36",12582912,160256
t_norm2,"37",25165824,499328
t_norm2,"4",12582912,1130464
t_norm2,"40",25165824,1454080
t_norm2,"41",25165824,397312
t_norm2,"45",25165824,1936736
t_norm2,"49",12582912,610912
t_norm2,"5",25165824,1863840
t_norm2,"50",37748736,1139936
t_norm2,"52",25165824,1022208
t_norm2,"53",25165824,1550528
t_norm2,"58",25165824,1570112
t_norm2,"61",25165824,597408
t_norm2,"64",12582912,576560
t_norm2,"65",50331648,2656000
t_norm2,"68",25165824,1738944
t_norm2,"72",12582912,273664
t_norm2,"73",25165824,1957152
t_norm2,"74",25165824,1544512
t_norm2,"8",12582912,988224
t_norm2,"80",25165824,1172224
t_norm2,"81",12582912,90112
t_norm2,"82",25165824,598144
t_norm2,"85",50331648,2875136
t_norm2,"89",25165824,1364064
t_norm2,"9",12582912,1174240
t_norm2,"90",25165824,1946912
t_norm2,"97",25165824,371712
t_norm2,"98",12582912,483968
