rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,9,3,361,13246895,5639844,6.910892526166014,1.2319270765914272
2,34,9,361,9897176,4229883,5.325930025444858,1.2263991756197432
3,4,12,361,7477393,3222768,4.910892526166014,1.2142350251308545
4,18,15,361,64871339,28199220,4.588964431278653,1.201925959843653
5,29,21,361,88976753,39478908,4.103537604108411,1.1723463667571594
6,13,27,361,28164859,12689649,3.7409675247237026,1.1502440848239357
7,20,33,361,6177071,2819922,3.4514609075287175,1.1312676555563683
8,8,36,361,36760991,16919532,3.3259300254448587,1.1194859956393224
9,10,42,361,42327611,19739454,3.1035376041084106,1.1005169793244305
10,73,48,361,191389565,90237504,2.910892526166015,1.0847131049443928
11,90,54,361,35558861,16919532,2.7409675247237026,1.0715194497948455
12,45,60,361,235201969,112796880,2.5889644312786526,1.0601729749336546
13,5,66,361,128114207,62038284,2.4514609075287175,1.0461997830800045
14,130,72,361,91979551,45118752,2.3259300254448587,1.0275859923367092
15,68,78,361,98518705,48878648,2.2104528080249226,1.011193283876904
16,128,81,361,609133711,304551576,2.156005024002546,1.0000723788929768
17,58,87,361,30693303,15576712,2.0529115310384425,0.9785331717717914
18,53,93,361,97077593,49952904,1.9566962157791397,0.9585697867041608
19,74,99,361,238130401,124076568,1.8664984068075614,0.9405211279235874
20,40,105,361,747198883,394789080,1.7816095092210484,0.9204102134289343
21,85,117,361,38669959,20947992,1.6254903073037663,0.884401275860151
22,145,123,361,281300947,154155736,1.553340521547931,0.8677258376320245
23,89,129,361,291559845,161675528,1.484627771463917,0.8506907166183273
24,25,138,361,920107775,518865648,1.387330570109002,0.8264418342671525
25,65,150,361,1866731,1074256,1.2670363363912902,0.797176212083874
26,100,156,361,1007672657,586543776,1.2104528080249226,0.7807163634699416
27,49,159,361,48640779,28467784,1.1829720716028156,0.7728361396208903
28,80,165,361,1047904663,620382840,1.129532812641355,0.7562767817279793
29,64,168,361,176818883,105277088,1.1035376041084106,0.748080863230407
30,113,174,361,45184565,27259246,1.0529115310384427,0.7290843764224937
31,52,180,361,2197407,1342820,1.0040019305574963,0.7105361781909378
32,98,183,361,139801582,86007621,0.9801551886031284,0.7008442808680437
33,17,189,361,47448757,29609181,0.9336126026660984,0.6803257082854853
34,117,195,361,20695408,13092495,0.8885247131375604,0.6605706370616106
35,2,3529,5776,2469517248,1658584123,0.7108113121074469,0.5742768579167971
36,50,3673,5776,2520956860,1726262251,0.6531118461555134,0.546319777127161
37,32,3721,5776,362445444,249831661,0.6343803517613984,0.5368075338651294
38,82,3817,5776,2564109356,1793940379,0.597631555671613,0.5153258488021603
39,61,3913,5776,2591067392,1839059131,0.5617956319863767,0.4945786723193117
40,72,3961,5776,371916640,265945501,0.5442060409825512,0.483848666221392
41,37,4057,5776,2625948656,1906737259,0.5096574396808982,0.4617326485711669
42,41,4153,5776,2643877360,1951856011,0.4759168704623761,0.4378086281598402
43,97,4249,5776,2660650864,1996974763,0.44294739857388477,0.41396310874090136
44,162,4297,5776,2667917072,2019534139,0.42674096511323234,0.40169128918448144
45,36,4345,5776,2675148624,2042093515,0.41071456518540855,0.38957011190310525
46,26,4441,5776,2686920112,2087212267,0.3791861709200582,0.36437609919088493
47,106,4537,5776,2698379696,2132331019,0.3483320825364266,0.33966195121946674
48,16,4585,5776,2703554992,2154890395,0.33314900840475425,0.32724321119766697
49,81,4633,5776,2707621296,2177449771,0.3181240598538995,0.3143865297324039
50,1,5403,5776,2714090416,2539339761,0.09631006025973886,0.09601534387227806
51,0,1,1,1,1,-0.0,0.0
