feature_id,feature_value,Nz,Ez
su1_margin,"A=0|M=7",12834570240,0
su1_margin,"A=0|M=8",50331648,0
su1_margin,"A=10|M=-1",219722809344,219722809344
su1_margin,"A=10|M=-2",87367352320,87367352320
su1_margin,"A=10|M=-3",51036291072,51036291072
su1_margin,"A=10|M=-4",17683185664,17683185664
su1_margin,"A=10|M=1",84414562304,0
su1_margin,"A=10|M=2",166841024512,0
su1_margin,"A=10|M=3",48649732096,0
su1_margin,"A=10|M=4",45839548416,0
su1_margin,"A=12|M=-1",88046829568,88046829568
su1_margin,"A=12|M=-2",34359738368,34359738368
su1_margin,"A=12|M=-3",61857595392,61857595392
su1_margin,"A=12|M=-4",22968008704,22968008704
su1_margin,"A=12|M=-5",7247757312,7247757312
su1_margin,"A=12|M=-6",2415919104,2415919104
su1_margin,"A=12|M=1",47529852928,0
su1_margin,"A=12|M=2",71655489536,0
su1_margin,"A=12|M=3",12842958848,0
su1_margin,"A=12|M=4",11853103104,0
su1_margin,"A=14|M=-1",24763170816,24763170816
su1_margin,"A=14|M=-2",12280922112,12280922112
su1_margin,"A=14|M=-3",17305698304,17305698304
su1_margin,"A=14|M=-4",6316621824,6316621824
su1_margin,"A=14|M=-5",8329887744,8329887744
su1_margin,"A=14|M=-6",2944401408,2944401408
su1_margin,"A=14|M=-7",402653184,402653184
su1_margin,"A=14|M=-8",134217728,134217728
su1_margin,"A=14|M=1",10840178688,0
su1_margin,"A=14|M=2",14929625088,0
su1_margin,"A=14|M=3",2999975936,0
su1_margin,"A=14|M=4",1294991360,0
su1_margin,"A=14|M=5",463470592,0
su1_margin,"A=14|M=6",73400320,0
su1_margin,"A=16|M=-1",3655335936,3655335936
su1_margin,"A=16|M=-2",2250244096,2250244096
su1_margin,"A=16|M=-3",1644167168,1644167168
su1_margin,"A=16|M=-4",771751936,771751936
su1_margin,"A=16|M=-5",1371537408,1371537408
su1_margin,"A=16|M=-6",507510784,507510784
su1_margin,"A=16|M=-7",402653184,402653184
su1_margin,"A=16|M=-8",134217728,134217728
su1_margin,"A=16|M=1",752877568,0
su1_margin,"A=16|M=2",589299712,0
su1_margin,"A=16|M=3",545259520,0
su1_margin,"A=16|M=4",260046848,0
su1_margin,"A=21|M=2",56623104,0
su1_margin,"A=21|M=3",56623104,0
su1_margin,"A=21|M=4",191102976,0
su1_margin,"A=21|M=5",148635648,0
su1_margin,"A=22|M=2",358612992,0
su1_margin,"A=22|M=3",415236096,0
su1_margin,"A=22|M=4",750256128,0
su1_margin,"A=22|M=5",1488900096,0
su1_margin,"A=22|M=6",308883456,0
su1_margin,"A=23|M=2",981467136,0
su1_margin,"A=23|M=3",1038090240,0
su1_margin,"A=23|M=4",2305622016,0
su1_margin,"A=23|M=5",4415390208,0
su1_margin,"A=23|M=6",772111872,0
su1_margin,"A=24|M=-1",1358954496,1358954496
su1_margin,"A=24|M=1",169869312,0
su1_margin,"A=24|M=2",2610954240,0
su1_margin,"A=24|M=3",5395513344,0
su1_margin,"A=24|M=4",14140680192,0
su1_margin,"A=24|M=5",11540652672,0
su1_margin,"A=24|M=6",3689739648,0
su1_margin,"A=25|M=-2",452984832,452984832
su1_margin,"A=25|M=1",56623104,0
