feature_id,feature_value,Nz,Ez
su1_margin_by_key,"K=0|A=22|M=3",56623104,0
su1_margin_by_key,"K=0|A=22|M=4",49545216,0
su1_margin_by_key,"K=0|A=22|M=5",281788416,0
su1_margin_by_key,"K=0|A=22|M=6",65028096,0
su1_margin_by_key,"K=0|A=23|M=4",35389440,0
su1_margin_by_key,"K=0|A=23|M=5",93929472,0
su1_margin_by_key,"K=0|A=23|M=6",21676032,0
su1_margin_by_key,"K=0|A=24|M=2",169869312,0
su1_margin_by_key,"K=0|A=24|M=3",1634992128,0
su1_margin_by_key,"K=0|A=24|M=4",2701191168,0
su1_margin_by_key,"K=0|A=24|M=5",1707556608,0
su1_margin_by_key,"K=0|A=24|M=6",883153152,0
su1_margin_by_key,"K=0|A=25|M=2",56623104,0
su1_margin_by_key,"K=0|A=25|M=3",257949696,0
su1_margin_by_key,"K=0|A=25|M=4",1423171584,0
su1_margin_by_key,"K=0|A=25|M=5",391406592,0
su1_margin_by_key,"K=0|A=25|M=6",236436480,0
su1_margin_by_key,"K=0|A=26|M=2",4643094528,0
su1_margin_by_key,"K=0|A=26|M=3",12538871808,0
su1_margin_by_key,"K=0|A=26|M=4",19105990656,0
su1_margin_by_key,"K=0|A=26|M=5",5417494272,0
su1_margin_by_key,"K=0|A=26|M=6",3643363584,0
su1_margin_by_key,"K=0|A=27|M=2",1547698176,0
su1_margin_by_key,"K=0|A=27|M=3",2424045568,0
su1_margin_by_key,"K=0|A=27|M=4",7927572480,0
su1_margin_by_key,"K=0|A=27|M=5",2051170560,0
su1_margin_by_key,"K=0|A=27|M=6",1159688448,0
su1_margin_by_key,"K=0|A=27|M=7",6096384,0
su1_margin_by_key,"K=0|A=28|M=2",25480396800,0
su1_margin_by_key,"K=0|A=28|M=3",37528731648,0
su1_margin_by_key,"K=0|A=28|M=4",65610768384,0
su1_margin_by_key,"K=0|A=28|M=5",15346177920,0
su1_margin_by_key,"K=0|A=28|M=6",6273894528,0
su1_margin_by_key,"K=0|A=29|M=2",8493465600,0
su1_margin_by_key,"K=0|A=29|M=3",8301182976,0
su1_margin_by_key,"K=0|A=29|M=4",21013204992,0
su1_margin_by_key,"K=0|A=29|M=5",10006505856,0
su1_margin_by_key,"K=0|A=29|M=6",2265630336,0
su1_margin_by_key,"K=0|A=30|M=2",46204452864,0
su1_margin_by_key,"K=0|A=30|M=3",54497968128,0
su1_margin_by_key,"K=0|A=30|M=4",127432617984,0
su1_margin_by_key,"K=0|A=30|M=5",33414393024,0
su1_margin_by_key,"K=0|A=30|M=6",7592097600,0
su1_margin_by_key,"K=0|A=30|M=7",384445440,0
su1_margin_by_key,"K=0|A=31|M=2",15401484288,0
su1_margin_by_key,"K=0|A=31|M=3",12400459776,0
su1_margin_by_key,"K=0|A=31|M=4",31821428736,0
su1_margin_by_key,"K=0|A=31|M=5",26917848576,0
su1_margin_by_key,"K=0|A=31|M=6",3300770304,0
su1_margin_by_key,"K=0|A=32|M=2",21913141248,0
su1_margin_by_key,"K=0|A=32|M=3",32885637120,0
su1_margin_by_key,"K=0|A=32|M=4",160566644736,0
su1_margin_by_key,"K=0|A=32|M=5",26285544576,0
su1_margin_by_key,"K=0|A=32|M=6",4319796096,0
su1_margin_by_key,"K=0|A=33|M=-1",205258752,205258752
su1_margin_by_key,"K=0|A=33|M=1",49545216,0
su1_margin_by_key,"K=0|A=33|M=2",7304380416,0
su1_margin_by_key,"K=0|A=33|M=3",9068544000,0
su1_margin_by_key,"K=0|A=33|M=4",48652973568,0
su1_margin_by_key,"K=0|A=33|M=5",15390843264,0
su1_margin_by_key,"K=0|A=33|M=6",1771694208,0
su1_margin_by_key,"K=0|A=34|M=-1",615776256,615776256
su1_margin_by_key,"K=0|A=34|M=1",764411904,0
su1_margin_by_key,"K=0|A=34|M=2",3280601088,0
su1_margin_by_key,"K=0|A=34|M=3",25618415616,0
su1_margin_by_key,"K=0|A=34|M=4",59740913664,0
su1_margin_by_key,"K=0|A=34|M=5",5828143104,0
su1_margin_by_key,"K=0|A=34|M=6",637507584,0
su1_margin_by_key,"K=0|A=35|M=-1",1137180672,1137180672
su1_margin_by_key,"K=0|A=35|M=1",2198863872,0
su1_margin_by_key,"K=0|A=35|M=2",2609086464,0
su1_margin_by_key,"K=0|A=35|M=3",8889827328,0
su1_margin_by_key,"K=0|A=35|M=4",21721890816,0
su1_margin_by_key,"K=0|A=35|M=5",3060654336,0
su1_margin_by_key,"K=0|A=35|M=6",245161728,0
su1_margin_by_key,"K=0|A=36|M=-1",3857448960,3857448960
su1_margin_by_key,"K=0|A=36|M=1",4466147328,0
su1_margin_by_key,"K=0|A=36|M=2",3922919424,0
su1_margin_by_key,"K=0|A=36|M=3",11422937088,0
su1_margin_by_key,"K=0|A=36|M=4",15740227584,0
su1_margin_by_key,"K=0|A=37|M=-1",3772514304,3772514304
su1_margin_by_key,"K=0|A=37|M=1",11272716288,0
su1_margin_by_key,"K=0|A=37|M=2",8321396736,0
su1_margin_by_key,"K=0|A=37|M=3",12489203712,0
su1_margin_by_key,"K=0|A=37|M=4",23107104768,0
su1_margin_by_key,"K=0|A=37|M=5",2341011456,0
su1_margin_by_key,"K=0|A=38|M=-1",9725018112,9725018112
su1_margin_by_key,"K=0|A=38|M=1",10567286784,0
su1_margin_by_key,"K=0|A=38|M=2",16546222080,0
su1_margin_by_key,"K=0|A=38|M=3",23898857472,0
su1_margin_by_key,"K=0|A=38|M=4",33331286016,0
su1_margin_by_key,"K=0|A=38|M=5",4682022912,0
su1_margin_by_key,"K=0|A=39|M=-1",12406751232,12406751232
su1_margin_by_key,"K=0|A=39|M=1",21797273600,0
su1_margin_by_key,"K=0|A=39|M=2",17373581312,0
su1_margin_by_key,"K=0|A=39|M=3",41193897984,0
su1_margin_by_key,"K=0|A=39|M=4",72408010752,0
su1_margin_by_key,"K=0|A=39|M=5",8555839488,0
su1_margin_by_key,"K=0|A=39|M=6",227598336,0
su1_margin_by_key,"K=0|A=40|M=-1",12624592896,12624592896
su1_margin_by_key,"K=0|A=40|M=1",14697627648,0
su1_margin_by_key,"K=0|A=40|M=2",25760526336,0
su1_margin_by_key,"K=0|A=40|M=3",39653425152,0
su1_margin_by_key,"K=0|A=40|M=4",34457923584,0
su1_margin_by_key,"K=0|A=40|M=5",26461790208,0
su1_margin_by_key,"K=0|A=40|M=6",1365590016,0
su1_margin_by_key,"K=0|A=41|M=-1",20573061120,20573061120
