feature_id,feature_value,Nz,Ez
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-1",192320,192320
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-2",2368,2368
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-3",2368,2368
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=1",136544,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=2",1620224,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=3",392192,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=4",520512,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=5",770048,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=-1",317824,317824
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=-2",704,704
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=-3",1888,1888
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=-4",32,32
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=1",89984,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=2",730688,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=3",577344,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.0|M=4",520512,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0|M=-1",113984,113984
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0|M=-3",352,352
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0|M=1",38592,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.0|M=3",212352,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-1",143968,143968
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-2",71456,71456
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-3",2208,2208
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=1",106368,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=2",1406624,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=3",392192,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=4",1874560,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0|M=-1",126592,126592
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0|M=-2",15488,15488
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.0|M=-3",864,864
