feature_id,feature_value,Nz,Ez
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=-1",155840,155840
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=-2",448,448
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=-3",12096,12096
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=1",141248,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=2",321536,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=3",4413568,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2|M=5",1320576,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=-1",680184,680184
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=-2",1064,1064
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=-3",30088,30088
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=-5",128,128
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=1",401912,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=2",328960,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=3",5235776,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1|M=5",1171200,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-1",324448,324448
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=-3",8608,8608
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=1",329536,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=3",1642416,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0|M=5",5391392,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=-1",787528,787528
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=-2",5064,5064
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=-3",37816,37816
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=-4",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=1",664360,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=2",2606376,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=3",9947624,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.1|M=5",3633376,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-1",1113896,1113896
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-2",8144,8144
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-3",29256,29256
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-4",672,672
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=-5",128,128
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=1",1578624,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=2",1304688,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=3",6391208,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=4",260256,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.0|M=5",10797160,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=-1",781112,781112
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=-2",9600,9600
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=-3",20376,20376
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=-4",1120,1120
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=1",1367752,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=2",2798616,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=3",5738832,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=4",224576,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.0|M=5",6622992,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=-1",689792,689792
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=-3",30848,30848
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=-4",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=1",672864,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=2",1459200,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=3",3091296,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.1|M=5",1611968,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=-1",527264,527264
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=-2",472,472
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=-3",29888,29888
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=-4",448,448
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=1",345592,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=2",668928,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=3",4879864,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.0|M=5",2761216,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=-1",977520,977520
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=-2",1920,1920
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=-3",42432,42432
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=-4",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=1",1339208,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=2",2147320,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=3",6713336,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=4",531816,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.0|M=5",3679496,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=-1",211200,211200
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=-2",1792,1792
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=-3",1792,1792
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=1",175488,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=2",693312,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0|M=3",231104,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=-1",527264,527264
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=-2",472,472
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=-3",30112,30112
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=-4",224,224
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=1",345592,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=2",520192,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=3",5028600,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.1|M=5",2761216,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=-1",759792,759792
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=-2",704,704
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=-3",28208,28208
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=1",424128,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=2",485008,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=3",5248192,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.0|M=5",9625600,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=-1",1074184,1074184
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=-2",1920,1920
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=-3",39744,39744
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=-4",448,448
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=-5",32,32
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=1",1558896,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=2",2047024,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=3",7441792,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.0|M=5",11672544,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=-1",765184,765184
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=-2",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=-3",10048,10048
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=1",755968,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=2",2102272,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=3",2102272,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=4",301440,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.0|M=5",301440,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=-1",85152,85152
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=-3",17600,17600
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=-5",128,128
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=1",43968,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=3",3056384,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.0|M=5",103505408,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=-1",977520,977520
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=-2",1920,1920
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=-3",42208,42208
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=-4",1120,1120
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=-5",64,64
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=1",1339208,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=2",2516216,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=3",6344440,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=4",531816,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.0.1|M=5",3679496,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=-1",1085624,1085624
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=-2",1488,1488
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=-3",41536,41536
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=-4",224,224
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=-5",32,32
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=1",1552512,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=2",1954216,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=3",7533464,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.0.0.1.0|M=5",11667488,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=-1",1668296,1668296
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=-2",4672,4672
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=-3",56272,56272
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=-4",1120,1120
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=-5",192,192
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=1",3735576,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=2",5163728,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=3",10510720,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=4",1063632,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.0.1.0.0.0|M=5",13985168,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=-1",1177536,1177536
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=-2",19008,19008
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=-3",5376,5376
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=-4",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=1",1460992,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=2",3341760,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=3",2417344,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=4",260256,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.0.1.0.0.0.0|M=5",260256,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=-1",872320,872320
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=-2",31648,31648
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=-3",29440,29440
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=-4",1792,1792
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=-5",128,128
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=1",2915552,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=2",2107360,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=3",7414272,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=4",804992,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.1.0.1.0.0.0.0.0|M=5",205468640,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=-1",988320,988320
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=-2",47968,47968
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=-3",5376,5376
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=-4",2688,2688
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=1",3297728,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=2",2652984,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=3",4447616,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=4",758368,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.2.0.0.0.0.0.0.0|M=5",102025672,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=-1",265600,265600
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=-3",2816,2816
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=-4",896,896
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=1",248672,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=2",1459200,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.0.1|M=3",1829664,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=-1",126208,126208
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=-2",472,472
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=-3",3808,3808
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=-4",224,224
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=1",59528,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=2",520192,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=3",1977656,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.0.0.1.0|M=5",808512,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=-1",297216,297216
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=-2",1024,1024
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=-3",7264,7264
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=-4",1120,1120
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=1",245960,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=2",2102872,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=3",3137880,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=4",531816,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.0.1.0.0.0|M=5",361544,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=-1",201600,201600
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=-2",1792,1792
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=-3",1792,1792
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=1",201600,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=2",988224,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.0.1.0.0.0.0|M=3",329408,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=-1",88448,88448
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=-2",448,448
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=-3",5280,5280
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=1",79232,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=2",1247744,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=3",1247744,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=4",301440,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.0.0.1.0.0.0.0.0|M=5",301440,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=-1",280032,280032
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=-2",10720,10720
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=-3",2688,2688
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=-4",448,448
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=1",497696,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=2",2162144,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=3",1503328,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=4",260256,0
normalized_uv_margin,"0.0.0.0.0.0.0.1.1.0.0.0.0.0.0.0|M=5",260256,0
normalized_uv_margin,"0.0.0.0.0.0.0.2.0.0.0.0.0.0.0.0|M=-1",43968,43968
normalized_uv_margin,"0.0.0.0.0.0.0.2.0.0.0.0.0.0.0.0|M=1",43968,0
normalized_uv_margin,"0.0.0.0.0.0.0.2.0.0.0.0.0.0.0.0|M=2",294912,0
normalized_uv_margin,"0.0.0.0.0.0.0.2.0.0.0.0.0.0.0.0|M=3",98304,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=-1",126208,126208
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=-2",472,472
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=-3",3584,3584
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=-4",448,448
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=1",59528,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=2",668928,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=3",1828920,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.0.1|M=5",808512,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=-1",369776,369776
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=-2",704,704
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=-3",3632,3632
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=1",237248,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=2",485008,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=3",1179136,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.0.0.1.0|M=5",3850240,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=-1",405632,405632
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=-2",816,816
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=-3",8544,8544
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=-4",224,224
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=-5",32,32
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=1",503640,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=2",1014344,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=3",2730280,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.0.1.0.0.0|M=5",4369504,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=-1",88448,88448
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=-2",448,448
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=-3",5280,5280
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=1",79232,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=2",1247744,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=3",1247744,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=4",301440,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.0.1.0.0.0.0|M=5",301440,0
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.1.0.0.0.0.0|M=-1",170304,170304
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.1.0.0.0.0.0|M=-3",18112,18112
normalized_uv_margin,"0.0.0.0.0.0.1.0.0.0.1.0.0.0.0.0|M=1",87936,0
