feature_id,feature_value,Nz,Ez
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.4|M=4",4320,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.4|M=6",288,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=2",1728,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=3",1152,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=4",7497,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=5",96,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=6",4926,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3|M=7",729,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=-1",2304,2304
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=1",7560,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=2",20976,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=3",13611,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=4",72157,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=5",88544,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=6",47872,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2|M=7",864,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=1",8088,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=2",57904,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=3",41863,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=4",171377,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=5",164752,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=6",147408,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1|M=7",5472,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=-1",5952,5952
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=-3",1344,1344
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=-5",192,192
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=1",1440,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=2",85392,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=3",22606,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=4",159647,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=5",51543,0
normalized_uv_margin,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0|M=6",65724,0
