dataset,score,threshold,false_positive_rate,true_positive_rate,auc
e0,joint,inf,0,0,0.71318500238622107
e0,joint,0.94046434003944224,0.0051541127836670581,0.016212570965125711,0.71318500238622107
e0,joint,0.86113212346091017,0.0087120891650584002,0.024540389294403893,0.71318500238622107
e0,joint,0.78179990688237821,0.0093290765481053878,0.026866909975669099,0.71318500238622107
e0,joint,0.75316659110712658,0.011553314698941653,0.031760665044606652,0.71318500238622107
e0,joint,0.74944207850872246,0.019805921481052501,0.046521897810218975,0.71318500238622107
e0,joint,0.67383437452859452,0.020641920058873518,0.049530332522303322,0.71318500238622107
e0,joint,0.6701098619301904,0.023832540436748727,0.053390997566909973,0.71318500238622107
e0,joint,0.61412481977042033,0.038974178692213778,0.088719626926196268,0.71318500238622107
e0,joint,0.56586884217481082,0.039199540952995562,0.089878751013787506,0.71318500238622107
e0,joint,0.56214432957640681,0.041071050668632182,0.09163771289537713,0.71318500238622107
e0,joint,0.55841981697800269,0.044185580390299156,0.093153446877534463,0.71318500238622107
e0,joint,0.54010751213435182,0.050006662871737093,0.11130924574209246,0.71318500238622107
e0,joint,0.53479260319188826,0.058389365924513471,0.12455028386050283,0.71318500238622107
e0,joint,0.49422419239941645,0.068898792400837447,0.15449837793998378,0.71318500238622107
e0,joint,0.46077529555581975,0.072988016774171147,0.16169756690997567,0.71318500238622107
e0,joint,0.42682707083810456,0.077550999060042231,0.16770121654501216,0.71318500238622107
e0,joint,0.4231025582397005,0.087073682538890654,0.18507761557177616,0.71318500238622107
e0,joint,0.41489197582088444,0.091603041534132471,0.19875401459854014,0.71318500238622107
e0,joint,0.39919997563512938,0.097930793956819875,0.21181670721816706,0.71318500238622107
e0,joint,0.35729114977558735,0.10345225555953926,0.23030843471208434,0.71318500238622107
e0,joint,0.35280976320203605,0.10535685691548323,0.23328386050283861,0.71318500238622107
e0,joint,0.34908525060363205,0.10808089666016693,0.24361419302514192,0.71318500238622107
e0,joint,0.34062122074339563,0.1294191205825462,0.31948548256285481,0.71318500238622107
e0,joint,0.32400495871205726,0.13244620819518568,0.32625093268450933,0.71318500238622107
e0,joint,0.31986775905659737,0.13545511911438665,0.33205612327656125,0.71318500238622107
e0,joint,0.30692644346710074,0.13845275042540647,0.33798864557988645,0.71318500238622107
e0,joint,0.30320193086869668,0.14688118977479522,0.35163041362530412,0.71318500238622107
e0,joint,0.28778529950139831,0.15760334104005977,0.36713057583130576,0.71318500238622107
e0,joint,0.27795893319705534,0.16039370057017055,0.37591175993511761,0.71318500238622107
e0,joint,0.26128900416486367,0.17094886334310688,0.40626058394160586,0.71318500238622107
e0,joint,0.24467274213352527,0.17270407095859255,0.40928442822384431,0.71318500238622107
e0,joint,0.21376799186532983,0.18318302093943589,0.42097875101378751,0.71318500238622107
e0,joint,0.21190222670281367,0.18490597031241612,0.42422806163828064,0.71318500238622107
e0,joint,0.20817771410440961,0.18942321630167483,0.42983098134630982,0.71318500238622107
e0,joint,0.16999340084327164,0.1911784239171605,0.43285482562854827,0.71318500238622107
e0,joint,0.16788467213039449,0.21395225458245218,0.45966982968369829,0.71318500238622107
e0,joint,0.16626888824486757,0.21795046616824496,0.46697939983779402,0.71318500238622107
e0,joint,0.15332347181107994,0.22423248229432,0.47964136253041362,0.71318500238622107
e0,joint,0.14959895921267588,0.23937412054978505,0.51496999188969994,0.71318500238622107
