dataset,n,q,du,dv,score,evaluation_mode,target_s,threshold,selection_probability,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,ci_low,ci_high,frozen_score_sha256
e0,2,17,3,2,joint,recalibrated,2,0.15332347181107994,0.2450165864093081,0.081375808451827417,0.15930025070892781,1.9575873191260502,0.96907666105935597,0.96907666105935597,0.96907666105935597,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,recalibrated,4,0.53479260319188826,0.06377326410946961,0.081375808451827417,0.15892835631958849,1.9530172337847846,0.96570467988837383,0.96570467988837383,0.96570467988837383,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,recalibrated,6,0.75316659110712658,0.013197704169989458,0.081375808451827417,0.19583328749326151,2.4065295475275095,1.2669541369157968,1.2669541369157968,1.2669541369157968,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,recalibrated,8,0.94046434003944224,0.0060540037584139814,0.081375808451827417,0.21792372816685526,2.6779915593202497,1.4211514134829821,1.4211514134829821,1.4211514134829821,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,recalibrated,10,0.94046434003944224,0.0060540037584139814,0.081375808451827417,0.21792372816685526,2.6779915593202497,1.4211514134829821,1.4211514134829821,1.4211514134829821,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,frozen,2,0.15332347181107994,0.2450165864093081,0.081375808451827417,0.15930025070892781,1.9575873191260502,0.96907666105935597,0.96907666105935597,0.96907666105935597,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,frozen,4,0.53479260319188826,0.06377326410946961,0.081375808451827417,0.15892835631958849,1.9530172337847846,0.96570467988837383,0.96570467988837383,0.96570467988837383,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,frozen,6,0.75316659110712658,0.013197704169989458,0.081375808451827417,0.19583328749326151,2.4065295475275095,1.2669541369157968,1.2669541369157968,1.2669541369157968,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,frozen,8,0.94046434003944224,0.0060540037584139814,0.081375808451827417,0.21792372816685526,2.6779915593202497,1.4211514134829821,1.4211514134829821,1.4211514134829821,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
e0,2,17,3,2,joint,frozen,10,0.94046434003944224,0.0060540037584139814,0.081375808451827417,0.21792372816685526,2.6779915593202497,1.4211514134829821,1.4211514134829821,1.4211514134829821,1d279c146e2eee4f3adceb01b22132025d8e21c2d66543ae65797c52496a6228
