dataset,metric,estimate,ci_low,ci_high,replicates,seed
n4q29d43,total_cov,9.47868749835e-05,5.27849067294e-05,0.000141066842311,10000,20260920
n4q29d43,within_key_cov,7.62501926899e-05,3.76492091242e-05,0.00011721393148,10000,20260920
n4q29d43,between_key_cov,1.85366822935e-05,2.94560132455e-06,3.6766758593e-05,10000,20260920
n4q29d43,corr_X_M,-0.024483151321,-0.0385599568372,-0.0116000114133,10000,20260920
n4q29d43,corr_X_L,0.00788757895176,0.00461198501228,0.0113334619186,10000,20260920
n4q29d43,within_key_centered_corr_X_M,-0.0185387595068,-0.0294992423278,-0.00786425280113,10000,20260920
n4q19d43,total_cov,0.00106017754734,0.000841303504831,0.00129579750432,10000,20260920
n4q19d43,within_key_cov,0.000934910035761,0.000743681891387,0.00113857559055,10000,20260920
n4q19d43,between_key_cov,0.000125267511574,3.3050081237e-05,0.000238617204273,10000,20260920
n4q19d43,corr_X_M,-0.048688681535,-0.0583237590704,-0.039838453214,10000,20260920
n4q19d43,corr_X_L,0.018682161094,0.0133652745085,0.0244827193415,10000,20260920
n4q19d43,within_key_centered_corr_X_M,-0.0443444187629,-0.0523354321774,-0.0370324240565,10000,20260920
n8q29d43,total_cov,-0.00020412955839,-0.00062882087277,0.000193501416921,10000,20260920
n8q29d43,within_key_cov,-7.345185942e-05,-0.000331369351125,0.000185150936229,10000,20260920
n8q29d43,between_key_cov,-0.00013067769897,-0.000407562842417,0.000120340975397,10000,20260920
n8q29d43,corr_X_M,0.0118528564851,-0.00107801819731,0.0244301314751,10000,20260920
n8q29d43,corr_X_L,-0.00322910686632,-0.0119646811025,0.00573416036643,10000,20260920
n8q29d43,within_key_centered_corr_X_M,0.00992168291289,-0.00275894622957,0.0222380403219,10000,20260920
