dataset,x,key_conditioned_local_failure_probability,supporting_key_mass,supporting_key_count
n4q29d43,0,0.000380689107614,1,128
n4q29d43,0.0689655172414,0.00119367224634,1,128
n4q29d43,0.137931034483,0.0013790949779,0.9921875,127
n4q29d43,0.172413793103,0.00152268729685,0.984375,126
n4q29d43,0.241379310345,0.00159053218413,0.9921875,127
n4q29d43,0.310344827586,0.00158120916111,0.984375,126
n4q29d43,0.379310344828,0.00223022301996,1,128
n4q29d43,0.448275862069,0.00167907386562,0.9921875,127
n4q29d43,0.48275862069,0.0015808994635,0.9765625,125
n4q19d43,0,0.00789663596424,1,128
n4q19d43,0.0526315789474,0.010208664792,1,128
n4q19d43,0.105263157895,0.0128415785368,1,128
n4q19d43,0.210526315789,0.0156455832569,1,128
n4q19d43,0.263157894737,0.0125782002328,0.9921875,127
n4q19d43,0.315789473684,0.0136856015942,1,128
n4q19d43,0.368421052632,0.0137943861301,1,128
n4q19d43,0.421052631579,0.0133121841156,1,128
n4q19d43,0.473684210526,0.020224901682,0.9921875,127
n8q29d43,0,0.00965073560943,0.953125,122
n8q29d43,0.0689655172414,0.0115023632894,1,128
n8q29d43,0.137931034483,0.00906513477914,1,128
n8q29d43,0.172413793103,0.00893567201648,1,128
n8q29d43,0.241379310345,0.00889554837319,1,128
n8q29d43,0.310344827586,0.00774830321464,1,128
n8q29d43,0.379310344828,0.0109875642644,1,128
n8q29d43,0.448275862069,0.00899093833012,1,128
n8q29d43,0.48275862069,0.0112012770687,1,128
