dataset,statistic,target_s,valid,zero,r_zero,status,gain_ci_low,gain_ci_high
n4q29d43,T_marg,2,10000,0,0,supported,0.12198090895610779,0.30316003531579017
n4q29d43,T_marg,4,10000,0,0,supported,0.020661314907660745,0.45724289393380291
n4q29d43,T_marg,6,10000,0,0,supported,-0.3002835178828081,0.60300567885430012
n4q29d43,T_marg,8,10000,0,0,supported,-inf,-0.77557352168229399
n4q29d43,T_marg,10,10000,0,0,supported,-inf,-0.77557352168229399
n4q29d43,S_u2,2,10000,0,0,supported,0.13607736450587934,0.48063427175548179
n4q29d43,S_u2,4,10000,0,0,supported,-1.3465407460051444,0.60391803362181562
n4q29d43,S_u2,6,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_u2,8,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_u2,10,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_v2,2,10000,0,0,supported,-0.048470135065489084,0.24093070372197053
n4q29d43,S_v2,4,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v2,6,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v2,8,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v2,10,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_2sum,2,10000,0,0,supported,-0.61623739619262885,-0.084742399262332055
n4q29d43,S_2sum,4,10000,0,0,supported,-inf,-inf
n4q29d43,S_2sum,6,10000,0,0,supported,-inf,-inf
n4q29d43,S_2sum,8,10000,0,0,supported,-inf,-inf
n4q29d43,S_2sum,10,10000,0,0,supported,-inf,-inf
n4q29d43,S_2max,2,10000,0,0,supported,-0.579182356810516,-0.013658127626473523
n4q29d43,S_2max,4,10000,0,0,supported,-inf,-inf
n4q29d43,S_2max,6,10000,0,0,supported,-inf,-inf
n4q29d43,S_2max,8,10000,0,0,supported,-inf,-inf
n4q29d43,S_2max,10,10000,0,0,supported,-inf,-inf
n4q29d43,S_u1,2,10000,0,0,supported,-0.038992673241581711,0.4783650449201346
n4q29d43,S_u1,4,10000,0,0,supported,-1.3725561225074305,0.68385987943357218
n4q29d43,S_u1,6,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_u1,8,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_u1,10,8684,1316,0.13159999999999999,unsupported,-inf,-0.62038395448994565
n4q29d43,S_v1,2,10000,0,0,supported,-0.69966595719327129,-0.19440877207606436
n4q29d43,S_v1,4,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v1,6,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v1,8,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_v1,10,10000,0,0,supported,-3.591495044085073,-1.4459884432284051
n4q29d43,S_1sum,2,10000,0,0,supported,0.036034656688198503,0.2673523899865532
n4q29d43,S_1sum,4,10000,0,0,supported,-0.58856376539332678,0.12137376449173508
n4q29d43,S_1sum,6,10000,0,0,supported,-3.1513098440866192,0.15198721631028311
n4q29d43,S_1sum,8,8636,1364,0.13639999999999999,unsupported,-inf,-inf
n4q29d43,S_1sum,10,8636,1364,0.13639999999999999,unsupported,-inf,-inf
n4q29d43,E_u_1_4,2,10000,0,0,supported,-0.72689613236233142,0.70047094041970759
n4q29d43,E_u_1_4,4,10000,0,0,supported,-0.72689613236233142,0.70047094041970759
n4q29d43,E_u_1_4,6,10000,0,0,supported,-0.72689613236233142,0.70047094041970759
n4q29d43,E_u_1_4,8,10000,0,0,supported,-0.72689613236233142,0.70047094041970759
n4q29d43,E_u_1_4,10,10000,0,0,supported,-0.72689613236233142,0.70047094041970759
n4q29d43,E_v_1_4,2,10000,0,0,supported,0.028888556774242284,0.26712654989749707
n4q29d43,E_v_1_4,4,10000,0,0,supported,0.028888556774242284,0.26712654989749707
n4q29d43,E_v_1_4,6,10000,0,0,supported,0.028888556774242284,0.26712654989749707
n4q29d43,E_v_1_4,8,10000,0,0,supported,0.028888556774242284,0.26712654989749707
n4q29d43,E_v_1_4,10,10000,0,0,supported,0.028888556774242284,0.26712654989749707
n4q29d43,E_sum_1_4,2,10000,0,0,supported,-0.76229293477625837,0.33391880788609934
n4q29d43,E_sum_1_4,4,10000,0,0,supported,-0.76229293477625837,0.33391880788609934
n4q29d43,E_sum_1_4,6,10000,0,0,supported,-0.76229293477625837,0.33391880788609934
n4q29d43,E_sum_1_4,8,10000,0,0,supported,-0.76229293477625837,0.33391880788609934
