feature_id,feature_value,Nz,Ez
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=-1",102368,102368
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=-3",672,672
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=1",34280,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=2",517984,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=3",98048,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-1",147304,147304
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-2",672,672
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-3",1024,1024
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-4",32,32
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=1",11968,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=2",631456,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=3",92576,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=4",404544,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=-1",74240,74240
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=-2",352,352
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=-3",352,352
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=1",59480,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=2",190624,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=3",21728,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=4",659456,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=-1",144168,144168
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=-3",512,512
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=1",72872,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=2",787136,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=3",196096,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=-1",21184,21184
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=-2",512,512
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=-3",512,512
