feature_id,feature_value,Nz,Ez
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=-1",42112,42112
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=-2",672,672
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=1",125208,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=2",398592,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.0.2|M=3",229184,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-1",13888,13888
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=-2",4960,4960
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=1",119016,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=2",289024,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=3",441664,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=4",260256,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.1.1|M=5",239336,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=-1",19296,19296
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=-2",19296,19296
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=1",19296,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=2",4536,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=3",190624,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=4",21728,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.0.2.0|M=5",659456,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=-1",86080,86080
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=-2",512,512
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=1",168448,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=2",693504,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.0.1|M=3",300288,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=-1",11200,11200
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=-2",1920,1920
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=1",9280,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=2",289024,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=3",289024,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=4",260256,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.1.1.0|M=5",260256,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.2.0.0|M=-1",43968,43968
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.2.0.0|M=1",43968,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.2.0.0|M=2",294912,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=0.2.0.0|M=3",98304,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=-1",30208,30208
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=-2",512,512
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=-3",672,672
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=1",130176,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=2",393216,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=3",600576,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=4",301440,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.0.1|M=5",277152,0
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.1.0|M=-1",96256,96256
mechanism_margin,"U=0.0.0.0.0.0.0.2|V=1.0.1.0|M=-2",21984,21984
