dataset,statistic,quintile,margin,conditional_cdf
e0,S_u1,1,-5,1.6997132120253164e-05
e0,S_u1,1,-4,1.8542325949367089e-05
e0,S_u1,1,-1,0.016411600233633306
e0,S_u1,1,1,0.023491485209404667
e0,S_u1,1,4,0.75388307209256333
e0,S_u1,1,5,1
e0,S_u1,2,-5,8.9009602864583339e-06
e0,S_u1,2,-4,1.6530354817708332e-05
e0,S_u1,2,-3,0.0047926902770996094
e0,S_u1,2,-2,0.0053979555765787763
e0,S_u1,2,-1,0.13233931859334311
e0,S_u1,2,1,0.18412272135416666
e0,S_u1,2,2,0.39860073725382489
e0,S_u1,2,3,0.55610577265421546
e0,S_u1,2,4,0.87937545776367188
e0,S_u1,2,5,1
e0,S_u1,3,-3,0.005862281436011905
e0,S_u1,3,-2,0.00732421875
e0,S_u1,3,-1,0.082686651320684521
e0,S_u1,3,1,0.11175028483072917
e0,S_u1,3,2,0.4659848894391741
e0,S_u1,3,3,0.77311197916666663
e0,S_u1,3,4,0.93880208333333337
e0,S_u1,3,5,1
e0,S_u1,4,-5,6.7816840277777774e-06
e0,S_u1,4,-4,2.5770399305555555e-05
e0,S_u1,4,-3,0.00111083984375
e0,S_u1,4,-2,0.0012410481770833333
e0,S_u1,4,-1,0.12681935628255209
e0,S_u1,4,1,0.18634728325737848
e0,S_u1,4,2,0.36864166259765624
e0,S_u1,4,3,0.45179867214626734
e0,S_u1,4,4,0.88796522352430551
e0,S_u1,4,5,1
e0,S_u1,5,-5,2.8483072916666668e-06
e0,S_u1,5,-4,0.00056559244791666672
e0,S_u1,5,-3,0.0031575520833333334
e0,S_u1,5,-2,0.0082519531249999993
e0,S_u1,5,-1,0.089187927246093757
e0,S_u1,5,1,0.13837076822916666
e0,S_u1,5,2,0.42354517618815102
e0,S_u1,5,3,0.64594268798828125
e0,S_u1,5,4,0.93055867513020829
e0,S_u1,5,5,1
e1a,S_u1,1,-5,6.292284149484536e-07
e1a,S_u1,1,-1,0.006501187983247423
e1a,S_u1,1,1,0.01913224053137081
e1a,S_u1,1,5,1
e1a,S_u1,2,-5,2.5431315104166665e-06
e1a,S_u1,2,-4,5.5948893229166664e-05
e1a,S_u1,2,-3,0.00076802571614583337
e1a,S_u1,2,-2,0.002269744873046875
e1a,S_u1,2,-1,0.060517787933349609
e1a,S_u1,2,1,0.14382553100585938
e1a,S_u1,2,2,0.27951351801554364
e1a,S_u1,2,3,0.5098172823588053
e1a,S_u1,2,4,0.54230356216430664
