dataset,statistic,quintile,quintile_probability,score_min,score_max,mean_margin,median_margin,failure_probability
e0,T_marg,1,0.26085780978615308,-0.64856934597788563,-0.44946735641689289,3.7855550066761587,4,0.015874696947942409
e0,T_marg,2,0.09880980653333829,-0.40840235125384827,-0.28424798636204873,3.0668854321779939,4,0.049932051287017956
e0,T_marg,3,0.24644642470204706,-0.25036536685590016,-0.092808057159284904,3.4766796871662966,4,0.058123947397435011
e0,T_marg,4,0.19255846676941973,-0.085145996801055987,0.17479189128302935,2.6022677095812421,3,0.13351982709534457
e0,T_marg,5,0.20132749220904181,0.21585689644607398,1.0966912524904293,2.1776442979634774,2,0.16026713927135913
e0,S_u2,1,0.27335640138408307,0,0,4.1427466477019879,4,0.016411600233633306
e0,S_u2,2,0.10380622837370242,0.006920415224913495,0.01384083044982699,2.5837237040201821,3,0.09066009521484375
e0,S_u2,3,0.2491349480968858,0.02768166089965398,0.06228373702422145,2.7041244506835938,3,0.13040086958143446
e0,S_u2,4,0.16608996539792387,0.069204152249134954,0.089965397923875437,2.6053611437479653,3,0.084361394246419266
e0,S_u2,5,0.20761245674740483,0.11072664359861592,0.22145328719723184,2.7926281611124675,3,0.10105133056640625
e0,S_v2,1,0.26581676443555363,-0.22145328719723184,-0.13840830449826991,2.8972725235890282,4,0.088375531130525431
e0,S_v2,3,0.28781560878027684,-0.11072664359861592,-0.11072664359861592,3.5479902131640739,4,0.03002522380393308
e0,S_v2,4,0.28931001973399656,-0.05536332179930796,-0.02768166089965398,2.2256894967135712,2,0.14770068604749628
e0,S_v2,5,0.15705760705017302,-0,-0,4.1489790752275217,5,0.041456726424837026
e0,S_2sum,1,0.1640996437996729,-0.44290657439446368,-0.22837370242214533,2.8064156524797128,3,0.082887029941620602
e0,S_2sum,2,0.23779917258292332,-0.22145328719723184,-0.16608996539792387,3.1040651827135788,4,0.076323518751053948
e0,S_2sum,3,0.1649256247550146,-0.15224913494809689,-0.11764705882352941,2.3890793073736374,2,0.11677141239542968
e0,S_2sum,4,0.23655032781581153,-0.11072664359861592,-0.083044982698961933,3.447312817247199,4,0.050210585793329619
e0,S_2sum,5,0.19662523104657764,-0.069204152249134954,-0,3.4517149683020936,5,0.094029021528368339
e0,S_2max,1,0.17795486186202422,-0.22145328719723184,-0.17301038062283736,3.3741223718627316,4,0.035441579279668463
e0,S_2max,2,0.21285276841952314,-0.13840830449826991,-0.11764705882352941,2.4084094253848094,3,0.13534752472521408
e0,S_2max,3,0.25771804334383108,-0.11072664359861592,-0.11072664359861592,3.5861391412483314,4,0.036204853154632462
e0,S_2max,4,0.11877198532790874,-0.089965397923875437,-0.06228373702422145,2.4244037643418848,2,0.096815779296119633
e0,S_2max,5,0.23270234104671281,-0.05536332179930796,-0,3.2728998765701007,4,0.10928152000290424
e0,S_u1,1,0.27335640138408307,0,0,4.1427466477019879,4,0.016411600233633306
e0,S_u1,2,0.16608996539792387,0.058823529411764705,0.11764705882352941,2.7069005966186523,3,0.13233931859334311
e0,S_u1,3,0.1453287197231834,0.17647058823529413,0.17647058823529413,2.5317909604027156,3,0.082686651320684521
e0,S_u1,4,0.15570934256055363,0.23529411764705882,0.23529411764705882,2.8492240058051217,4,0.12681935628255209
e0,S_u1,5,0.25951557093425603,0.29411764705882354,0.47058823529411764,2.6712288920084637,3,0.089187927246093757
e0,S_v1,1,0.26581676443555363,-0.47058823529411764,-0.35294117647058826,2.8972725235890282,4,0.088375531130525431
e0,S_v1,3,0.41262722345371972,-0.23529411764705882,-0.23529411764705882,3.2000396347081042,4,0.056518198057099574
e0,S_v1,4,0.16449840506055363,-0.11764705882352941,-0.11764705882352941,2.0952043019864011,2,0.17053095021671699
e0,S_v1,5,0.15705760705017302,-0,-0,4.1489790752275217,5,0.041456726424837026
e0,S_1sum,1,0.12201706513401546,0,0.17647058823529413,4.0141515016390148,5,0.057490908123201664
