feature_id,feature_value,Nz,Ez
decompressed_norms,"0.0",8388608,0
decompressed_norms,"0.130",18874368,0
decompressed_norms,"0.147",524288,0
decompressed_norms,"0.162",28311552,0
decompressed_norms,"0.179",4718592,0
decompressed_norms,"0.196",32768,0
decompressed_norms,"0.211",14155776,0
decompressed_norms,"0.228",393216,0
decompressed_norms,"0.243",14155776,0
decompressed_norms,"0.260",1769472,0
decompressed_norms,"0.292",3538944,0
decompressed_norms,"0.324",2654208,0
decompressed_norms,"0.49",8388608,0
decompressed_norms,"0.81",25165824,0
decompressed_norms,"0.98",3145728,0
decompressed_norms,"1.0",33556480,0
decompressed_norms,"1.102",1152,0
decompressed_norms,"1.130",75516672,0
decompressed_norms,"1.134",6912,0
decompressed_norms,"1.147",2098528,0
decompressed_norms,"1.151",96,0
decompressed_norms,"1.162",113251968,0
decompressed_norms,"1.166",10368,0
decompressed_norms,"1.179",18882912,0
decompressed_norms,"1.183",864,0
decompressed_norms,"1.196",131184,0
decompressed_norms,"1.211",56637216,0
decompressed_norms,"1.215",2592,0
decompressed_norms,"1.228",1573888,0
decompressed_norms,"1.243",56625696,0
decompressed_norms,"1.247",2592,0
decompressed_norms,"1.260",7081056,0
decompressed_norms,"1.292",14159232,0
decompressed_norms,"1.324",10617264,0
decompressed_norms,"1.4",6144,0
decompressed_norms,"1.49",33563136,0
decompressed_norms,"1.53",4608,0
decompressed_norms,"1.81",100668928,0
decompressed_norms,"1.85",13824,0
decompressed_norms,"1.98",12588672,0
decompressed_norms,"10.0",28800,0
decompressed_norms,"10.102",459158,12740
decompressed_norms,"10.103",40784,1870
decompressed_norms,"10.106",270068,8660
decompressed_norms,"10.110",92676,5964
decompressed_norms,"10.114",58356,4008
decompressed_norms,"10.12",81930,1466
decompressed_norms,"10.123",197390,12398
decompressed_norms,"10.124",3816,624
decompressed_norms,"10.127",163386,7790
decompressed_norms,"10.130",293000,748
decompressed_norms,"10.131",54024,96
decompressed_norms,"10.134",398348,6262
decompressed_norms,"10.135",46776,1806
decompressed_norms,"10.138",212448,5010
decompressed_norms,"10.147",215224,7454
decompressed_norms,"10.148",40680,2438
decompressed_norms,"10.151",238244,7494
decompressed_norms,"10.155",127756,8084
decompressed_norms,"10.156",11448,216
decompressed_norms,"10.159",163732,12064
decompressed_norms,"10.16",22072,504
decompressed_norms,"10.162",76680,0
decompressed_norms,"10.166",148192,276
decompressed_norms,"10.170",43544,672
decompressed_norms,"10.172",87880,4692
decompressed_norms,"10.179",301584,5038
decompressed_norms,"10.180",69336,2658
decompressed_norms,"10.183",294652,8432
decompressed_norms,"10.187",7232,1040
decompressed_norms,"10.191",32408,1940
decompressed_norms,"10.196",83604,3238
decompressed_norms,"10.204",118032,9024
decompressed_norms,"10.211",204844,396
decompressed_norms,"10.212",19296,0
decompressed_norms,"10.215",139460,2202
decompressed_norms,"10.228",138444,4742
decompressed_norms,"10.236",43560,2528
decompressed_norms,"10.243",32876,0
decompressed_norms,"10.247",34652,60
decompressed_norms,"10.25",7872,1104
decompressed_norms,"10.260",105792,1644
decompressed_norms,"10.268",1152,192
decompressed_norms,"10.29",73036,4928
decompressed_norms,"10.292",47384,64
decompressed_norms,"10.324",5112,0
decompressed_norms,"10.33",90570,5326
decompressed_norms,"10.37",22090,754
decompressed_norms,"10.4",99360,192
decompressed_norms,"10.49",138960,456
decompressed_norms,"10.50",42488,0
decompressed_norms,"10.53",293952,4724
decompressed_norms,"10.54",67104,1060
decompressed_norms,"10.57",331772,7268
decompressed_norms,"10.58",10216,36
decompressed_norms,"10.61",123288,2920
decompressed_norms,"10.74",103524,6796
decompressed_norms,"10.75",15240,0
decompressed_norms,"10.78",263376,16268
decompressed_norms,"10.79",24,0
decompressed_norms,"10.8",93998,1198
decompressed_norms,"10.81",77520,0
decompressed_norms,"10.82",103604,4284
decompressed_norms,"10.85",210360,404
decompressed_norms,"10.89",125152,1760
decompressed_norms,"10.93",52532,1044
decompressed_norms,"10.98",220450,4108
decompressed_norms,"10.99",107536,1684
decompressed_norms,"100.0",464691,1360
decompressed_norms,"100.100",1341911,7391
decompressed_norms,"100.102",10694218,507130
decompressed_norms,"100.103",9011819,691907
decompressed_norms,"100.106",9613102,550456
decompressed_norms,"100.110",5134895,276056
decompressed_norms,"100.114",3121174,143818
decompressed_norms,"100.12",1600475,56009
decompressed_norms,"100.123",10621348,669822
decompressed_norms,"100.124",3698870,254097
decompressed_norms,"100.127",13292776,1026880
decompressed_norms,"100.130",3912184,81823
decompressed_norms,"100.131",2319302,57819
decompressed_norms,"100.134",7422709,272537
decompressed_norms,"100.135",3090050,186156
decompressed_norms,"100.138",4719564,186906
decompressed_norms,"100.147",5429420,292323
decompressed_norms,"100.148",7022054,588105
decompressed_norms,"100.151",7146627,456849
decompressed_norms,"100.155",7788931,444520
decompressed_norms,"100.156",1056927,140254
decompressed_norms,"100.159",9444173,522840
decompressed_norms,"100.16",551263,20198
decompressed_norms,"100.162",1340658,4690
decompressed_norms,"100.166",1508767,34331
decompressed_norms,"100.170",810135,21394
decompressed_norms,"100.172",6767639,567387
decompressed_norms,"100.179",5919452,256297
decompressed_norms,"100.180",4670047,349406
decompressed_norms,"100.183",7110183,330512
decompressed_norms,"100.187",1689010,136730
decompressed_norms,"100.191",1761246,97809
decompressed_norms,"100.196",2676609,191631
decompressed_norms,"100.204",7145379,464265
decompressed_norms,"100.211",2670792,68248
decompressed_norms,"100.212",764050,16184
decompressed_norms,"100.215",2527028,96358
decompressed_norms,"100.228",3617894,193619
decompressed_norms,"100.236",2667310,160780
decompressed_norms,"100.243",627057,2326
decompressed_norms,"100.247",343731,10350
decompressed_norms,"100.25",1155948,55078
decompressed_norms,"100.260",2009576,91336
decompressed_norms,"100.268",399938,42258
decompressed_norms,"100.29",3767744,186212
decompressed_norms,"100.292",612322,19946
decompressed_norms,"100.324",110818,408
decompressed_norms,"100.33",4665773,214681
decompressed_norms,"100.37",1903332,127696
decompressed_norms,"100.4",1090583,15167
decompressed_norms,"100.49",1920841,34488
decompressed_norms,"100.50",1737788,50231
decompressed_norms,"100.53",5481690,194502
decompressed_norms,"100.54",4605774,286162
decompressed_norms,"100.57",7114920,289989
decompressed_norms,"100.58",2922878,206564
decompressed_norms,"100.61",3247675,151883
decompressed_norms,"100.74",5718473,302083
decompressed_norms,"100.75",1517284,174133
decompressed_norms,"100.78",14081035,763302
decompressed_norms,"100.79",2140723,159233
decompressed_norms,"100.8",1747412,44980
decompressed_norms,"100.81",1284048,4112
decompressed_norms,"100.82",8714429,625258
decompressed_norms,"100.85",2218169,38933
decompressed_norms,"100.89",2371506,61573
decompressed_norms,"100.93",1059514,36474
decompressed_norms,"100.98",4381201,181662
decompressed_norms,"100.99",6906848,517187
decompressed_norms,"101.0",557802,4352
decompressed_norms,"101.100",205789,2167
decompressed_norms,"101.102",11881029,514532
decompressed_norms,"101.103",10007839,459738
decompressed_norms,"101.106",8989718,566384
decompressed_norms,"101.110",4399157,218366
decompressed_norms,"101.114",3422523,178082
decompressed_norms,"101.12",1776483,73681
decompressed_norms,"101.123",11145805,624852
decompressed_norms,"101.124",3057391,99968
decompressed_norms,"101.127",14633334,876391
decompressed_norms,"101.130",4401965,112935
decompressed_norms,"101.131",1711667,85082
decompressed_norms,"101.134",8018577,307621
decompressed_norms,"101.135",3682091,185829
decompressed_norms,"101.138",5366586,233048
decompressed_norms,"101.147",5962349,271500
decompressed_norms,"101.148",7500280,394779
decompressed_norms,"101.151",7495016,497964
decompressed_norms,"101.155",6339151,349838
decompressed_norms,"101.156",2103756,71594
decompressed_norms,"101.159",10232377,557035
decompressed_norms,"101.16",542190,23877
decompressed_norms,"101.162",1578896,17227
decompressed_norms,"101.166",1751311,43003
decompressed_norms,"101.170",831102,31210
decompressed_norms,"101.172",7289521,493541
decompressed_norms,"101.179",6285797,249530
decompressed_norms,"101.180",5737306,297363
decompressed_norms,"101.183",8049935,351749
decompressed_norms,"101.187",1001516,77329
decompressed_norms,"101.191",1438555,67067
decompressed_norms,"101.196",2808540,200122
decompressed_norms,"101.204",7638418,440639
decompressed_norms,"101.211",2935734,82174
decompressed_norms,"101.212",550582,28714
decompressed_norms,"101.215",2608382,104361
decompressed_norms,"101.228",4046394,182418
decompressed_norms,"101.236",2074012,110575
decompressed_norms,"101.243",732285,9571
decompressed_norms,"101.247",390324,10229
decompressed_norms,"101.25",755321,52446
decompressed_norms,"101.260",2056782,85790
decompressed_norms,"101.268",221171,17561
decompressed_norms,"101.29",3319972,165479
decompressed_norms,"101.292",654428,20136
decompressed_norms,"101.324",128684,1926
decompressed_norms,"101.33",5013154,234844
decompressed_norms,"101.37",2147234,90012
decompressed_norms,"101.4",1314948,28354
decompressed_norms,"101.49",2201276,53038
decompressed_norms,"101.50",1326672,58641
decompressed_norms,"101.53",6078647,222977
decompressed_norms,"101.54",5388584,234259
decompressed_norms,"101.57",7937032,332916
decompressed_norms,"101.58",3368303,137485
decompressed_norms,"101.61",3300387,177470
decompressed_norms,"101.74",4784374,265535
decompressed_norms,"101.75",2872833,62563
decompressed_norms,"101.78",14960271,766130
decompressed_norms,"101.79",1994144,46314
decompressed_norms,"101.8",1964343,69410
decompressed_norms,"101.81",1526543,13836
decompressed_norms,"101.82",9752791,502162
decompressed_norms,"101.85",2628371,59943
decompressed_norms,"101.89",2576823,94630
decompressed_norms,"101.93",1198632,53294
decompressed_norms,"101.98",4749273,181001
decompressed_norms,"101.99",8329874,379299
decompressed_norms,"102.0",996693,13609
decompressed_norms,"102.100",5270018,8358
decompressed_norms,"102.102",20955324,1040818
decompressed_norms,"102.103",22441256,837926
decompressed_norms,"102.106",16135186,1044181
decompressed_norms,"102.110",7845214,546375
decompressed_norms,"102.114",6170489,302622
decompressed_norms,"102.12",3078723,134438
decompressed_norms,"102.123",20962420,1209119
decompressed_norms,"102.124",12066724,211390
decompressed_norms,"102.127",28864246,1587394
decompressed_norms,"102.130",8318708,273065
decompressed_norms,"102.131",4090022,212703
decompressed_norms,"102.134",14863180,746333
decompressed_norms,"102.135",7324803,263098
decompressed_norms,"102.138",9361937,420883
decompressed_norms,"102.147",10616940,571327
decompressed_norms,"102.148",18006692,743625
decompressed_norms,"102.151",13732158,881517
decompressed_norms,"102.155",11680420,866578
decompressed_norms,"102.156",4142404,86720
decompressed_norms,"102.159",18695748,1002361
decompressed_norms,"102.16",992466,51379
decompressed_norms,"102.162",2761956,46859
decompressed_norms,"102.166",3394027,122024
decompressed_norms,"102.170",1569891,72324
decompressed_norms,"102.172",14760948,875141
decompressed_norms,"102.179",11661968,614862
decompressed_norms,"102.180",11540299,469816
decompressed_norms,"102.183",14168222,684142
decompressed_norms,"102.187",1628966,137308
decompressed_norms,"102.191",2555675,172994
decompressed_norms,"102.196",5193022,349392
decompressed_norms,"102.204",14159690,822410
decompressed_norms,"102.211",5590932,188218
decompressed_norms,"102.212",1332304,72395
decompressed_norms,"102.215",4936213,240677
decompressed_norms,"102.228",7181690,376356
decompressed_norms,"102.236",3813843,278254
decompressed_norms,"102.243",1247457,24857
decompressed_norms,"102.247",756925,29602
decompressed_norms,"102.25",1268633,107397
decompressed_norms,"102.260",3883425,198583
decompressed_norms,"102.268",355340,29649
decompressed_norms,"102.29",5964852,399316
decompressed_norms,"102.292",1252342,44626
decompressed_norms,"102.324",210336,4965
decompressed_norms,"102.33",9161647,437221
decompressed_norms,"102.37",4131041,185163
decompressed_norms,"102.4",2514499,81629
decompressed_norms,"102.49",4120162,133839
decompressed_norms,"102.50",3140272,146789
decompressed_norms,"102.53",11096896,555231
decompressed_norms,"102.54",10760403,374031
decompressed_norms,"102.57",13863119,640505
decompressed_norms,"102.58",7225064,241121
decompressed_norms,"102.61",6017943,344909
decompressed_norms,"102.74",8872218,636093
decompressed_norms,"102.75",5578298,114216
decompressed_norms,"102.78",27707550,1453918
decompressed_norms,"102.79",6575670,95850
decompressed_norms,"102.8",3549968,168971
decompressed_norms,"102.81",2710998,40381
decompressed_norms,"102.82",18929989,953714
decompressed_norms,"102.85",5066915,171831
decompressed_norms,"102.89",4745185,225791
decompressed_norms,"102.93",2075797,89010
decompressed_norms,"102.98",8698310,457805
decompressed_norms,"102.99",16836337,690700
decompressed_norms,"103.0",198696,192
decompressed_norms,"103.100",83112,816
decompressed_norms,"103.102",4482092,110322
decompressed_norms,"103.103",2276631,86846
decompressed_norms,"103.106",3606133,105586
decompressed_norms,"103.110",1787614,55704
decompressed_norms,"103.114",1022164,30120
decompressed_norms,"103.12",678124,19428
decompressed_norms,"103.123",3540082,91084
decompressed_norms,"103.124",767300,17444
decompressed_norms,"103.127",3618502,122436
decompressed_norms,"103.130",2021394,16996
decompressed_norms,"103.131",647760,23912
decompressed_norms,"103.134",3532590,76018
decompressed_norms,"103.135",1087017,38390
decompressed_norms,"103.138",2108783,48590
decompressed_norms,"103.147",2256274,52632
decompressed_norms,"103.148",1807647,51916
decompressed_norms,"103.151",2233784,69716
decompressed_norms,"103.155",2837842,73790
