rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,50.75,609,268435456,1546188226560,88138849169,18.749701582093667,4.132794088020369
2,16.16,19819,8589934592,150701812482048,8605043604337,18.725403449623276,4.13037045517274
3,50.156,32017,8589934592,224918847356928,13901189821891,18.033449487108797,4.0161242830294315
4,16.61,68535,17179869184,476732779921408,29756630678805,17.935446677183034,4.001897742331668
5,4.236,73619,17179869184,506505493217280,31964009541737,17.832209467371325,3.9860576202798095
6,4.191,77387,17179869184,528547265380352,33600005520401,17.760196387553,3.975499115345089
7,208.100,81499,17179869184,552049326424064,35385359942977,17.68550526299508,3.96357267999317
8,324.25,85117,17179869184,572459011014656,36956228693191,17.622840317372194,3.953282952294863
9,131.156,99029,17179869184,649562263912448,42996562041167,17.404436549505057,3.917174608908789
10,4.155,113637,17179869184,730067130908672,49339085729151,17.205926875356152,3.887226240998656
11,4.110,124173,17179869184,787173016076288,53913622255479,17.078008015456597,3.867959019367451
12,4.74,135825,17179869184,848092832202752,58972705361475,16.948610478553952,3.846102906618221
13,324.106,17985,2147483648,111265422770176,7808754691155,16.86549346097726,3.8327690236756022
14,243.100,9129,1073741824,56328496087040,3963643123467,16.84375888076425,3.8289659767924653
15,48.100,28317,2147483648,163526584827904,12294718186791,16.21061919098941,3.7334146247553552
16,4.29,29333,2147483648,168629005975552,12735846614159,16.15976299177675,3.726885945532641
17,68.100,652763,34359738368,3601656495210496,283417633498049,15.683800240970266,3.667659165203651
18,131.75,700621,34359738368,3836539666694144,304196692825783,15.581725294286176,3.656729297741386
19,194.100,1152901,34359738368,6040785602478080,500568312048223,14.86316279708004,3.5930973131044244
20,324.187,1164133,34359738368,6095520665698304,505445038914559,14.849175537825552,3.592123327894049
21,324.74,1178713,34359738368,6166336086474752,511775405519899,14.83121894550551,3.5908308011097625
22,83.124,1193017,34359738368,6235605319024640,517985938024891,14.81381682968715,3.5895447778011276
23,244.75,1201969,34359738368,6278589351723008,521872731018787,14.803031742715742,3.5886705314903593
24,32.100,1203265,34359738368,6284774104629248,522435430272595,14.801477022506448,3.5885362450842813
25,83.79,1212449,34359738368,6328067374972928,526422953379827,14.79050736708289,3.5874706595447976
26,51.75,1421345,34359738368,7312542598692864,617121736808435,14.561174651339481,3.5667461074502427
27,225.100,1446289,34359738368,7429743666266112,627951960718147,14.536075567731668,3.564586337090182
28,83.75,1479217,34359738368,7584362488922112,642248689907491,14.503597720456854,3.5618239710556034
29,83.156,1507025,34359738368,7713005349371904,654322409699075,14.476728080709657,3.5592195243733693
30,324.155,1530641,34359738368,7821238525231104,664576040546243,14.454295481118907,3.5568908956110854
31,324.123,1537265,34359738368,7851234576826368,667452058954595,14.448065546563535,3.5561834089096016
32,4.204,1557865,34359738368,1588656863182848,135279239665679,14.428861211569638,3.553795186713576
33,4.123,1593737,34359738368,8101510911098880,691971157921451,14.396017856617757,3.5494071808352596
34,324.172,1594601,34359738368,8105221762842624,692346290757323,14.395235951721952,3.549285943034969
35,324.204,1600073,34359738368,8128723823886336,694722132051179,14.390293704103488,3.5485209091967316
36,324.236,1609577,34359738368,8169543193067520,698848593245771,14.381749835617944,3.547203578914378
37,324.268,1612169,34359738368,430561881489408,36840736408073,14.379428444451289,3.546846795654694
38,234.100,1621609,34359738368,8220533044805632,704072665330507,14.371005429716359,3.5454357076544234
39,51.156,1755863,34359738368,8772625320902656,762363271519349,14.256251146697272,3.5244581312064738
40,258.100,1758311,34359738368,8782520925552640,763426147887653,14.254241161971777,3.5240746030273127
41,4.159,1786855,34359738368,1779387770863616,155163885056033,14.231008863598282,3.519516233059155
42,17.16,1795977,34359738368,8933428896464896,779780029132971,14.223662556208353,3.5180749161974862
43,244.191,1825629,34359738368,9051248439328768,792654379652967,14.200037816636042,3.5133529457705275
44,112.100,2057085,34359738368,9966694948667392,893148298240455,14.027830022547112,3.480143527193671
45,16.151,2090311,34359738368,10096179622707200,907574413523653,14.004713825796216,3.4756497357439198
46,292.156,2095375,34359738368,10115867752792064,909773108756125,14.001222970891389,3.4749694794977666
47,307.50,2097249,34359738368,10123134837456896,910586764930227,13.999933272274639,3.4747158188390626
48,307.156,2099565,34359738368,10132051189563392,911592329337495,13.998340977713156,3.4743936758111755
49,4.172,2114869,34359738368,236996295393280,21354349845709,13.987863128514324,3.4722626283329276
50,4.78,2161733,34359738368,10370198536192000,938584526259359,13.956243086772238,3.4658130284828514
51,244.236,2207219,34359738368,10543680855212032,958333707014537,13.926201649930448,3.4597066844457265
52,50.100,2217923,34359738368,10584500224393216,962981186036729,13.91922215058939,3.458301727895501
53,307.135,1117111,17179869184,5323315610648576,485028955340053,13.908658886579499,3.4561823225868595
54,194.79,1427159,17179869184,6502309903204352,619646068183157,13.555285356035295,3.391436005425123
55,217.100,1431645,17179869184,2173094537986048,207197935498445,13.55075763376718,3.3906694053525444
56,244.124,1443819,17179869184,168341243166720,16073834162983,13.538541536213529,3.388602668880188
57,307.54,728409,8589934592,1102376370962432,105420576328969,13.525610777637299,3.386388480386227
58,307.180,2933983,34359738368,13304511602884608,1273881207396109,13.51557091886246,3.384612897180968
59,39.156,2943027,34359738368,13338287225700352,1277807945090121,13.511130652723912,3.3838305012201393
60,307.99,2975049,34359738368,13457343719145472,1291711305819627,13.495518000414963,3.3810380988483533
61,324.29,2983725,34359738368,2697900886851584,259095652942635,13.491316857354404,3.3802806332056545
62,307.148,1517723,17179869184,6839301627183104,658967283632129,13.466522922525922,3.3755702712797397
63,244.110,1558841,17179869184,6989178805944320,676819959494843,13.42795764838085,3.3682789365699954
64,260.124,1630365,17179869184,7249694342250496,707874358745895,13.36323644490614,3.3563549473627368
65,17.61,3321141,34359738368,14718895873064960,1441978057477743,13.336752456500493,3.351548336341506
66,194.124,4457473,34359738368,18829231114944512,1935352415871379,12.912205371554457,3.282305887836532
67,4.114,4467817,34359738368,18866545790812160,1939843589545291,12.908861335857138,3.2818180721102084
68,307.103,2276561,17179869184,9586281105326080,988440722182403,12.881575314073622,3.2777448920079295
69,16.12,2279419,17179869184,9596451587883008,989681612975137,12.879765287265904,3.277464668733197
70,129.100,2564585,17179869184,2121284347494400,222699084232591,12.70970604222421,3.2517704891406125
71,16.93,320835,2147483648,1326727208894464,139300628931705,12.708527991089216,3.2515980889857805
72,307.58,1292151,8589934592,762513461346304,80146869875139,12.69865675830502,3.250044724662003
73,324.110,1295769,8589934592,5350118354059264,562598957876187,12.6946228824058,3.249392021419111
74,324.78,1297695,8589934592,5356766963433472,563435191489485,12.692480087163943,3.2490409549053423
75,290.100,1297715,8589934592,11620034019328,1222220987245,12.69245785260307,3.24903722789073
76,244.155,664465,4294967296,2731864414486528,288498425680195,12.658166316515125,3.243250531523447
77,244.79,1333349,8589934592,5478855703789568,578915499510527,12.653376979829842,3.242449920009641
78,290.135,2721785,17179869184,1013234324733952,107431705143505,12.623878321102236,3.2374761282348246
79,307.131,42541,268435456,174194344067072,18470516169943,12.623433673703817,3.237401692695819
80,324.49,2723623,17179869184,11151839634391040,1182546782217829,12.622904409290355,3.2373125565986838
81,290.54,43809,268435456,178503068680192,19021058341107,12.58106033689004,3.2302794503012904
82,244.187,1419771,8589934592,5772322229190656,616438335091233,12.562773179683049,3.227123349723354
83,244.29,2868513,17179869184,11641178143326208,1245455343085299,12.548128374427959,3.224491874827057
84,4.33,2876553,17179869184,11667772580823040,1248946162530219,12.544090378797927,3.2237459776011703
85,244.268,360747,2147483648,1462356370522112,156629681877681,12.539372128360558,3.222865393816462
86,324.130,1444053,8589934592,5852917290500096,626981130832719,12.538307737319183,3.2226619611193477
87,244.25,2906967,17179869184,11767579030847488,1262151359370741,12.528916736637719,3.220860705884836
88,292.75,2910987,17179869184,11780721630773248,1263896769093201,12.5269230340449,3.2204773756053684
89,324.127,2911707,17179869184,11783040913113088,1264209379789761,12.526566243722504,3.2204045821306484
90,324.159,2914875,17179869184,11793245755408384,1265584866854625,12.524997413715507,3.2200846745259697
91,324.191,2917899,17179869184,11802986741235712,1266897831780177,12.523501483924798,3.2197798902070462
92,4.127,2931667,17179869184,11846881307000832,1272875642988841,12.516710189663934,3.2183439361906174
93,247.124,3071207,17179869184,12290955155603456,1333461332708261,12.449625677134716,3.2043491390977574
94,307.75,1536541,8589934592,6148453990137856,667137711531943,12.448745167352172,3.2041671943555583
95,39.75,385043,2147483648,1539946028466176,167178556160489,12.445339956579872,3.2034180774599474
96,324.211,3081811,17179869184,12324129482997760,1338065393578153,12.44465304310075,3.2032652153645325
97,13.50,3090179,17179869184,12350105445203968,1341698624562617,12.440741021370522,3.2023908080374164
98,324.98,3092081,17179869184,12356006730268672,1342524437819363,12.439853318150552,3.202192307132984
99,260.79,3134851,17179869184,12488704039845888,1361094381558073,12.420034557559067,3.197784760033944
100,16.196,1571597,8589934592,6257279871483904,682358379002231,12.416200111704775,3.1969340772829775
101,244.74,1593473,8589934592,6324487519731712,691856533999379,12.396256856552913,3.192403770096192
102,307.79,3189907,17179869184,12658071780196352,1384998679488361,12.39491706706017,3.1921011481088004
103,244.156,3192883,17179869184,12667194290733056,1386290803700809,12.393571742914206,3.191795181357474
104,259.243,3201055,17179869184,12692242540003328,1389838935106765,12.389883965430704,3.190957388043433
105,292.79,3206995,17179869184,12710436021469184,1392417973353385,12.387209326188698,3.19034927496808
106,244.212,3207817,17179869184,12712909922631680,1392774870565291,12.386839589607142,3.190260310630893
107,244.58,3231709,17179869184,12784730365755392,1403148335512807,12.376134134553295,3.1876822956058537
108,324.179,3234727,17179869184,12793749797076992,1404458695349221,12.37478747189413,3.1873530733337465
109,244.37,3255139,17179869184,12854592303792128,1413321208596697,12.365712280424995,3.1851225618845804
110,324.147,1627991,8589934592,6428545987379200,706843611810293,12.365338706680546,3.1850295036348912
111,292.103,3343663,17179869184,13115898114080768,1451756693738749,12.327001981800345,3.1754450087275874
112,16.37,3349609,17179869184,13133421580648448,1454338337074507,12.324438731130208,3.1748079810884433
113,230.100,839847,4294967296,3290553760350208,364646049546981,12.32023299820287,3.1737617228858936
114,247.79,1720845,8589934592,6701937835638784,747159102946935,12.285314273914727,3.1650909108720677
115,292.58,3477123,17179869184,13507599131475968,1509702559798329,12.270537328709105,3.1614350256410653
