feature_id,feature_value,Nz,Ez
entropy_1024,"0.0",12518542,562
entropy_1024,"0.1024",37922621,52188
entropy_1024,"0.1536",48019458,354389
entropy_1024,"0.2048",3267235,127764
entropy_1024,"0.831",59720080,83465
entropy_1024,"1024.0",39514877,59626
entropy_1024,"1024.1024",131665922,1146246
entropy_1024,"1024.1536",308657002,12966986
entropy_1024,"1024.2048",130094155,10403351
entropy_1024,"1024.831",206015820,1709455
entropy_1024,"1536.0",114740946,1551578
entropy_1024,"1536.1024",705694146,26082405
entropy_1024,"1536.1536",5340467096,299640023
entropy_1024,"1536.2048",3867233196,243135237
entropy_1024,"1536.831",1071451176,36355371
entropy_1024,"2048.0",81188851,2830818
entropy_1024,"2048.1024",999427099,45996639
entropy_1024,"2048.1536",10415105156,531079446
entropy_1024,"2048.2048",8015032402,421904485
entropy_1024,"2048.831",1439000348,66109146
entropy_1024,"831.0",65402544,60940
entropy_1024,"831.1024",217212132,1648068
entropy_1024,"831.1536",504152696,17729493
entropy_1024,"831.2048",204531732,13259457
entropy_1024,"831.831",341703136,2438954
