rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1024.2048,130094155,34359738368,89364104627617792,56484478351298065,8.04501909623159,0.6618409757996047
2,831.2048,334625887,34359738368,203261972983054336,145288377252885901,6.68202618284736,0.48442104040281564
3,1536.2048,4201859083,34359738368,2291777755823472640,1824369576088323409,3.031619366598225,0.3290691295844782
4,1536.1536,9542326179,34359738368,4865665954538848256,4143101713360990617,1.8483061441619735,0.23192603848505955
5,2048.2048,17557358581,34359738368,8489797884760293376,7623080688555698863,0.9686432363631922,0.1553560613921473
6,2048.1536,27972463737,34359738368,13051735589055889408,12145126907392931451,0.29671172313938726,0.10386410061539789
7,2048.1024,7242972709,8589934592,480244418197061632,449252131691579401,0.24606520667336257,0.09624349646990712
8,2048.831,1900680699,2147483648,875919809349419008,825240440628524577,0.17613095629997197,0.08598427508572785
9,1024.1536,15359774093,17179869184,7063051255593041920,6668930108634683639,0.1615620536418725,0.08283623646992376
10,0.2048,30722815421,34359738368,14127199995589296128,13339278790337666183,0.16140862127177322,0.08279488553217283
11,1536.1024,31428509567,34359738368,14351246148541349888,13645678149420130541,0.1286451942389156,0.07273192052473952
12,831.1536,31932662263,34359738368,14503541333760671744,13864571934793966549,0.10568621404938092,0.06500213229176008
13,2048.0,16006925557,17179869184,7263928937611264000,6949911316885883311,0.1020228144529065,0.06375552023831838
14,1536.831,16542651145,17179869184,7420074067090210816,7182513468593793835,0.05452859006067131,0.04694479479158737
15,1536.0,8300010809,8589934592,3713369021928701952,3603711333968082107,0.049533930749291764,0.043245240019609346
16,1024.1024,16665854579,17179869184,7431661132940574720,7236006123206743817,0.04382375436378192,0.038491090778281264
17,1024.831,16768862489,17179869184,7439003186259558400,7280730254451590747,0.03493422371121,0.031026156168839945
18,831.1024,16877468555,17179869184,7446081584421142528,7327885001594509265,0.025620520127656515,0.023084560417017484
19,0.1536,4225369571,4294967296,1861900918396551168,1834577395574636633,0.02356961410267579,0.02132853245073474
20,831.831,4268082463,4294967296,1864519725313163264,1853122544074931149,0.009059095481237333,0.00884577222528144
21,1024.0,34184174581,34359738368,14916669985945288704,14842136982076466863,0.007390461030175923,0.0072266754522572856
22,0.831,34243894661,34359738368,14917386944836009984,14868066337364548703,0.004872258015337423,0.00477781285858669
23,0.1024,17140908641,17179869184,7458917618171248640,7442265819353240243,0.0032754622641322914,0.00322437176580528
24,831.0,17173609913,17179869184,7459179353478266880,7456464107434237499,0.0005257237152434873,0.0005252568628436323
25,0.0,1,1,1,1,-0.0,0.0
