feature_id,feature_value,Nz,Ez
extreme_symbols,"0.0.0.0",6016234452,338473533
extreme_symbols,"0.0.0.1",3360169880,193025405
extreme_symbols,"0.0.0.2",709299880,42101445
extreme_symbols,"0.0.0.3",66387080,4164769
extreme_symbols,"0.0.0.4",2330524,157196
extreme_symbols,"0.0.1.0",5394752120,297785096
extreme_symbols,"0.0.1.1",2258447048,125431260
extreme_symbols,"0.0.1.2",322746328,17296884
extreme_symbols,"0.0.1.3",15406568,815045
extreme_symbols,"0.0.2.0",1936165992,97255439
extreme_symbols,"0.0.2.1",522873536,26999049
extreme_symbols,"0.0.2.2",37952648,1781342
extreme_symbols,"0.0.3.0",382366640,12987499
extreme_symbols,"0.0.3.1",48608016,1746079
extreme_symbols,"0.0.4.0",37534808,640999
extreme_symbols,"0.1.0.0",1319417116,69137026
extreme_symbols,"0.1.0.1",748793784,39112615
extreme_symbols,"0.1.0.2",159388360,8226129
extreme_symbols,"0.1.0.3",15157560,800696
extreme_symbols,"0.1.0.4",548180,30156
extreme_symbols,"0.1.1.0",1242850488,63118165
extreme_symbols,"0.1.1.1",534643656,26333999
extreme_symbols,"0.1.1.2",79442152,3569125
extreme_symbols,"0.1.1.3",3841464,155890
extreme_symbols,"0.1.2.0",462784376,22027201
extreme_symbols,"0.1.2.1",125116336,6052882
extreme_symbols,"0.1.2.2",9031816,444548
extreme_symbols,"0.1.3.0",103958624,3427794
extreme_symbols,"0.1.3.1",12544576,478842
extreme_symbols,"0.1.4.0",13156456,187158
extreme_symbols,"0.2.0.0",102883560,5178370
extreme_symbols,"0.2.0.1",58653116,2861685
extreme_symbols,"0.2.0.2",12946788,559261
extreme_symbols,"0.2.0.3",1291696,35445
extreme_symbols,"0.2.0.4",44200,994
extreme_symbols,"0.2.1.0",116096324,4930122
extreme_symbols,"0.2.1.1",45341028,1789803
extreme_symbols,"0.2.1.2",6527976,223429
extreme_symbols,"0.2.1.3",302352,6213
extreme_symbols,"0.2.2.0",62284488,2049979
extreme_symbols,"0.2.2.1",11741844,423604
extreme_symbols,"0.2.2.2",806788,28376
extreme_symbols,"0.2.3.0",22846484,432711
extreme_symbols,"0.2.3.1",1266124,35808
extreme_symbols,"0.2.4.0",4414272,16552
extreme_symbols,"0.3.0.0",4560464,203664
extreme_symbols,"0.3.0.1",1291276,41356
extreme_symbols,"0.3.0.2",254436,5404
extreme_symbols,"0.3.0.3",22160,232
extreme_symbols,"0.3.0.4",736,0
extreme_symbols,"0.3.1.0",11836180,355076
extreme_symbols,"0.3.1.1",1454740,27676
extreme_symbols,"0.3.1.2",206120,3072
extreme_symbols,"0.3.1.3",8432,0
extreme_symbols,"0.3.2.0",14542152,289576
extreme_symbols,"0.3.2.1",525348,1920
extreme_symbols,"0.3.2.2",32052,216
extreme_symbols,"0.3.3.0",8977924,94584
extreme_symbols,"0.3.3.1",72380,72
extreme_symbols,"0.3.4.0",2172720,0
extreme_symbols,"0.4.0.0",529888,18176
extreme_symbols,"0.4.0.1",7560,0
extreme_symbols,"0.4.0.2",2520,0
extreme_symbols,"0.4.1.0",2102712,54784
extreme_symbols,"0.4.1.1",6456,0
extreme_symbols,"0.4.1.2",1872,0
extreme_symbols,"0.4.2.0",3147248,55040
extreme_symbols,"0.4.2.1",1272,0
extreme_symbols,"0.4.2.2",216,0
extreme_symbols,"0.4.3.0",2097272,18432
extreme_symbols,"0.4.3.1",72,0
extreme_symbols,"0.4.4.0",524288,0
extreme_symbols,"1.0.0.0",1310600936,75891630
extreme_symbols,"1.0.0.1",732252108,42523388
extreme_symbols,"1.0.0.2",152405588,8701593
extreme_symbols,"1.0.0.3",13756912,835521
extreme_symbols,"1.0.0.4",480552,31472
extreme_symbols,"1.0.1.0",1227744308,63397962
extreme_symbols,"1.0.1.1",519250708,25332299
extreme_symbols,"1.0.1.2",75389992,3278558
extreme_symbols,"1.0.1.3",3549712,161513
extreme_symbols,"1.0.2.0",469440808,19725664
extreme_symbols,"1.0.2.1",121362948,5146669
extreme_symbols,"1.0.2.2",8558740,342669
extreme_symbols,"1.0.3.0",112261924,2589546
extreme_symbols,"1.0.3.1",11783260,347244
extreme_symbols,"1.0.4.0",15606560,117834
extreme_symbols,"1.1.0.0",208659976,11253620
extreme_symbols,"1.1.0.1",110641668,6119359
extreme_symbols,"1.1.0.2",22967228,1169401
extreme_symbols,"1.1.0.3",2126544,85663
extreme_symbols,"1.1.0.4",74296,2822
extreme_symbols,"1.1.1.0",250097020,10623781
extreme_symbols,"1.1.1.1",84733180,3971972
extreme_symbols,"1.1.1.2",11815256,492003
extreme_symbols,"1.1.1.3",530576,17045
