rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,3.0.0.3,197,536870912,253134635008,85533760031,21.377948180543623,1.565339050094591
2,3.0.0.2,11561,2147483648,12878459437056,5019572587403,17.503021427400526,1.3593235937421786
3,3.0.0.1,69425,2147483648,75805099032576,30143052234275,14.916832348406428,1.330469385409531
4,3.0.0.4,138907,4294967296,151661737672704,60310852815361,14.916240222062287,1.3303676172435002
5,3.0.1.3,139471,4294967296,152084791951360,60555731194333,14.910394349785124,1.328540481939272
6,3.0.1.1,282371,4294967296,252103842856960,122600270831033,13.892767596672716,1.040055943554166
7,3.0.1.2,300831,4294967296,263337329819648,130615261745613,13.801406284206365,1.0115885690127633
8,2.1.0.1,1458927,8589934592,1043146624466944,633439146805821,12.523523733419196,0.7196640226233173
9,0.0.0.4,1020779,4294967296,690361231998976,443203380866417,12.038760876032795,0.6393825639824278
10,1.0.0.4,67553,268435456,45259627167744,29330264423219,11.956267780003706,0.6258346226749253
11,2.0.0.1,14480581,8589934592,8212239462957056,6287200712504863,9.212383847386477,0.38535787557552087
12,0.0.0.3,31077351,8589934592,17156012788154368,13493211587985573,8.110639800576864,0.34648052412717373
13,2.1.0.2,15626295,4294967296,8624717384646656,6784648561947285,8.10252758040348,0.34620309580866215
14,1.0.0.3,17345909,4294967296,1360264461025280,1075896169634201,7.951907889777612,0.33834830984884645
15,2.1.1.3,8674399,2147483648,4761675622252544,3766263768929677,7.951667625694519,0.3383353016920932
16,0.0.0.2,106011283,4294967296,54729433591840768,46028140308124009,5.340357418925185,0.24980077182123403
17,2.0.0.2,214406357,8589934592,110656205281558528,93091278623141711,5.324227559562442,0.24936643711713458
18,1.0.0.1,49683673,1073741824,25246810708639744,21571732811373979,4.4337315031518045,0.2269590818349437
19,1.0.0.0,362559809,4294967296,182475260057092096,157416770050209107,3.5663562346554802,0.21311163369188116
20,0.0.0.1,195645261,1073741824,32477892541677568,28315185796237501,2.45633507579197,0.19788202409284453
21,1.0.0.2,1603263485,8589934592,798155949679312896,696107381687587655,2.421635604323259,0.19736078482168384
22,2.0.0.0,407356887,2147483648,67574737491984384,58955611200732967,2.398281941507025,0.19685487162603807
23,0.0.0.0,3133486161,8589934592,512587742434033664,453500597894134401,1.4548785245169724,0.1766945269190315
24,1.2.0.1,391804521,1073741824,192277661232398336,170114283646065483,1.454441196060663,0.1766868785087186
25,0.0.1.1,1849523965,4294967296,903791434828611584,803029131948698695,1.2154931518710206,0.1705375585806894
26,2.1.0.4,3699048687,8589934592,1807583230434476032,1606058592572810301,1.2154928566274728,0.17053755128604314
27,1.1.0.1,232919319,536870912,37931759454650368,33709754886514279,1.204744935102452,0.17024015511016338
28,0.0.1.0,2537698567,4294967296,1230106539050663936,1101821828734977541,0.7591264329107482,0.15889232199338568
29,0.1.0.4,5075534179,8589934592,2460277837618216960,2203703159876774617,0.7590874780334479,0.1588913422837962
30,1.1.0.0,5127699173,8589934592,2484444802549022720,2226352236418980479,0.7443355202410971,0.1582416266638074
31,0.0.1.2,5208385755,8589934592,2521589578100375552,2261384859477404865,0.7218108414780038,0.15712693548983642
32,2.1.0.3,5208401493,8589934592,840532255242715136,753797230875404613,0.7218064821426323,0.1571266884573753
33,0.0.1.3,5212253135,8589934592,2523347061538029568,2263064004415824605,0.7207399953883749,0.1570612606931811
34,0.1.0.3,5216042525,8589934592,2525066543105048576,2264709287537265575,0.719691514489893,0.15699553906120722
35,0.1.0.0,1386474201,2147483648,668384293977849856,601981480190388123,0.6312263745232183,0.15095872912558145
36,0.1.0.1,2866547625,4294967296,459588479509069824,414867337858177625,0.5833328977532268,0.14769255487843586
37,3.0.2.2,2866550009,4294967296,1378766507974066176,1244603048663283707,0.583331697918444,0.1476924740774171
38,2.1.1.1,5734041217,8589934592,2757954302847746048,2489614748541833491,0.5830948711270036,0.14767604069345489
39,1.0.1.0,3020488647,4294967296,1447050194779635712,1311440360958669381,0.5078651820340626,0.14196276532961746
40,0.0.2.1,3085847839,4294967296,1476040202899161088,1339818114483278797,0.47698022063531265,0.13969485409431934
41,0.1.0.2,388221423,536870912,185609117707010048,168558568699367229,0.4676955092403344,0.13901761315175068
42,1.1.0.2,6217284575,8589934592,2972257152837615616,2699430085697907725,0.4663625311812884,0.1389040879554435
43,3.0.2.1,6217383679,8589934592,2972300446107959296,2699473114823563117,0.466339534693338,0.13890210530591268
44,0.1.1.0,6528096301,8589934592,3107845673337225216,2834378794258846423,0.3959848062364422,0.13288228852963505
45,0.2.0.0,6553817191,8589934592,3118966138235518976,2845546329451961893,0.3903117144080097,0.13236222110701215
46,2.1.2.2,3276917853,4294967296,1559487066658570240,1422777184161430119,0.3903076386975996,0.1323618435610939
47,0.0.2.0,1759469301,2147483648,277319049854058496,254643020259975141,0.28750680366894904,0.1230705490610555
48,1.2.0.4,3518938961,4294967296,1663914453743173632,1527858277431017603,0.28750665648607604,0.12307053594025436
49,2.0.1.3,879741205,1073741824,415981372683845632,381967376232755215,0.28749605484893426,0.12306950388229408
50,0.1.1.1,3585795277,4294967296,1692201406854856704,1556886054534066871,0.260354022918425,0.12023792889736705
51,2.0.1.1,7181052109,8589934592,484057872414539776,445411448775426001,0.2584519146063288,0.1200409004517519
52,0.1.2.2,7183310063,8589934592,3389359766462529536,3118860503334565949,0.25799835613625133,0.11999375402129939
53,0.2.0.1,3598986671,4294967296,242536084871839744,223230502010211419,0.25505638682356546,0.11966524037998863
54,1.0.1.1,7327786019,8589934592,3449905886074503168,3181589293947526937,0.2292697705585299,0.11680939290770244
55,0.1.2.1,7359065103,8589934592,3462904351192776704,3195170094276691869,0.22312464833689777,0.1160898046217983
56,2.1.1.2,7359197459,8589934592,3462959099140898816,3195227560806350057,0.2230987010698161,0.11608666594568076
57,0.1.2.0,7474893553,8589934592,3510262153099608064,3245460667104421219,0.20059411140566924,0.11315550603569188
58,2.0.1.2,7476155473,8589934592,3510774405259067392,3246008569451925379,0.20035057455054212,0.11312248614492044
