rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0.0.1.0.3.0.0.0.,28657,67108864,18145498628096,12442339904611,11.19340003358813,0.5443538778099233
2,0.0.3.0.1.0.0.0.,118487,134217728,74198345056256,51444866115701,10.145630745463823,0.5283598967462954
3,1.0.1.0.2.0.0.0.,373155,134217728,230388454653952,162017006215065,8.490584508267458,0.5079231670739299
4,1.0.1.0.1.1.0.0.,1126575,134217728,25535493177344,18116224047175,6.896488068699208,0.49522163594853935
5,2.0.1.0.0.1.0.0.,846901,67108864,516718522793984,367708766010223,6.30816619255438,0.49081503079057653
6,0.0.1.0.2.1.0.0.,1942993,134217728,1184255627493376,843611659918339,6.110150727325125,0.48932958702499185
7,0.0.0.0.3.0.1.0.,2003809,134217728,1220819455836160,870016843421107,6.065686431067416,0.4887346225233051
8,2.0.1.0.1.0.0.0.,595719,33554432,362136844894208,258650182700037,5.8157275520975515,0.48553275782047517
9,3.0.1.0.0.0.0.0.,2571229,134217728,1560832286654464,1116380123201767,5.705973324801486,0.48348718327809315
10,0.0.1.1.2.0.0.0.,1410065,67108864,170694063161344,122444833845799,5.5726697623664805,0.4792809760195827
11,0.0.2.1.1.0.0.0.,3086613,134217728,620608278757376,446716777750533,5.442406821704217,0.4743225019060431
12,0.0.2.0.1.0.1.0.,3273133,134217728,1970193739808768,1421133870921559,5.3577592048461575,0.47129504169794295
13,1.0.0.0.2.0.1.0.,1771635,67108864,212704547569664,153842236500021,5.243350026518074,0.4673992367893695
14,0.0.2.0.0.0.0.2.,3623347,134217728,2173520243064832,1573190318817481,5.211108454526631,0.4663403189211812
15,1.0.1.1.1.0.0.0.,2188639,67108864,1303892696498176,950266614317197,4.93839741853227,0.4564208989688206
16,0.0.0.4.0.0.0.0.,555997,16777216,331057333272576,241403624243431,4.915282426961166,0.4556337521846639
17,2.0.2.0.0.0.0.0.,1160177,33554432,689647571173376,503727416809571,4.854086506752083,0.4532160375163598
18,2.0.1.1.0.0.0.0.,5208643,134217728,3082102723575808,2261496550503289,4.687523872408418,0.4466371509132591
19,0.0.0.3.0.1.0.0.,1372697,33554432,810685705486336,595999674077531,4.611418220951301,0.4438311630501543
20,2.0.0.0.1.0.1.0.,5892831,134217728,1156804109139968,852852779453871,4.509470538821629,0.43977595380687035
21,1.0.0.0.1.1.1.0.,6652783,134217728,3899671726522368,2888515455128509,4.334473453911974,0.43302446944460565
22,0.0.1.0.1.2.0.0.,7043963,134217728,4120349931208704,3058358583295649,4.252044099566998,0.43000929891453077
23,0.0.0.0.2.1.1.0.,7293827,134217728,4261226301358080,3166844915358521,4.201755449428176,0.4282224525104752
24,0.0.1.0.2.0.0.1.,7462149,134217728,4356028544057344,3239927217672927,4.1688402633092645,0.4270520032315321
25,1.0.2.0.1.0.0.0.,7717461,134217728,4499720063942656,3350778970673103,4.120305143441032,0.4253387270865486
26,0.0.2.1.0.0.0.1.,995617,16777216,579847663386624,432278505384691,4.074768661248351,0.42371282612606775
27,0.0.1.0.0.0.0.3.,4008711,67108864,2334130108891136,1740508247246853,4.065293017651009,0.42337633171391
28,1.0.2.1.0.0.0.0.,8419199,134217728,4892621289816064,3655460644260077,3.994748448417131,0.4205543968202923
29,2.0.0.0.0.1.1.0.,4496737,67108864,2606636388581376,1952400119190451,3.8995529228955674,0.41694060397881927
30,1.0.3.0.0.0.0.0.,9083865,134217728,1754579066683392,1314682113475465,3.8851251651063397,0.4164109594568389
31,0.0.1.1.1.1.0.0.,9868559,134217728,5701743467823104,4284745976435357,3.765591991924042,0.41219345527940754
32,1.1.1.0.1.0.0.0.,5183971,67108864,2990199197925376,2250784423967833,3.6943737831078427,0.4098137108501817
33,0.0.0.3.0.0.0.1.,10554039,134217728,2028071947337728,1527456242273799,3.6687081159904813,0.4089777828102848
34,3.0.0.0.0.0.1.0.,10753743,134217728,6195579478605824,4669076513690589,3.641664437122326,0.4081019946629257
35,0.0.1.2.0.1.0.0.,2829617,33554432,1627347799244800,1228567418566691,3.5678246389593222,0.40554559008633395
36,2.1.1.0.0.0.0.0.,11694759,134217728,395202523037696,298685192572821,3.5206412041611705,0.40396644006409876
37,0.0.1.3.0.0.0.0.,11880277,134217728,6821444763779072,5158196761521871,3.497934861445454,0.4032105241998996
38,0.0.1.0.0.1.0.2.,3030773,33554432,1739059881836544,1315905637007279,3.468745630034375,0.4022515726922254
