feature_id,feature_value,Nz,Ez
at_correlations,"-1.16.87.93",268435456,28918656
at_correlations,"-102.34.-30.74",268435456,9464384
at_correlations,"-109.46.28.25",268435456,4623744
at_correlations,"-11.-46.35.-83",268435456,31096480
at_correlations,"-11.71.-7.-68",268435456,11361600
at_correlations,"-112.96.-102.106",268435456,6070656
at_correlations,"-13.-2.-30.-46",268435456,2592896
at_correlations,"-15.-8.-50.-18",268435456,14718352
at_correlations,"-15.116.-6.58",268435456,10842848
at_correlations,"-16.7.-56.121",268435456,5774560
at_correlations,"-17.-23.-29.19",268435456,8932352
at_correlations,"-17.67.27.-66",268435456,29108912
at_correlations,"-18.-39.71.-18",268435456,23617504
at_correlations,"-25.52.-25.19",268435456,15566736
at_correlations,"-26.29.4.44",268435456,33517996
at_correlations,"-27.-42.33.93",268435456,28927504
at_correlations,"-3.-19.3.19",268435456,14198272
at_correlations,"-3.-6.1.2",268435456,0
at_correlations,"-3.2.3.-2",268435456,0
at_correlations,"-30.-12.4.5",268435456,9034528
at_correlations,"-30.-27.46.-29",268435456,19119488
at_correlations,"-31.11.37.-16",268435456,19930976
at_correlations,"-32.62.-69.24",268435456,2334976
at_correlations,"-37.91.62.38",268435456,16677376
at_correlations,"-38.73.-74.79",268435456,22363744
at_correlations,"-4.-28.-40.68",268435456,9955088
at_correlations,"-4.-8.64.-52",268435456,15821376
at_correlations,"-4.0.6.-10",268435456,13009888
at_correlations,"-40.-59.40.50",268435456,0
at_correlations,"-42.31.-45.-34",268435456,10480640
at_correlations,"-46.-85.-34.29",268435456,27279184
at_correlations,"-46.70.-15.-126",268435456,1474560
at_correlations,"-47.-64.53.67",268435456,10715104
at_correlations,"-47.126.22.-126",268435456,24838826
at_correlations,"-47.77.-22.22",268435456,22479528
at_correlations,"-48.-44.-38.-32",268435456,12210304
at_correlations,"-48.18.-54.105",268435456,36590088
at_correlations,"-5.-4.-11.-1",268435456,4194304
at_correlations,"-5.67.26.-33",268435456,13662208
at_correlations,"-50.63.41.-106",268435456,21300560
at_correlations,"-52.132.-47.22",268435456,13979048
at_correlations,"-52.42.55.-48",268435456,23929232
at_correlations,"-54.4.11.-36",268435456,33510616
at_correlations,"-55.29.84.-1",268435456,19473352
at_correlations,"-59.89.-49.34",268435456,12571312
at_correlations,"-6.-90.-58.-70",268435456,3133824
at_correlations,"-60.-52.28.76",268435456,25528104
at_correlations,"-60.47.129.1",268435456,38864272
at_correlations,"-61.69.2.-50",268435456,23322248
at_correlations,"-62.22.-65.49",268435456,11834816
at_correlations,"-66.33.-44.49",268435456,17724680
at_correlations,"-69.49.-19.-11",268435456,13378176
at_correlations,"-71.-64.74.51",268435456,11769728
at_correlations,"-71.-81.77.75",268435456,24700968
at_correlations,"-72.-6.48.-54",268435456,19208960
at_correlations,"-73.-71.-67.-109",268435456,3061696
at_correlations,"-73.72.4.-57",268435456,8964848
at_correlations,"-74.-1.61.14",268435456,4595232
at_correlations,"-74.-72.-88.-90",268435456,19555168
at_correlations,"-76.-88.-52.-4",268435456,32429368
at_correlations,"-8.99.-28.9",268435456,524288
at_correlations,"-80.61.-55.164",268435456,11394992
at_correlations,"-83.20.-52.34",268435456,10223040
at_correlations,"-89.2.81.2",268435456,29882080
at_correlations,"-9.1.62.-46",268435456,14203648
