feature_id,feature_value,Nz,Ez
at_norm_pair,"A=101|t=159",268435456,7817520
at_norm_pair,"A=102|t=124",268435456,25528104
at_norm_pair,"A=102|t=143",268435456,5863552
at_norm_pair,"A=102|t=146",268435456,25100304
at_norm_pair,"A=103|t=179",268435456,21306688
at_norm_pair,"A=104|t=140",268435456,12858112
at_norm_pair,"A=105|t=101",268435456,33517996
at_norm_pair,"A=105|t=106",268435456,3276800
at_norm_pair,"A=107|t=117",268435456,1572864
at_norm_pair,"A=107|t=164",268435456,24585848
at_norm_pair,"A=108|t=182",268435456,5348800
at_norm_pair,"A=108|t=218",268435456,15821376
at_norm_pair,"A=108|t=51",268435456,12210304
at_norm_pair,"A=110|t=29",268435456,29338944
at_norm_pair,"A=111|t=110",268435456,10277584
at_norm_pair,"A=113|t=123",268435456,6884832
at_norm_pair,"A=114|t=130",268435456,5821312
at_norm_pair,"A=114|t=99",268435456,9693184
at_norm_pair,"A=115|t=179",268435456,24838826
at_norm_pair,"A=116|t=110",268435456,7950104
at_norm_pair,"A=116|t=157",268435456,24700968
at_norm_pair,"A=118|t=190",268435456,5774560
at_norm_pair,"A=119|t=135",268435456,1179648
at_norm_pair,"A=119|t=226",268435456,4595232
at_norm_pair,"A=119|t=97",268435456,30052688
at_norm_pair,"A=121|t=130",268435456,16677376
at_norm_pair,"A=122|t=111",268435456,27279184
at_norm_pair,"A=122|t=126",268435456,19119488
at_norm_pair,"A=123|t=147",268435456,9034528
at_norm_pair,"A=123|t=187",268435456,13979048
at_norm_pair,"A=123|t=2",268435456,0
at_norm_pair,"A=127|t=141",268435456,19473352
at_norm_pair,"A=127|t=97",268435456,31096480
at_norm_pair,"A=129|t=152",268435456,10970712
at_norm_pair,"A=129|t=156",268435456,13378176
at_norm_pair,"A=129|t=63",268435456,29108912
at_norm_pair,"A=129|t=98",268435456,22479528
at_norm_pair,"A=130|t=142",268435456,3061696
at_norm_pair,"A=133|t=57",268435456,30374552
at_norm_pair,"A=134|t=149",268435456,18561136
at_norm_pair,"A=134|t=3",268435456,4063232
at_norm_pair,"A=134|t=98",268435456,22363744
at_norm_pair,"A=137|t=133",268435456,1474560
at_norm_pair,"A=137|t=85",268435456,10223040
at_norm_pair,"A=138|t=155",268435456,12441208
at_norm_pair,"A=139|t=130",268435456,4623744
at_norm_pair,"A=142|t=202",268435456,1264384
at_norm_pair,"A=143|t=165",268435456,11361600
at_norm_pair,"A=145|t=210",268435456,11394992
at_norm_pair,"A=145|t=91",268435456,15566736
at_norm_pair,"A=146|t=25",268435456,37505152
at_norm_pair,"A=146|t=55",268435456,10480640
at_norm_pair,"A=147|t=103",268435456,10842848
at_norm_pair,"A=147|t=275",268435456,9188864
at_norm_pair,"A=148|t=126",268435456,6136992
at_norm_pair,"A=150|t=102",268435456,17724680
at_norm_pair,"A=150|t=109",268435456,30497608
at_norm_pair,"A=150|t=163",268435456,23130656
at_norm_pair,"A=153|t=123",268435456,38864272
at_norm_pair,"A=159|t=121",268435456,28927504
at_norm_pair,"A=162|t=171",268435456,7914496
at_norm_pair,"A=162|t=179",268435456,23703960
at_norm_pair,"A=162|t=63",268435456,23617504
at_norm_pair,"A=163|t=150",268435456,13447248
at_norm_pair,"A=166|t=23",268435456,19574832
at_norm_pair,"A=169|t=113",268435456,8960400
at_norm_pair,"A=169|t=174",268435456,21300560
at_norm_pair,"A=170|t=170",268435456,524288
at_norm_pair,"A=171|t=81",268435456,17229744
at_norm_pair,"A=174|t=59",268435456,13811710
at_norm_pair,"A=178|t=107",268435456,8964848
at_norm_pair,"A=178|t=45",268435456,29882080
at_norm_pair,"A=180|t=78",268435456,6070656
at_norm_pair,"A=182|t=88",268435456,3133824
at_norm_pair,"A=195|t=95",268435456,32456096
at_norm_pair,"A=196|t=207",268435456,0
at_norm_pair,"A=199|t=2",268435456,0
at_norm_pair,"A=199|t=51",268435456,14066912
at_norm_pair,"A=19|t=2",268435456,0
at_norm_pair,"A=210|t=3",268435456,4063232
at_norm_pair,"A=210|t=73",268435456,23322248
at_norm_pair,"A=213|t=77",268435456,565248
at_norm_pair,"A=214|t=210",268435456,6584320
at_norm_pair,"A=217|t=17",268435456,14718352
at_norm_pair,"A=218|t=118",268435456,4276248
at_norm_pair,"A=219|t=225",268435456,2596864
at_norm_pair,"A=235|t=113",268435456,28918656
at_norm_pair,"A=243|t=122",268435456,18050256
at_norm_pair,"A=268|t=149",268435456,5534208
at_norm_pair,"A=30|t=12",268435456,13009888
at_norm_pair,"A=33|t=36",268435456,13313520
at_norm_pair,"A=36|t=29",268435456,8966144
at_norm_pair,"A=45|t=52",268435456,8932352
at_norm_pair,"A=49|t=112",268435456,9955088
at_norm_pair,"A=49|t=51",268435456,1471488
at_norm_pair,"A=50|t=1",268435456,0
at_norm_pair,"A=56|t=189",268435456,19555168
at_norm_pair,"A=57|t=51",268435456,19930976
at_norm_pair,"A=57|t=61",268435456,2592896
at_norm_pair,"A=58|t=155",268435456,6225536
at_norm_pair,"A=58|t=2",268435456,0
at_norm_pair,"A=59|t=208",268435456,32429368
at_norm_pair,"A=62|t=63",268435456,2847744
at_norm_pair,"A=63|t=106",268435456,11834816
at_norm_pair,"A=65|t=3",268435456,4194304
