feature_id,feature_value,Nz,Ez
at_projections,"-1.-17.-21.15",268435456,3276800
at_projections,"-10.-11.18.47",268435456,6884832
at_projections,"-10.-21.0.50",268435456,36590088
at_projections,"-10.-26.10.7",268435456,33510616
at_projections,"-11.-15.11.-11",268435456,13313520
at_projections,"-12.-21.10.-10",268435456,29108912
at_projections,"-13.-10.11.53",268435456,16822944
at_projections,"-13.-28.-21.36",268435456,0
at_projections,"-13.-8.17.7",268435456,7731680
at_projections,"-14.-32.-10.57",268435456,22363744
at_projections,"-14.-40.26.-39",268435456,565248
at_projections,"-14.-50.16.-23",268435456,8960400
at_projections,"-15.-30.-7.17",268435456,11272192
at_projections,"-15.-45.1.-19",268435456,19555168
at_projections,"-16.-41.12.31",268435456,13662208
at_projections,"-16.-58.2.-7",268435456,5348800
at_projections,"-16.-65.-16.30",268435456,12858112
at_projections,"-18.-43.-18.-5",268435456,19119488
at_projections,"-18.5.18.57",268435456,524288
at_projections,"-19.-30.9.66",268435456,11394992
at_projections,"-19.-65.19.-23",268435456,19574832
at_projections,"-19.-74.-5.29",268435456,0
at_projections,"-2.-12.10.-6",268435456,1471488
at_projections,"-2.-35.10.-41",268435456,25528104
at_projections,"-2.-38.-24.-41",268435456,40177544
at_projections,"-2.1.8.13",268435456,13009888
at_projections,"-2.2.-28.-16",268435456,2228224
at_projections,"-2.23.10.-14",268435456,23929232
at_projections,"-20.-57.14.1",268435456,32456096
at_projections,"-21.-50.-25.-28",268435456,6225536
at_projections,"-22.-21.-2.17",268435456,19473352
at_projections,"-22.-55.0.-25",268435456,15566736
at_projections,"-22.-62.4.-7",268435456,28927504
at_projections,"-25.-67.1.-3",268435456,7696256
at_projections,"-3.-17.-1.16",268435456,29882080
at_projections,"-3.-17.-27.26",268435456,23617504
at_projections,"-3.-30.7.55",268435456,23322248
at_projections,"-3.-38.-11.25",268435456,37505152
at_projections,"-33.-95.11.8",268435456,7077888
at_projections,"-35.-84.1.17",268435456,30497608
at_projections,"-39.-109.1.9",268435456,23130656
at_projections,"-4.-14.12.-17",268435456,0
at_projections,"-4.-2.-26.28",268435456,15821376
at_projections,"-4.-7.-2.6",268435456,0
at_projections,"-4.20.-14.38",268435456,3061696
at_projections,"-4.35.4.-11",268435456,1474560
at_projections,"-49.-108.5.11",268435456,23703960
at_projections,"-5.-10.3.3",268435456,0
at_projections,"-5.-2.-5.11",268435456,0
at_projections,"-5.-21.11.20",268435456,29338944
at_projections,"-5.-49.-9.-59",268435456,5863552
at_projections,"-6.-15.6.-10",268435456,2592896
at_projections,"-6.12.-10.35",268435456,14718352
at_projections,"-7.-12.-1.-44",268435456,10970712
at_projections,"-7.-12.9.26",268435456,8966144
at_projections,"-7.-18.15.-5",268435456,4063232
at_projections,"-8.-10.20.7",268435456,7817520
at_projections,"-8.-22.-10.-62",268435456,12571312
at_projections,"-8.-40.-26.-3",268435456,31096480
at_projections,"-8.-42.-20.-43",268435456,19208960
at_projections,"-9.-44.21.19",268435456,14203648
at_projections,"0.-13.0.39",268435456,24838826
at_projections,"0.-24.12.-67",268435456,10223040
at_projections,"1.-14.-7.-38",268435456,11834816
at_projections,"10.14.-4.-9",268435456,10715104
at_projections,"11.27.-33.-17",268435456,7914496
at_projections,"11.62.-13.51",268435456,22479528
at_projections,"12.2.16.-45",268435456,17724680
at_projections,"12.25.2.-63",268435456,4276248
at_projections,"13.43.17.-28",268435456,9693184
at_projections,"13.59.-11.21",268435456,2847744
at_projections,"13.65.-5.4",268435456,10480640
at_projections,"13.69.-33.56",268435456,18050256
at_projections,"15.19.11.61",268435456,5534208
at_projections,"15.66.11.-38",268435456,4595232
at_projections,"15.83.-5.5",268435456,8964848
at_projections,"16.-14.-12.-66",268435456,13979048
at_projections,"16.55.8.-16",268435456,30374552
at_projections,"18.69.10.59",268435456,5774560
at_projections,"2.-15.-12.14",268435456,19930976
at_projections,"2.-18.-24.-25",268435456,17229744
at_projections,"2.-3.-20.30",268435456,3133824
at_projections,"2.33.10.-9",268435456,14066912
at_projections,"2.36.8.67",268435456,9464384
at_projections,"2.38.20.-32",268435456,11361600
at_projections,"2.7.-6.-65",268435456,2334976
at_projections,"20.30.14.-35",268435456,33517996
at_projections,"21.53.-15.4",268435456,13811710
at_projections,"22.26.-10.5",268435456,38864272
at_projections,"22.36.0.2",268435456,30052688
at_projections,"25.103.-5.28",268435456,16677376
at_projections,"25.77.13.12",268435456,10277584
at_projections,"26.66.2.44",268435456,10842848
at_projections,"27.78.15.-17",268435456,1810432
at_projections,"28.54.22.-47",268435456,28918656
at_projections,"28.77.-14.39",268435456,25100304
at_projections,"3.28.5.34",268435456,9955088
at_projections,"3.55.-11.41",268435456,4623744
at_projections,"31.53.-19.-67",268435456,12441208
at_projections,"31.79.7.-35",268435456,4063232
at_projections,"31.84.5.1",268435456,18561136
at_projections,"31.90.-25.-35",268435456,24585848
at_projections,"32.103.10.-9",268435456,7950104
at_projections,"32.93.-20.5",268435456,1264384
at_projections,"34.71.-8.-16",268435456,1179648
at_projections,"34.81.32.9",268435456,9188864
at_projections,"38.107.18.-29",268435456,6136992
at_projections,"4.-1.10.-25",268435456,4194304
at_projections,"4.-13.-26.-49",268435456,6584320
at_projections,"4.-6.10.-31",268435456,5821312
at_projections,"4.-9.10.-67",268435456,6070656
at_projections,"4.8.-14.-40",268435456,14198272
at_projections,"5.-2.-15.57",268435456,13378176
at_projections,"5.23.-1.25",268435456,8932352
at_projections,"6.-16.-24.-10",268435456,2596864
at_projections,"7.-19.-17.-31",268435456,13447248
at_projections,"7.19.-23.35",268435456,0
at_projections,"7.25.13.-8",268435456,24700968
at_projections,"8.10.-36.-28",268435456,2615552
at_projections,"8.29.20.9",268435456,1572864
at_projections,"8.3.-18.10",268435456,9034528
at_projections,"8.36.-10.7",268435456,0
at_projections,"8.55.38.14",268435456,21306688
at_projections,"9.-17.-19.13",268435456,21300560
at_projections,"9.14.-9.-7",268435456,12210304
at_projections,"9.36.-5.43",268435456,27279184
at_projections,"9.38.-17.-18",268435456,11769728
at_projections,"9.41.9.48",268435456,32429368
