feature_id,feature_value,Nz,Ez
secret_key,"A=0.14.2.17|t=1.1.0.0|e=18.0.0.1",268435456,13313520
secret_key,"A=0.14.2.7|t=0.18.18.1|e=0.18.0.0",268435456,14198272
secret_key,"A=0.17.4.10|t=18.1.0.0|e=0.0.18.1",268435456,7817520
secret_key,"A=0.18.12.16|t=1.1.1.18|e=18.1.0.0",268435456,32429368
secret_key,"A=0.2.16.7|t=0.18.0.0|e=0.1.18.18",268435456,2847744
secret_key,"A=1.10.3.2|t=0.18.18.18|e=0.0.0.18",268435456,12571312
secret_key,"A=1.13.16.2|t=0.0.0.0|e=0.0.1.0",268435456,0
secret_key,"A=1.13.18.7|t=1.0.1.18|e=0.1.0.0",268435456,10715104
secret_key,"A=1.3.4.9|t=1.0.18.1|e=1.1.1.0",268435456,24585848
secret_key,"A=1.3.9.5|t=18.18.0.0|e=0.1.0.1",268435456,7950104
secret_key,"A=1.4.13.2|t=18.0.0.1|e=0.18.1.1",268435456,19930976
secret_key,"A=1.6.7.5|t=1.1.1.1|e=0.0.0.0",268435456,10277584
secret_key,"A=1.8.11.10|t=18.18.0.1|e=0.18.18.18",268435456,23322248
secret_key,"A=1.9.10.6|t=0.0.0.0|e=1.0.18.0",268435456,0
secret_key,"A=10.0.4.15|t=0.0.18.18|e=0.18.0.1",268435456,6884832
secret_key,"A=10.11.17.1|t=18.18.1.0|e=1.0.18.18",268435456,30497608
secret_key,"A=10.16.18.13|t=1.0.0.18|e=18.18.18.1",268435456,19473352
secret_key,"A=10.18.18.0|t=0.1.1.0|e=0.1.18.18",268435456,16822944
secret_key,"A=10.6.15.12|t=0.0.18.18|e=0.0.0.1",268435456,3133824
secret_key,"A=10.8.12.7|t=1.18.0.1|e=0.18.0.18",268435456,18050256
secret_key,"A=11.0.18.17|t=0.0.0.0|e=18.18.18.18",268435456,11272192
secret_key,"A=11.11.16.14|t=1.0.18.1|e=0.1.1.0",268435456,23703960
secret_key,"A=11.15.12.18|t=1.18.0.0|e=18.0.0.0",268435456,3061696
secret_key,"A=11.5.1.7|t=1.1.0.18|e=0.0.0.0",268435456,4623744
secret_key,"A=11.6.14.3|t=18.18.0.18|e=0.1.1.0",268435456,22363744
secret_key,"A=12.10.17.6|t=18.0.0.0|e=0.1.0.0",268435456,524288
secret_key,"A=12.18.15.5|t=18.1.18.0|e=18.18.18.1",268435456,36590088
secret_key,"A=12.2.1.2|t=1.1.18.0|e=0.0.0.0",268435456,6225536
secret_key,"A=12.3.11.1|t=0.0.0.0|e=18.0.18.0",268435456,0
secret_key,"A=12.6.18.13|t=18.18.1.18|e=1.18.0.1",268435456,27279184
secret_key,"A=13.11.2.2|t=0.18.0.1|e=0.0.0.1",268435456,5348800
secret_key,"A=13.15.9.13|t=18.1.0.0|e=18.0.0.1",268435456,8960400
secret_key,"A=13.17.5.11|t=1.18.1.0|e=18.1.0.1",268435456,29108912
secret_key,"A=13.2.11.0|t=0.0.18.0|e=18.1.1.18",268435456,12858112
secret_key,"A=13.2.3.16|t=0.0.0.0|e=0.1.0.18",268435456,0
secret_key,"A=13.2.5.17|t=18.18.0.18|e=0.0.0.1",268435456,11769728
secret_key,"A=13.9.1.17|t=18.0.1.18|e=0.0.1.1",268435456,19119488
secret_key,"A=14.1.17.6|t=1.0.0.0|e=0.18.18.0",268435456,2228224
secret_key,"A=14.11.11.8|t=1.0.0.1|e=0.0.18.18",268435456,14718352
secret_key,"A=14.16.0.11|t=1.0.0.0|e=0.18.18.1",268435456,7077888
secret_key,"A=14.18.1.16|t=0.0.0.1|e=1.1.0.1",268435456,8966144
secret_key,"A=14.2.18.12|t=0.0.18.0|e=18.18.1.1",268435456,13662208
secret_key,"A=14.3.14.7|t=1.18.0.0|e=1.1.0.18",268435456,15821376
secret_key,"A=14.5.5.4|t=0.18.0.0|e=0.0.0.0",268435456,0
secret_key,"A=14.7.0.1|t=1.0.1.0|e=0.0.1.0",268435456,2615552
secret_key,"A=14.8.4.4|t=18.0.18.0|e=0.1.1.18",268435456,16677376
secret_key,"A=15.1.10.8|t=18.1.0.1|e=0.1.1.0",268435456,23617504
secret_key,"A=15.11.18.11|t=1.18.0.1|e=1.0.1.0",268435456,15566736
secret_key,"A=15.15.11.7|t=0.18.18.0|e=0.18.0.18",268435456,11394992
secret_key,"A=15.16.17.4|t=18.0.0.18|e=0.0.1.1",268435456,8932352
secret_key,"A=15.18.18.1|t=0.0.0.0|e=1.0.18.0",268435456,0
secret_key,"A=15.18.6.10|t=0.0.0.0|e=1.18.1.0",268435456,4063232
secret_key,"A=15.4.10.4|t=0.1.0.18|e=18.1.1.0",268435456,13378176
secret_key,"A=15.4.15.9|t=0.1.18.18|e=18.1.0.1",268435456,22479528
secret_key,"A=15.6.15.17|t=0.1.0.18|e=1.0.0.1",268435456,9464384
secret_key,"A=15.7.7.8|t=18.0.1.18|e=1.0.0.0",268435456,8964848
secret_key,"A=15.9.17.1|t=18.1.1.0|e=1.1.0.18",268435456,25100304
secret_key,"A=16.1.2.15|t=0.1.1.1|e=1.18.0.0",268435456,13009888
secret_key,"A=17.14.9.2|t=0.18.18.0|e=1.0.0.0",268435456,5821312
secret_key,"A=17.15.6.9|t=0.0.0.1|e=0.18.1.0",268435456,1474560
