feature_id,feature_value,Nz,Ez
t_norm2,"1",268435456,0
t_norm2,"101",536870912,44233100
t_norm2,"102",268435456,17724680
t_norm2,"103",268435456,10842848
t_norm2,"105",268435456,13662208
t_norm2,"106",536870912,15111616
t_norm2,"107",268435456,8964848
t_norm2,"109",268435456,30497608
t_norm2,"110",536870912,18227688
t_norm2,"111",268435456,27279184
t_norm2,"112",268435456,9955088
t_norm2,"113",536870912,37879056
t_norm2,"117",268435456,1572864
t_norm2,"118",268435456,4276248
t_norm2,"12",268435456,13009888
t_norm2,"121",268435456,28927504
t_norm2,"122",268435456,18050256
t_norm2,"123",805306368,79259720
t_norm2,"124",268435456,25528104
t_norm2,"126",536870912,25256480
t_norm2,"129",268435456,12571312
t_norm2,"130",805306368,27122432
t_norm2,"133",268435456,1474560
t_norm2,"135",268435456,1179648
t_norm2,"138",268435456,16822944
t_norm2,"140",268435456,12858112
t_norm2,"141",536870912,22088904
t_norm2,"142",268435456,3061696
t_norm2,"143",536870912,42453640
t_norm2,"146",268435456,25100304
t_norm2,"147",268435456,9034528
t_norm2,"149",536870912,24095344
t_norm2,"150",268435456,13447248
t_norm2,"152",268435456,10970712
t_norm2,"155",536870912,18666744
t_norm2,"156",268435456,13378176
t_norm2,"157",268435456,24700968
t_norm2,"159",268435456,7817520
t_norm2,"162",268435456,9464384
t_norm2,"163",268435456,23130656
t_norm2,"164",268435456,24585848
t_norm2,"165",268435456,11361600
t_norm2,"17",268435456,14718352
t_norm2,"170",268435456,524288
t_norm2,"171",536870912,15646176
t_norm2,"174",268435456,21300560
t_norm2,"179",805306368,69849474
t_norm2,"182",268435456,5348800
t_norm2,"187",268435456,13979048
t_norm2,"189",268435456,19555168
t_norm2,"190",536870912,7584992
t_norm2,"2",1342177280,0
t_norm2,"202",536870912,20473344
t_norm2,"207",268435456,0
t_norm2,"208",268435456,32429368
t_norm2,"210",536870912,17979312
t_norm2,"214",268435456,11769728
t_norm2,"218",268435456,15821376
t_norm2,"219",268435456,40177544
t_norm2,"225",268435456,2596864
t_norm2,"226",268435456,4595232
t_norm2,"23",268435456,19574832
t_norm2,"25",268435456,37505152
t_norm2,"275",268435456,9188864
t_norm2,"29",536870912,38305088
t_norm2,"3",805306368,12320768
t_norm2,"36",268435456,13313520
t_norm2,"4",268435456,11272192
t_norm2,"45",268435456,29882080
t_norm2,"51",1073741824,47679680
t_norm2,"52",268435456,8932352
t_norm2,"54",268435456,14198272
t_norm2,"55",268435456,10480640
t_norm2,"57",268435456,30374552
t_norm2,"59",268435456,13811710
t_norm2,"61",268435456,2592896
t_norm2,"63",805306368,55574160
t_norm2,"66",268435456,7696256
t_norm2,"70",268435456,2228224
t_norm2,"73",268435456,23322248
t_norm2,"77",268435456,565248
t_norm2,"78",268435456,6070656
t_norm2,"81",268435456,17229744
t_norm2,"85",268435456,10223040
t_norm2,"88",268435456,3133824
t_norm2,"89",536870912,26264208
t_norm2,"91",805306368,22644624
t_norm2,"94",268435456,14203648
t_norm2,"95",268435456,32456096
t_norm2,"97",536870912,61149168
t_norm2,"98",536870912,44843272
t_norm2,"99",268435456,9693184
