feature_id,feature_value,Nz,Ez
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.",8462336,327680
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.3.",1241088,30720
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.",1302528,9216
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.3.1.",864256,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.0.",90112,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.3.",4304896,6144
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.2.",3608576,9216
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.2.1.",4509696,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.1.3.0.",1806336,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.2.",2547712,57344
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.1.1.",5656576,27648
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.",4116480,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.3.0.1.",1560576,3072
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.3.1.0.",2445312,121344
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.0.4.0.0.",155648,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.0.3.",1953792,1024
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.1.2.",3293184,33408
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.2.1.",6287360,6144
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.0.3.0.",4079616,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.0.2.",6500352,19456
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.1.",12791808,99328
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.1.2.0.",8462336,12288
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.2.0.1.",4804608,56768
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.2.1.0.",5980160,107008
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.1.3.0.0.",983040,46080
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.0.2.",3964928,43008
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.1.1.",6127616,9216
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.0.2.0.",3997696,33792
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.1.0.1.",6193152,73728
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.1.1.0.",3624960,55296
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.2.2.0.0.",1417216,12288
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.3.0.0.1.",1990656,9216
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.3.0.1.0.",708608,27648
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.3.1.0.0.",1675264,2048
hist_u,"0.0.0.0.0.0.0.0.0.0.0.0.4.0.0.0.",3121152,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.0.3.",1392640,2048
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.1.2.",2879488,9216
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.2.1.",3756032,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.0.3.0.",1490944,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.1.0.2.",3203072,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.1.1.1.",6950912,12288
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.1.2.0.",3530752,24576
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.2.0.1.",2699264,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.2.1.0.",2801664,4096
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.0.3.0.0.",835584,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.",4820992,90624
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.",5976064,13824
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.0.2.0.",2768896,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.1.0.1.",7016448,81152
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.1.1.0.",4661248,144192
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.1.2.0.0.",3297280,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.2.0.0.1.",2912256,24576
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.2.0.1.0.",1748992,6144
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.2.1.0.0.",3403776,3840
hist_u,"0.0.0.0.0.0.0.0.0.0.0.1.3.0.0.0.",3833856,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.0.2.",1679360,3072
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.1.1.",1855488,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.0.2.0.",360448,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.1.0.1.",1347584,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.1.1.0.",1163264,4096
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.0.2.0.0.",610304,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.1.0.0.1.",1699840,18432
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.1.0.1.0.",1245184,32768
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.1.1.0.0.",1507328,1024
hist_u,"0.0.0.0.0.0.0.0.0.0.0.2.2.0.0.0.",1576960,19456
hist_u,"0.0.0.0.0.0.0.0.0.0.0.3.0.0.0.1.",528384,512
hist_u,"0.0.0.0.0.0.0.0.0.0.0.3.0.0.1.0.",401408,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.3.0.1.0.0.",311296,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.3.1.0.0.0.",499712,0
hist_u,"0.0.0.0.0.0.0.0.0.0.0.4.0.0.0.0.",81920,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.0.3.",1695744,1024
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.1.2.",10149888,15360
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.2.1.",9515008,6144
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.0.3.0.",5976064,18944
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.1.0.2.",8159232,82944
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.1.1.1.",16392192,147072
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.1.2.0.",8282112,13824
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.2.0.1.",7139328,82944
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.2.1.0.",6598656,15360
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.0.3.0.0.",3563520,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.0.2.",11841536,47104
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.1.1.",15818752,30720
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.0.2.0.",4988928,76800
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.1.0.1.",15917056,43008
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.1.1.0.",15310848,10752
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.1.2.0.0.",11292672,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.2.0.0.1.",7725056,21504
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.2.0.1.0.",9031680,74240
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.2.1.0.0.",12955648,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.1.0.3.0.0.0.",2740224,33792
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.0.2.",6029312,8192
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.1.1.",8200192,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.0.2.0.",3170304,12288
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.1.0.1.",9388032,30720
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.1.1.0.",10649600,18432
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.0.2.0.0.",3497984,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.1.0.0.1.",9093120,132352
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.1.0.1.0.",10461184,18432
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.1.1.0.0.",11276288,94464
hist_u,"0.0.0.0.0.0.0.0.0.0.1.1.2.0.0.0.",4739072,15360
hist_u,"0.0.0.0.0.0.0.0.0.0.1.2.0.0.0.1.",2981888,14848
hist_u,"0.0.0.0.0.0.0.0.0.0.1.2.0.0.1.0.",2412544,0
hist_u,"0.0.0.0.0.0.0.0.0.0.1.2.0.1.0.0.",3063808,8192
hist_u,"0.0.0.0.0.0.0.0.0.0.1.2.1.0.0.0.",3170304,65536
hist_u,"0.0.0.0.0.0.0.0.0.0.1.3.0.0.0.0.",548864,0
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.2.",5955584,17408
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.1.1.",7446528,0
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.0.2.0.",3489792,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.1.0.1.",9015296,46080
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.1.1.0.",12865536,0
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.0.2.0.0.",4362240,0
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.1.0.0.1.",7602176,90624
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.1.0.1.0.",8040448,382464
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.1.1.0.0.",8208384,61440
hist_u,"0.0.0.0.0.0.0.0.0.0.2.0.2.0.0.0.",2998272,24576
hist_u,"0.0.0.0.0.0.0.0.0.0.2.1.0.0.0.1.",4440064,35328
hist_u,"0.0.0.0.0.0.0.0.0.0.2.1.0.0.1.0.",3649536,0
hist_u,"0.0.0.0.0.0.0.0.0.0.2.1.0.1.0.0.",3747840,146944
hist_u,"0.0.0.0.0.0.0.0.0.0.2.1.1.0.0.0.",4956160,15360
hist_u,"0.0.0.0.0.0.0.0.0.0.2.2.0.0.0.0.",1404928,11264
hist_u,"0.0.0.0.0.0.0.0.0.0.3.0.0.0.0.1.",3182592,0
hist_u,"0.0.0.0.0.0.0.0.0.0.3.0.0.0.1.0.",3465216,72000
hist_u,"0.0.0.0.0.0.0.0.0.0.3.0.0.1.0.0.",2629632,0
hist_u,"0.0.0.0.0.0.0.0.0.0.3.0.1.0.0.0.",5582848,36864
hist_u,"0.0.0.0.0.0.0.0.0.0.3.1.0.0.0.0.",1945600,0
hist_u,"0.0.0.0.0.0.0.0.0.0.4.0.0.0.0.0.",294912,0
hist_u,"0.0.0.0.0.0.0.0.0.1.0.0.0.0.0.3.",2052096,0
