rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,0.0.0.0.0.4.0.0.0.0.0.0.0.0.0.0.,5,2097152,805306368,24093967,18.67807190511264,5.062793887929094
2,0.0.2.0.0.0.0.0.0.0.0.0.0.0.2.0.,53,1048576,31004295168,1276980251,14.272079545436801,4.601659974060796
3,0.0.0.0.0.0.3.0.1.0.0.0.0.0.0.0.,775,8388608,431644213248,18672824425,13.4019474998384,4.530830578225267
4,0.0.1.0.0.0.0.0.0.0.0.0.0.0.3.0.,999,8388608,182536110080,8023291011,13.035659132207583,4.507843956274377
5,0.0.3.0.0.0.0.0.0.0.0.0.0.0.1.0.,1223,8388608,663572447232,29466921641,12.743791311472613,4.493085726584925
6,0.0.0.2.0.0.0.0.0.2.0.0.0.0.0.0.,1957,8388608,933081645056,47151893419,12.065571959373196,4.306615713395534
7,0.0.0.0.0.1.0.0.0.0.0.3.0.0.0.0.,2005,8388608,190052302848,9661680767,12.030613478657717,4.297978510836015
8,0.0.0.0.0.3.0.0.0.0.0.1.0.0.0.0.,2053,8388608,967441383424,49464914251,11.996482087891398,4.289696770912874
9,0.0.0.0.0.2.0.0.0.0.0.2.0.0.0.0.,2109,8388608,984621252608,50814176403,11.957656620206308,4.2762659310093
10,1.0.0.0.0.0.1.0.0.0.0.0.2.0.0.0.,691,2097152,296084307968,16648931197,11.567458099611741,4.1525065624110615
11,0.0.0.2.0.0.0.0.2.0.0.0.0.0.0.0.,877,2097152,349234528256,21130409059,11.223566967555266,4.046803601481
12,0.0.0.0.0.0.0.0.2.0.0.0.0.2.0.0.,1063,2097152,397552910336,25611886921,10.946074118468895,3.9562614309656805
13,0.0.1.0.0.0.0.0.0.0.0.0.0.3.0.0.,4793,8388608,1717450047488,115482383831,10.773286775381038,3.8945234397046486
14,0.0.2.0.0.0.0.0.0.2.0.0.0.0.0.0.,2797,4194304,950529949696,67390825699,10.550335461523808,3.8181079771226623
15,0.0.0.1.0.1.2.0.0.0.0.0.0.0.0.0.,6509,8388608,2109902684160,156827631203,10.331779801111105,3.7499247854650113
16,0.0.0.0.1.0.0.0.0.0.2.0.0.0.1.0.,8365,8388608,2516313964544,201546033955,9.969850175074285,3.642130641761247
17,1.0.0.0.0.0.0.1.0.0.0.1.1.0.0.0.,8897,8388608,2632278081536,214364024399,9.880896762937438,3.61817719643106
18,1.0.0.0.2.0.0.0.0.0.1.0.0.0.0.0.,597,524288,173275086848,14384098299,9.778412878735194,3.5905175512503233
19,0.0.0.0.0.0.0.0.0.0.0.0.0.3.1.0.,10149,8388608,2899639795712,244529671083,9.690950037484855,3.5677922576447836
20,0.0.1.0.0.0.0.0.0.0.2.0.1.0.0.0.,11999,8388608,3287797465088,289103510033,9.449373444213133,3.507463398920859
21,0.0.0.0.0.0.0.0.0.0.2.0.1.0.1.0.,6981,4194304,1844420018176,168199983627,9.230782003873495,3.454917758782738
22,0.0.1.0.0.0.1.0.1.0.0.0.0.0.1.0.,2069,1048576,527140126720,49850417723,8.985282070139991,3.402509017529487
23,0.0.1.0.0.0.2.0.0.0.0.0.1.0.0.0.,2301,1048576,44157632512,4264632159,8.83195473177591,3.3721696108601815
24,0.0.0.0.0.0.0.0.0.0.0.0.1.3.0.0.,2331,1048576,580089020416,56163037077,8.813266710871133,3.3685814549385786
25,0.0.0.0.0.0.1.0.0.0.0.0.3.0.0.0.,4815,2097152,1190779682816,116012451105,8.766679917269178,3.359554954638826
26,2.0.0.0.0.2.0.0.0.0.0.0.0.0.0.0.,9683,4194304,2392028348416,233301882461,8.75876162087659,3.3579646340434905
27,0.0.0.0.0.0.0.1.0.1.0.0.0.0.2.0.,10553,4194304,2560337379328,254263633751,8.63463443480039,3.331936889402684
28,0.0.0.0.0.0.0.0.1.0.1.0.2.0.0.0.,5645,2097152,1351438303232,136010443715,8.537242134339637,3.312706310690088
29,0.0.1.0.0.0.0.0.2.0.0.0.0.1.0.0.,23735,8388608,5628017770496,571870306745,8.465271570683205,3.2988669804383823
30,0.0.0.0.2.0.1.0.1.0.0.0.0.0.0.0.,25209,8388608,656593125376,67487201567,8.37834873048318,3.282313807660818
31,0.0.2.0.0.0.0.1.0.1.0.0.0.0.0.0.,26949,8388608,159987531776,16648931197,8.282055880749493,3.2644580072818408
32,0.0.0.0.0.0.0.2.0.0.0.0.0.2.0.0.,27683,8388608,6376415821824,666993288461,8.243287324491902,3.257001564451093
33,0.0.1.0.0.0.1.0.0.0.1.0.1.0.0.0.,3925,1048576,882414452736,94568820475,8.061523061333649,3.2220199127873967
34,2.0.0.0.0.0.0.0.0.0.0.2.0.0.0.0.,15753,4194304,1179773829120,126517420717,8.056661018950605,3.221102356910465
35,1.0.0.0.1.0.1.0.0.0.1.0.0.0.0.0.,33769,8388608,7481296158720,813629171623,7.956588162941166,3.2008449321402757
36,0.0.1.0.0.0.0.0.1.0.1.0.0.0.1.0.,36359,8388608,7934415208448,876032546153,7.849975099545602,3.1790675211829424
37,0.0.0.0.0.0.0.2.0.0.0.0.0.0.2.0.,4645,1048576,201863462912,22383295343,7.818537118729985,3.172885452502922
38,1.0.0.0.0.0.0.1.0.0.1.1.0.0.0.0.,18993,4194304,4109209960448,457616715231,7.78681981905541,3.166649391931843
39,0.0.0.2.0.0.0.1.0.1.0.0.0.0.0.0.,40219,8388608,8607114461184,969035258773,7.704410409343741,3.150908589746887
40,0.0.0.0.0.0.0.0.0.0.2.1.0.1.0.0.,20567,4194304,4380598206464,495540619289,7.671956249570923,3.144052670497834
41,0.0.0.0.0.0.0.0.0.0.0.0.3.0.1.0.,41307,8388608,1255741063168,142178499267,7.66590133494271,3.1427637905606787
42,0.0.0.0.0.0.1.0.0.0.0.2.1.0.0.0.,5231,1048576,1110047719424,126035541377,7.647128945322004,3.1387191685613924
43,0.0.0.0.0.0.0.1.0.1.0.0.0.2.0.0.,44081,8388608,9252164861952,1062086159327,7.572130667896366,3.1228901669685967
44,0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.4.,46147,8388608,9595762245632,1111864295149,7.5060507586207414,3.1094166968710915
45,0.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.,48213,8388608,9939359629312,1161642430971,7.442865417838048,3.0969868488645544
46,0.0.0.0.0.0.0.1.2.1.0.0.0.0.0.0.,49381,8388608,10132633157632,1189784184427,7.408331568084214,3.0902373234618694
47,0.0.0.0.0.0.1.0.0.0.0.3.0.0.0.0.,49433,8388608,10141223092224,1191037070711,7.4068131567447,3.0899414379828807
48,0.0.0.0.0.0.0.2.0.0.0.0.2.0.0.0.,787,131072,160869384192,18961952029,7.379780174492514,3.084710391577869
