feature_id,feature_value,Nz,Ez
hist_v,"0.0.0.0.0.0.0.4.",10276352,79440
hist_v,"0.0.0.0.0.0.1.3.",40697600,298117
hist_v,"0.0.0.0.0.0.2.2.",63623936,339609
hist_v,"0.0.0.0.0.0.3.1.",41526272,305990
hist_v,"0.0.0.0.0.0.4.0.",12598784,68700
hist_v,"0.0.0.0.0.1.0.3.",31955712,250416
hist_v,"0.0.0.0.0.1.1.2.",90031872,697878
hist_v,"0.0.0.0.0.1.2.1.",95129856,538052
hist_v,"0.0.0.0.0.1.3.0.",30289664,222821
hist_v,"0.0.0.0.0.2.0.2.",36534528,241766
hist_v,"0.0.0.0.0.2.1.1.",66065152,489832
hist_v,"0.0.0.0.0.2.2.0.",35987712,220592
hist_v,"0.0.0.0.0.3.0.1.",17781760,106164
hist_v,"0.0.0.0.0.3.1.0.",16872448,134958
hist_v,"0.0.0.0.0.4.0.0.",2752256,21900
hist_v,"0.0.0.0.1.0.0.3.",50577152,276194
hist_v,"0.0.0.0.1.0.1.2.",135042304,1110500
hist_v,"0.0.0.0.1.0.2.1.",130661888,789263
hist_v,"0.0.0.0.1.0.3.0.",43788800,335084
hist_v,"0.0.0.0.1.1.0.2.",109939200,513343
hist_v,"0.0.0.0.1.1.1.1.",200727040,1488380
hist_v,"0.0.0.0.1.1.2.0.",97558272,632849
hist_v,"0.0.0.0.1.2.0.1.",84017920,366020
hist_v,"0.0.0.0.1.2.1.0.",77509120,681035
hist_v,"0.0.0.0.1.3.0.0.",22917120,81325
hist_v,"0.0.0.0.2.0.0.2.",77708544,407699
hist_v,"0.0.0.0.2.0.1.1.",126109184,1053591
hist_v,"0.0.0.0.2.0.2.0.",51250688,523731
hist_v,"0.0.0.0.2.1.0.1.",110417152,518544
hist_v,"0.0.0.0.2.1.1.0.",98149632,844799
hist_v,"0.0.0.0.2.2.0.0.",48801024,193584
hist_v,"0.0.0.0.3.0.0.1.",93641984,258237
hist_v,"0.0.0.0.3.0.1.0.",40001024,352656
hist_v,"0.0.0.0.3.1.0.0.",80242432,159475
hist_v,"0.0.0.0.4.0.0.0.",230453248,281602
hist_v,"0.0.0.1.0.0.0.3.",29822976,212818
hist_v,"0.0.0.1.0.0.1.2.",91451648,591680
hist_v,"0.0.0.1.0.0.2.1.",94903808,471677
hist_v,"0.0.0.1.0.0.3.0.",31318272,223644
hist_v,"0.0.0.1.0.1.0.2.",69294592,517926
hist_v,"0.0.0.1.0.1.1.1.",133688320,930325
hist_v,"0.0.0.1.0.1.2.0.",69750272,362649
hist_v,"0.0.0.1.0.2.0.1.",52922880,308842
hist_v,"0.0.0.1.0.2.1.0.",48712704,321486
hist_v,"0.0.0.1.0.3.0.0.",13000192,60808
hist_v,"0.0.0.1.1.0.0.2.",112068864,542556
hist_v,"0.0.0.1.1.0.1.1.",206617344,1612635
hist_v,"0.0.0.1.1.0.2.0.",100683776,591334
hist_v,"0.0.0.1.1.1.0.1.",160421632,691365
hist_v,"0.0.0.1.1.1.1.0.",150702592,1086679
hist_v,"0.0.0.1.1.2.0.0.",60006400,197388
hist_v,"0.0.0.1.2.0.0.1.",103210496,507202
hist_v,"0.0.0.1.2.0.1.0.",95651840,681330
hist_v,"0.0.0.1.2.1.0.0.",69357568,309094
hist_v,"0.0.0.1.3.0.0.0.",40402688,163460
hist_v,"0.0.0.2.0.0.0.2.",32726272,207999
hist_v,"0.0.0.2.0.0.1.1.",68308992,374762
hist_v,"0.0.0.2.0.0.2.0.",34983680,163979
hist_v,"0.0.0.2.0.1.0.1.",50272512,349335
hist_v,"0.0.0.2.0.1.1.0.",49695744,294463
hist_v,"0.0.0.2.0.2.0.0.",19319552,97704
hist_v,"0.0.0.2.1.0.0.1.",83801088,354103
hist_v,"0.0.0.2.1.0.1.0.",79073024,577797
hist_v,"0.0.0.2.1.1.0.0.",59467008,228614
hist_v,"0.0.0.2.2.0.0.0.",37544448,156344
hist_v,"0.0.0.3.0.0.0.1.",16113920,88645
hist_v,"0.0.0.3.0.0.1.0.",17030144,74352
hist_v,"0.0.0.3.0.1.0.0.",12176896,77863
hist_v,"0.0.0.3.1.0.0.0.",20873984,77423
hist_v,"0.0.0.4.0.0.0.0.",3014656,14118
hist_v,"0.0.1.0.0.0.0.3.",40624640,254688
hist_v,"0.0.1.0.0.0.1.2.",125383168,606916
hist_v,"0.0.1.0.0.0.2.1.",122753280,816525
hist_v,"0.0.1.0.0.0.3.0.",51304192,247030
hist_v,"0.0.1.0.0.1.0.2.",91588352,615945
hist_v,"0.0.1.0.0.1.1.1.",189683200,960301
hist_v,"0.0.1.0.0.1.2.0.",89808640,570231
hist_v,"0.0.1.0.0.2.0.1.",66877696,432905
hist_v,"0.0.1.0.0.2.1.0.",70733568,352988
hist_v,"0.0.1.0.0.3.0.0.",16795648,124689
hist_v,"0.0.1.0.1.0.0.2.",135649280,1001238
hist_v,"0.0.1.0.1.0.1.1.",260166144,1426347
hist_v,"0.0.1.0.1.0.2.0.",125723648,943778
