rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,A=284|t=255,1,128,143949824,24093967,7.0,2.578822171300699
2,A=385|t=353,1,64,132071424,24093967,6.0,2.45457449394226
3,A=199|t=323,3,128,127932416,24093967,5.415037499278844,2.40863801237956
4,A=180|t=449,1,32,122291712,24093967,5.0,2.343582778613111
5,A=304|t=239,5,128,590742528,120469835,4.678071905112637,2.2938575278225413
6,A=230|t=207,3,64,342435520,72281901,4.415037499278844,2.244126002318974
7,A=267|t=66,7,128,773261696,168657769,4.192645077942396,2.196857974269023
8,A=371|t=153,1,16,106945328,24093967,4.0,2.1501296047943077
9,A=308|t=57,9,128,936397184,216845703,3.830074998557688,2.110451740746163
10,A=298|t=315,5,64,101248448,24093967,3.678071905112638,2.0711559399350694
11,A=298|t=154,11,128,1081702784,265033637,3.5405683813627027,2.029056771488002
12,A=118|t=559,3,32,287272544,72281901,3.415037499278844,1.9907137598349178
13,A=309|t=294,13,128,1215234432,313221571,3.299560281858908,1.9559791753690607
14,A=231|t=389,7,64,640516288,168657769,3.192645077942396,1.9251364822760209
15,A=255|t=402,15,128,1344094592,361409505,3.0931094043914813,1.8949283183803147
16,A=376|t=269,1,8,87882520,24093967,3.0,1.8669042905409037
17,A=190|t=310,17,128,1465692544,409597439,2.9125371587496605,1.8393039033021956
18,A=414|t=139,9,64,253511744,72281901,2.830074998557688,1.8103462275997373
19,A=395|t=54,19,128,1573346176,457785373,2.7520724865564143,1.7810928628724376
20,A=465|t=213,5,32,405765856,120469835,2.678071905112638,1.7519755230888765
21,A=301|t=221,21,128,1672608640,505973307,2.6076825772212398,1.7249667388779848
22,A=204|t=252,11,64,860092864,265033637,2.5405683813627027,1.6983169632975594
23,A=314|t=246,23,128,1767027584,554161241,2.476438043942987,1.6729468462431254
24,A=166|t=498,3,16,226530928,72281901,2.415037499278844,1.648001678754102
25,A=249|t=234,25,128,371384704,120469835,2.356143810225275,1.624242448497388
26,A=265|t=388,13,64,950528960,313221571,2.299560281858908,1.6015470106544165
27,A=465|t=170,27,128,72023680,24093967,2.2451124978365313,1.579799366333884
28,A=243|t=295,7,32,70902560,24093967,2.192645077942396,1.5571657696124594
29,A=297|t=329,29,128,2025871232,698725043,2.1420190048724277,1.5357457228419409
30,A=285|t=317,15,64,1032875968,361409505,2.0931094043914813,1.5149606654277343
31,A=552|t=267,31,128,2104018816,746912977,2.0458036896131246,1.4941355373522291
32,A=447|t=103,1,4,66917948,24093967,2.0,1.4737212580687065
33,A=54|t=20,33,128,2177298304,795100911,1.9556058806415466,1.453329201488166
34,A=410|t=147,17,64,1105148864,409597439,1.9125371587496607,1.4319621142568806
35,A=378|t=210,35,128,2243143552,843288845,1.8707169830550336,1.4114231742015213
36,A=174|t=202,9,32,568912352,216845703,1.8300749985576876,1.39153754946143
37,A=378|t=318,37,128,2308106112,891476779,1.7905466343710503,1.3724404269910784
38,A=259|t=426,19,64,61584704,24093967,1.7520724865564146,1.353900119813618
39,A=283|t=338,39,128,2370103168,939664713,1.7145977811377517,1.334731881760342
40,A=368|t=420,5,16,59970096,24093967,1.6780719051126376,1.3155713336881212
41,A=236|t=345,41,128,2427041664,987852647,1.6424479953819162,1.2968311114146684
42,A=350|t=111,21,64,1227414464,505973307,1.6076825772212398,1.2784893079959392
43,A=172|t=211,43,128,2481244032,1036040581,1.573735245297902,1.2599831187167205
44,A=353|t=291,11,32,626864608,265033637,1.5405683813627027,1.241978406965827
45,A=413|t=394,45,128,2531051392,1084228515,1.5081469036703252,1.2230679459641738
46,A=357|t=235,23,64,1276924864,554161241,1.4764380439429872,1.2042959225320258
47,A=282|t=370,47,128,2575478656,1132416449,1.4454111483223626,1.1854359734486446
48,A=293|t=528,3,8,162310904,72281901,1.415037499278844,1.1670535685664942
49,A=155|t=154,49,128,2617421696,1180604383,1.3852901558847919,1.14862077454748
50,A=380|t=244,25,64,1318803392,602349175,1.3561438102252754,1.1305575541980442
51,A=195|t=233,51,128,2656481152,1228792317,1.3275746580285044,1.1122753760041004
52,A=540|t=239,13,32,668604896,313221571,1.2995602818589078,1.093970347597666
53,A=322|t=181,53,128,2692245376,1276980251,1.2720795454368008,1.076073692346557
54,A=158|t=481,55,128,545513856,265033637,1.2186402864753405,1.0414403690004796
55,A=610|t=307,7,16,343141616,168657769,1.1926450779423958,1.0247053299055588
56,A=280|t=330,57,128,2762434432,1373356119,1.1671099858352583,1.0082344487277122
57,A=314|t=329,29,64,1389851584,698725043,1.142019004872428,0.9921340783253478
58,A=326|t=392,59,128,2796965760,1421544053,1.1173569506381587,0.9764037845164804
59,A=134|t=93,15,32,703435744,361409505,1.0931094043914815,0.9607841958425914
60,A=266|t=378,61,128,2830520192,1469731987,1.0692626624371138,0.9455141190394086
61,A=445|t=294,31,64,1423255488,746912977,1.0458036896131249,0.9301825935050249
62,A=242|t=241,63,128,2861191040,1517919921,1.0227200765000835,0.9145201464491105
63,A=335|t=130,1,2,44915006,24093967,1.0,0.8985255780100968
64,A=242|t=345,65,128,2887880576,1566107855,0.9776321869715455,0.8828275111197195
65,A=142|t=306,33,64,1450484672,795100911,0.9556058806415466,0.8673251717691537
