rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,-11:13:1;-9:2:1;-1:1:1;9:9:1;,1,128,143949824,24093967,7.0,2.578822171300699
2,-10:14:1;4:12:1;10:2:1;13:-3:1;,1,64,132071424,24093967,6.0,2.45457449394226
3,-13:12:1;-5:-9:1;-2:-7:1;-1:7:1;,3,128,127932416,24093967,5.415037499278844,2.40863801237956
4,2:-6:1;4:-13:1;4:-12:1;12:10:1;,1,32,122291712,24093967,5.0,2.343582778613111
5,-6:-3:1;-6:14:1;6:3:1;14:-5:1;,5,128,590742528,120469835,4.678071905112637,2.2938575278225413
6,-6:5:1;-5:10:1;5:9:1;12:1:1;,3,64,342435520,72281901,4.415037499278844,2.244126002318974
7,-11:1:1;-9:0:1;-4:4:1;7:7:1;,7,128,773261696,168657769,4.192645077942396,2.196857974269023
8,-7:4:1;3:-8:1;12:-3:1;13:8:1;,1,16,106945328,24093967,4.0,2.1501296047943077
9,-13:1:1;-7:-2:1;3:-4:1;9:6:1;,9,128,936397184,216845703,3.830074998557688,2.110451740746163
10,-13:-11:1;-11:-7:1;-2:-1:1;2:-12:1;,5,64,101248448,24093967,3.678071905112638,2.0711559399350694
11,-12:7:1;-9:-1:1;-3:-10:1;8:2:1;,11,128,1081702784,265033637,3.5405683813627027,2.029056771488002
12,-10:-14:1;-4:13:1;-1:-5:1;1:13:1;,3,32,287272544,72281901,3.415037499278844,1.9907137598349178
13,-10:-4:1;4:14:1;7:1:1;12:-9:1;,13,128,1215234432,313221571,3.299560281858908,1.9559791753690607
14,-5:8:1;-3:12:1;1:9:1;14:10:1;,7,64,640516288,168657769,3.192645077942396,1.9251364822760209
15,-13:1:1;-5:-14:1;5:-13:1;6:6:1;,15,128,1344094592,361409505,3.0931094043914813,1.8949283183803147
16,-14:12:1;-10:-3:1;-8:-10:1;4:-4:1;,1,8,87882520,24093967,3.0,1.8669042905409037
17,-10:-4:1;-5:13:1;-1:-2:1;8:-11:1;,17,128,1465692544,409597439,2.9125371587496605,1.8393039033021956
18,-12:8:1;-10:5:1;7:-5:1;11:-5:1;,9,64,253511744,72281901,2.830074998557688,1.8103462275997373
19,-12:-4:1;-11:-2:1;-3:-5:1;11:-3:1;,19,128,1573346176,457785373,2.7520724865564143,1.7810928628724376
20,-12:-2:1;-11:-14:1;2:-2:1;14:-3:1;,5,32,405765856,120469835,2.678071905112638,1.7519755230888765
21,-2:-3:1;-1:-2:1;10:12:1;14:8:1;,21,128,1672608640,505973307,2.6076825772212398,1.7249667388779848
22,-9:9:1;-1:11:1;1:-7:1;11:1:1;,11,64,860092864,265033637,2.5405683813627027,1.6983169632975594
23,-12:-3:1;-8:5:1;5:-14:1;9:-4:1;,23,128,1767027584,554161241,2.476438043942987,1.6729468462431254
24,-4:11:1;-2:-12:1;5:-13:1;11:-8:1;,3,16,226530928,72281901,2.415037499278844,1.648001678754102
25,2:4:1;8:0:1;9:-7:1;10:13:1;,25,128,371384704,120469835,2.356143810225275,1.624242448497388
26,2:6:1;4:12:1;7:-8:1;14:12:1;,13,64,950528960,313221571,2.299560281858908,1.6015470106544165
27,-14:-3:1;-11:12:1;2:1:1;12:-4:1;,27,128,72023680,24093967,2.2451124978365313,1.579799366333884
28,-13:5:1;3:-5:1;4:7:1;7:-14:1;,7,32,70902560,24093967,2.192645077942396,1.5571657696124594
29,-14:10:1;-9:6:1;-4:-7:1;-2:-12:1;,29,128,2025871232,698725043,2.1420190048724277,1.5357457228419409
30,-9:-8:1;-2:-3:1;2:-12:1;14:-10:1;,15,64,1032875968,361409505,2.0931094043914813,1.5149606654277343
31,-12:12:1;4:1:1;14:-1:1;14:11:1;,31,128,2104018816,746912977,2.0458036896131246,1.4941355373522291
32,-14:-7:1;-1:-5:1;9:5:1;13:2:1;,1,4,66917948,24093967,2.0,1.4737212580687065
33,-5:1:1;-4:1:1;2:-3:1;3:3:1;,33,128,2177298304,795100911,1.9556058806415466,1.453329201488166
34,-11:-1:1;8:11:1;9:0:1;12:5:1;,17,64,1105148864,409597439,1.9125371587496607,1.4319621142568806
35,-13:-5:1;-13:12:1;-6:-5:1;-2:-4:1;,35,128,2243143552,843288845,1.8707169830550336,1.4114231742015213
36,-6:6:1;-4:-11:1;-1:-6:1;11:-3:1;,9,32,568912352,216845703,1.8300749985576876,1.39153754946143
37,3:9:1;9:-4:1;12:-14:1;12:-5:1;,37,128,2308106112,891476779,1.7905466343710503,1.3724404269910784
38,-13:14:1;1:-3:1;5:-10:1;8:11:1;,19,64,61584704,24093967,1.7520724865564146,1.353900119813618
39,-9:-11:1;-3:-10:1;7:9:1;12:-6:1;,39,128,2370103168,939664713,1.7145977811377517,1.334731881760342
40,-12:-4:1;-12:14:1;-8:-8:1;-4:-12:1;,5,16,59970096,24093967,1.6780719051126376,1.3155713336881212
41,-14:-8:1;-2:2:1;0:14:1;6:-9:1;,41,128,2427041664,987852647,1.6424479953819162,1.2968311114146684
42,-13:3:1;-6:-7:1;1:7:1;12:-2:1;,21,64,1227414464,505973307,1.6076825772212398,1.2784893079959392
43,-9:0:1;-1:9:1;3:-3:1;9:-11:1;,43,128,2481244032,1036040581,1.573735245297902,1.2599831187167205
44,-4:11:1;7:9:1;12:-8:1;12:5:1;,11,32,626864608,265033637,1.5405683813627027,1.241978406965827
45,-14:10:1;-10:5:1;6:-13:1;9:-10:1;,45,128,2531051392,1084228515,1.5081469036703252,1.2230679459641738
46,-12:11:1;-7:5:1;8:8:1;10:-5:1;,23,64,1276924864,554161241,1.4764380439429872,1.2042959225320258
47,-4:13:1;-1:-14:1;11:-1:1;12:-2:1;,47,128,2575478656,1132416449,1.4454111483223626,1.1854359734486446
48,-8:-14:1;-7:6:1;6:14:1;12:-10:1;,3,8,162310904,72281901,1.415037499278844,1.1670535685664942
49,-5:-4:1;0:11:1;3:1:1;11:4:1;,49,128,2617421696,1180604383,1.3852901558847919,1.14862077454748
50,0:-11:1;3:-10:1;7:-14:1;10:-8:1;,25,64,1318868928,602349175,1.3561438102252754,1.1306292450305273
51,-10:-8:1;6:6:1;10:0:1;12:-12:1;,51,128,2657922944,1228792317,1.3275746580285044,1.1130581791864904
52,-11:-2:1;-8:-2:1;-1:9:1;3:-12:1;,13,32,669199328,313221571,1.2995602818589078,1.0952524248098607
53,-14:13:1;-10:-3:1;10:5:1;12:6:1;,53,128,2694735744,1276980251,1.2720795454368008,1.077407590401703
54,-6:6:1;-3:-6:1;9:-3:1;14:-10:1;,27,64,1356280768,650537109,1.2451124978365316,1.0599526053159736
55,-13:7:1;-7:-8:1;14:5:1;14:13:1;,55,128,2730125184,1325168185,1.2186402864753405,1.042791631999784
56,-8:14:1;6:3:1;6:10:1;12:-5:1;,7,16,343428336,168657769,1.1926450779423958,1.0259103041254922
57,5:12:1;8:0:1;9:11:1;12:-8:1;,57,128,2764695424,1373356119,1.1671099858352583,1.009414780007354
58,-13:14:1;-12:-4:1;-2:-12:1;3:-6:1;,29,64,1390979008,698725043,1.142019004872428,0.9933038936370584
59,-13:13:1;-5:-1:1;6:-8:1;6:12:1;,59,128,2798735232,1421544053,1.1173569506381587,0.9773162023058265
60,-9:6:1;1:-7:1;4:-2:1;6:2:1;,15,32,703878112,361409505,1.0931094043914815,0.9616911749619208
61,-6:8:1;11:-5:1;12:-13:1;12:6:1;,61,128,2831503232,1469731987,1.0692626624371138,0.946015080212135
62,-9:10:1;-2:4:1;3:14:1;8:-13:1;,31,64,1423255488,746912977,1.0458036896131249,0.9301825935050249
63,-12:-11:1;-1:-2:1;4:4:1;9:10:1;,63,128,2861191040,1517919921,1.0227200765000835,0.9145201464491105
64,-3:2:1;7:-2:1;9:-11:1;14:1:1;,1,2,44915006,24093967,1.0,0.8985255780100968
65,-6:9:1;-3:-8:1;1:-2:1;14:-14:1;,65,128,2887880576,1566107855,0.9776321869715455,0.8828275111197195
66,-10:5:1;1:-14:1;4:7:1;5:6:1;,33,64,1450484672,795100911,0.9556058806415466,0.8673251717691537
67,-10:7:1;-3:12:1;-2:-2:1;5:-7:1;,67,128,2913552256,1614295789,0.9339108095422276,0.8518742371024504
68,-6:14:1;-5:7:1;-3:2:1;10:-11:1;,17,32,731533792,409597439,0.9125371587496606,0.8367178138834248
69,-7:9:1;4:0:1;7:13:1;13:-13:1;,69,128,979223168,554161241,0.891475543221831,0.821331882229838
70,-4:-14:1;-4:-2:1;13:13:1;14:-3:1;,35,64,1474261952,843288845,0.8707169830550335,0.8058941145401327
71,-14:1:1;-1:-13:1;-1:13:1;0:-3:1;,71,128,2959271808,1710671657,0.8502528804953179,0.7906793353029152
72,3:2:1;4:-6:1;10:-1:1;13:-8:1;,9,16,371023088,216845703,0.8300749985576876,0.7748401104348863
73,-11:-1:1;-3:-1:1;-1:-1:1;0:-1:1;,73,128,2976573312,1758859591,0.8101754411199827,0.7590121102116452
74,-8:2:1;-4:-7:1;-1:-1:1;2:4:1;,37,64,1492218816,891476779,0.7905466343710502,0.7431899806029327
75,-10:13:1;3:0:1;8:6:1;9:13:1;,75,128,997302912,602349175,0.7711813095041191,0.7274317191964823
76,1:14:2;12:-14:1;13:11:1;,19,32,749812192,457785373,0.7520724865564145,0.711857917004773
77,-7:5:1;1:-7:1;4:-5:1;11:4:1;,77,128,3006097280,1855235459,0.7332134593050986,0.6962893974124913
