feature_id,feature_value,Nz,Ez
pk,"A=0.22.3.26|t=2.22.25.1",268435456,196608
pk,"A=0.27.6.15|t=14.2.20.21",268435456,1764864
pk,"A=0.3.24.11|t=11.1.25.4",268435456,1277952
pk,"A=1.13.15.9|t=1.0.28.0",268435456,0
pk,"A=1.20.24.4|t=0.0.1.0",268435456,0
pk,"A=1.20.28.11|t=22.9.11.1",268435456,2973568
pk,"A=1.22.4.11|t=22.5.24.4",268435456,428032
pk,"A=1.28.19.25|t=13.24.15.13",268435456,4211712
pk,"A=1.5.13.9|t=8.24.11.8",268435456,196608
pk,"A=1.6.20.4|t=22.2.6.27",268435456,1048576
pk,"A=10.17.8.22|t=24.11.8.5",268435456,1424896
pk,"A=10.19.28.0|t=0.28.28.0",268435456,0
pk,"A=10.22.27.5|t=7.14.18.23",268435456,131072
pk,"A=10.3.0.7|t=21.19.18.15",268435456,1269760
pk,"A=11.17.26.18|t=26.25.24.27",268435456,3267232
pk,"A=11.25.0.11|t=0.17.11.26",268435456,0
pk,"A=11.25.15.6|t=8.5.8.11",268435456,0
pk,"A=11.28.23.25|t=26.23.6.18",268435456,2031616
pk,"A=12.1.13.1|t=15.14.11.14",268435456,458752
pk,"A=12.14.21.11|t=22.12.17.15",268435456,0
pk,"A=12.20.26.7|t=23.18.19.9",268435456,1867776
pk,"A=12.23.5.24|t=1.5.9.10",268435456,5883032
pk,"A=12.6.15.11|t=1.1.1.0",268435456,0
pk,"A=12.6.19.10|t=17.6.21.0",268435456,1261568
pk,"A=12.9.18.8|t=5.0.28.11",268435456,2062464
pk,"A=13.0.11.27|t=11.28.17.28",268435456,0
pk,"A=13.22.3.12|t=8.4.21.26",268435456,5143808
pk,"A=13.4.19.10|t=26.12.14.2",268435456,7512064
pk,"A=13.5.14.13|t=18.19.27.1",268435456,32768
pk,"A=13.7.4.22|t=16.13.0.9",268435456,720896
pk,"A=14.1.26.23|t=15.27.21.9",268435456,832512
pk,"A=14.13.25.25|t=26.13.15.27",268435456,678400
pk,"A=14.14.16.22|t=13.5.7.21",268435456,1097728
pk,"A=14.17.14.4|t=28.12.11.1",268435456,2391680
pk,"A=14.18.17.2|t=26.15.27.27",268435456,3107328
pk,"A=14.26.9.23|t=19.23.26.6",268435456,1114112
pk,"A=15.12.19.10|t=13.6.26.5",268435456,1121152
pk,"A=15.17.3.17|t=3.20.20.2",268435456,0
pk,"A=15.21.15.6|t=23.14.20.14",268435456,131072
pk,"A=15.25.27.20|t=10.22.17.6",268435456,2537472
pk,"A=15.28.28.0|t=1.16.13.26",268435456,671744
pk,"A=15.9.23.19|t=3.13.4.6",268435456,98304
pk,"A=16.0.6.24|t=6.0.8.14",268435456,393216
pk,"A=16.18.27.2|t=18.22.28.17",268435456,4755456
pk,"A=16.9.2.11|t=14.27.22.26",268435456,416000
pk,"A=17.17.25.21|t=25.14.17.21",268435456,1793792
pk,"A=17.9.21.5|t=26.25.5.15",268435456,2927616
pk,"A=18.0.28.26|t=28.28.28.28",268435456,524288
pk,"A=18.24.19.27|t=15.6.24.8",268435456,98304
pk,"A=18.4.3.3|t=18.25.18.2",268435456,147456
pk,"A=18.9.28.20|t=13.9.1.2",268435456,8996864
pk,"A=19.15.26.9|t=10.15.3.20",268435456,0
pk,"A=19.28.24.8|t=25.27.13.18",268435456,3723264
pk,"A=19.3.5.24|t=0.1.0.28",268435456,0
pk,"A=19.6.16.2|t=28.0.28.0",268435456,0
pk,"A=2.12.18.15|t=1.25.12.26",268435456,2723840
pk,"A=2.4.7.14|t=6.12.21.12",268435456,2758400
pk,"A=2.9.10.8|t=4.22.13.0",268435456,2792256
pk,"A=20.14.2.27|t=21.19.17.26",268435456,2492544
pk,"A=20.17.4.3|t=15.5.9.17",268435456,0
pk,"A=20.26.8.17|t=28.19.2.7",268435456,4326144
pk,"A=20.3.8.27|t=10.14.16.4",268435456,937984
pk,"A=21.12.0.2|t=21.10.22.14",268435456,229376
pk,"A=21.12.6.6|t=14.24.3.10",268435456,1081344
pk,"A=21.24.1.16|t=21.23.0.17",268435456,393216
pk,"A=21.24.13.20|t=16.26.11.23",268435456,311296
pk,"A=21.28.2.25|t=2.28.4.22",268435456,491520
pk,"A=21.3.18.0|t=17.1.9.25",268435456,393216
pk,"A=21.3.28.18|t=27.17.9.27",268435456,1179648
pk,"A=21.8.8.7|t=7.8.21.21",268435456,0
pk,"A=22.18.17.13|t=4.1.3.5",268435456,32768
pk,"A=22.2.27.10|t=22.1.26.10",268435456,0
pk,"A=22.6.21.12|t=6.14.15.19",268435456,1343488
pk,"A=23.1.16.12|t=22.7.3.27",268435456,1736704
pk,"A=23.10.24.26|t=14.18.7.2",268435456,786432
pk,"A=23.12.11.12|t=8.16.24.6",268435456,999424
pk,"A=23.16.27.16|t=24.24.25.12",268435456,2052864
pk,"A=23.23.16.11|t=27.16.12.18",268435456,327680
pk,"A=23.28.28.1|t=1.0.28.0",268435456,0
pk,"A=23.6.23.14|t=14.3.26.24",268435456,6348480
pk,"A=24.14.26.1|t=8.10.12.9",268435456,4112384
pk,"A=24.25.26.6|t=1.1.10.0",268435456,98304
