feature_value,coordinate,Nz,Eiz
"A=0.22.3.26|t=2.22.25.1",0,268435456,49152
"A=0.22.3.26|t=2.22.25.1",1,268435456,49152
"A=0.22.3.26|t=2.22.25.1",2,268435456,49152
"A=0.22.3.26|t=2.22.25.1",3,268435456,49152
"A=0.27.6.15|t=14.2.20.21",0,268435456,442368
"A=0.27.6.15|t=14.2.20.21",1,268435456,442368
"A=0.27.6.15|t=14.2.20.21",2,268435456,442368
"A=0.27.6.15|t=14.2.20.21",3,268435456,442368
"A=0.3.24.11|t=11.1.25.4",0,268435456,294912
"A=0.3.24.11|t=11.1.25.4",1,268435456,327680
"A=0.3.24.11|t=11.1.25.4",2,268435456,327680
"A=0.3.24.11|t=11.1.25.4",3,268435456,327680
"A=1.13.15.9|t=1.0.28.0",0,268435456,0
"A=1.13.15.9|t=1.0.28.0",1,268435456,0
"A=1.13.15.9|t=1.0.28.0",2,268435456,0
"A=1.13.15.9|t=1.0.28.0",3,268435456,0
"A=1.20.24.4|t=0.0.1.0",0,268435456,0
"A=1.20.24.4|t=0.0.1.0",1,268435456,0
"A=1.20.24.4|t=0.0.1.0",2,268435456,0
"A=1.20.24.4|t=0.0.1.0",3,268435456,0
"A=1.20.28.11|t=22.9.11.1",0,268435456,743424
"A=1.20.28.11|t=22.9.11.1",1,268435456,743424
"A=1.20.28.11|t=22.9.11.1",2,268435456,743424
"A=1.20.28.11|t=22.9.11.1",3,268435456,743424
"A=1.22.4.11|t=22.5.24.4",0,268435456,108544
"A=1.22.4.11|t=22.5.24.4",1,268435456,108544
"A=1.22.4.11|t=22.5.24.4",2,268435456,108544
"A=1.22.4.11|t=22.5.24.4",3,268435456,102400
"A=1.28.19.25|t=13.24.15.13",0,268435456,1072128
"A=1.28.19.25|t=13.24.15.13",1,268435456,1044480
"A=1.28.19.25|t=13.24.15.13",2,268435456,1038336
"A=1.28.19.25|t=13.24.15.13",3,268435456,1056768
"A=1.5.13.9|t=8.24.11.8",0,268435456,0
"A=1.5.13.9|t=8.24.11.8",1,268435456,65536
"A=1.5.13.9|t=8.24.11.8",2,268435456,65536
"A=1.5.13.9|t=8.24.11.8",3,268435456,65536
"A=1.6.20.4|t=22.2.6.27",0,268435456,262144
"A=1.6.20.4|t=22.2.6.27",1,268435456,262144
"A=1.6.20.4|t=22.2.6.27",2,268435456,262144
"A=1.6.20.4|t=22.2.6.27",3,268435456,262144
"A=10.17.8.22|t=24.11.8.5",0,268435456,360448
"A=10.17.8.22|t=24.11.8.5",1,268435456,360448
"A=10.17.8.22|t=24.11.8.5",2,268435456,360448
"A=10.17.8.22|t=24.11.8.5",3,268435456,360448
"A=10.19.28.0|t=0.28.28.0",0,268435456,0
"A=10.19.28.0|t=0.28.28.0",1,268435456,0
"A=10.19.28.0|t=0.28.28.0",2,268435456,0
"A=10.19.28.0|t=0.28.28.0",3,268435456,0
"A=10.22.27.5|t=7.14.18.23",0,268435456,32768
"A=10.22.27.5|t=7.14.18.23",1,268435456,32768
"A=10.22.27.5|t=7.14.18.23",2,268435456,32768
"A=10.22.27.5|t=7.14.18.23",3,268435456,32768
"A=10.3.0.7|t=21.19.18.15",0,268435456,309248
"A=10.3.0.7|t=21.19.18.15",1,268435456,309248
"A=10.3.0.7|t=21.19.18.15",2,268435456,309248
"A=10.3.0.7|t=21.19.18.15",3,268435456,344064
"A=11.17.26.18|t=26.25.24.27",0,268435456,835584
"A=11.17.26.18|t=26.25.24.27",1,268435456,817152
"A=11.17.26.18|t=26.25.24.27",2,268435456,811008
"A=11.17.26.18|t=26.25.24.27",3,268435456,811008
"A=11.25.0.11|t=0.17.11.26",0,268435456,0
"A=11.25.0.11|t=0.17.11.26",1,268435456,0
"A=11.25.0.11|t=0.17.11.26",2,268435456,0
"A=11.25.0.11|t=0.17.11.26",3,268435456,0
"A=11.25.15.6|t=8.5.8.11",0,268435456,0
"A=11.25.15.6|t=8.5.8.11",1,268435456,0
"A=11.25.15.6|t=8.5.8.11",2,268435456,0
"A=11.25.15.6|t=8.5.8.11",3,268435456,0
"A=11.28.23.25|t=26.23.6.18",0,268435456,507904
