feature_id,feature_value,Nz,Ez
t_autocorrelation,"-100",268435456,6585600
t_autocorrelation,"-104",268435456,196608
t_autocorrelation,"-108",268435456,428032
t_autocorrelation,"-110",268435456,0
t_autocorrelation,"-117",268435456,3723264
t_autocorrelation,"-119",268435456,2792256
t_autocorrelation,"-12",268435456,5052160
t_autocorrelation,"-120",268435456,1261568
t_autocorrelation,"-128",268435456,1078912
t_autocorrelation,"-14",268435456,3876608
t_autocorrelation,"-144",268435456,262144
t_autocorrelation,"-154",268435456,832512
t_autocorrelation,"-165",268435456,0
t_autocorrelation,"-171",268435456,786432
t_autocorrelation,"-180",268435456,0
t_autocorrelation,"-187",268435456,678400
t_autocorrelation,"-189",536870912,4727808
t_autocorrelation,"-2",268435456,0
t_autocorrelation,"-20",268435456,1736704
t_autocorrelation,"-21",268435456,999424
t_autocorrelation,"-22",268435456,6348480
t_autocorrelation,"-224",268435456,671744
t_autocorrelation,"-240",268435456,327680
t_autocorrelation,"-252",268435456,0
t_autocorrelation,"-266",268435456,98304
t_autocorrelation,"-286",268435456,720896
t_autocorrelation,"-299",268435456,0
t_autocorrelation,"-3",536870912,4350720
t_autocorrelation,"-30",268435456,1764864
t_autocorrelation,"-32",536870912,1474560
t_autocorrelation,"-35",268435456,416000
t_autocorrelation,"-36",268435456,2927616
t_autocorrelation,"-360",268435456,229376
t_autocorrelation,"-420",268435456,131072
t_autocorrelation,"-48",536870912,3249920
t_autocorrelation,"-51",268435456,2031616
t_autocorrelation,"-54",268435456,937984
t_autocorrelation,"-56",268435456,917504
t_autocorrelation,"-60",536870912,2736128
t_autocorrelation,"-63",268435456,2052864
t_autocorrelation,"-75",268435456,2826240
t_autocorrelation,"-8",536870912,6456960
t_autocorrelation,"-80",268435456,4134016
t_autocorrelation,"-84",268435456,458752
t_autocorrelation,"-91",268435456,2723840
t_autocorrelation,"-96",536870912,2611840
t_autocorrelation,"-98",268435456,1179648
t_autocorrelation,"0",4026531840,25430400
t_autocorrelation,"1",536870912,0
t_autocorrelation,"11",268435456,98304
t_autocorrelation,"110",268435456,1121152
t_autocorrelation,"117",268435456,32768
t_autocorrelation,"12",268435456,196608
t_autocorrelation,"130",268435456,2391680
t_autocorrelation,"133",268435456,98304
t_autocorrelation,"140",268435456,0
t_autocorrelation,"144",268435456,393216
t_autocorrelation,"150",268435456,5883032
t_autocorrelation,"154",536870912,16508928
t_autocorrelation,"18",268435456,311296
t_autocorrelation,"196",268435456,393216
t_autocorrelation,"2",1073741824,2537472
t_autocorrelation,"20",268435456,0
t_autocorrelation,"228",268435456,4755456
t_autocorrelation,"247",268435456,466944
t_autocorrelation,"256",268435456,0
t_autocorrelation,"260",268435456,2492544
t_autocorrelation,"3",268435456,1351808
t_autocorrelation,"30",268435456,229376
t_autocorrelation,"32",805306368,3874816
t_autocorrelation,"35",805306368,6802368
t_autocorrelation,"36",268435456,557056
t_autocorrelation,"38",268435456,0
t_autocorrelation,"380",268435456,4112384
t_autocorrelation,"4",268435456,524288
t_autocorrelation,"40",268435456,2973568
t_autocorrelation,"42",536870912,32768
t_autocorrelation,"437",268435456,0
t_autocorrelation,"44",805306368,3289216
t_autocorrelation,"45",268435456,2028544
t_autocorrelation,"456",268435456,1269760
t_autocorrelation,"48",805306368,5740704
t_autocorrelation,"50",268435456,3096576
t_autocorrelation,"57",268435456,196608
t_autocorrelation,"6",268435456,1650944
t_autocorrelation,"66",268435456,131072
t_autocorrelation,"72",268435456,399616
t_autocorrelation,"80",268435456,3107328
t_autocorrelation,"84",536870912,0
t_autocorrelation,"85",268435456,1081344
t_autocorrelation,"9",268435456,393216
t_autocorrelation,"96",268435456,0
